﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2007,00:00,01-Jul-2007,00:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,57.0,,,,,,,1836.0,,,,93.1,41.8,83.5,13.0,10.7
01-Jul-2007,00:15,01-Jul-2007,00:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,42.0,,,,,,,1869.0,,,,76.5,35.1,69.2,12.0,10.8
01-Jul-2007,00:30,01-Jul-2007,00:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,42.0,,,,,,,1684.0,,,,75.7,34.5,68.3,13.0,10.8
01-Jul-2007,00:45,01-Jul-2007,01:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,42.0,,,,,,,1416.0,,,,59.3,20.9,48.3,17.0,11.3
01-Jul-2007,01:00,01-Jul-2007,01:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,42.0,,,,,,,1332.0,,,,49.4,13.4,36.9,20.0,10.1
01-Jul-2007,01:15,01-Jul-2007,01:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,42.0,,,,,,,1252.0,,,,47.1,12.3,35.1,21.0,7.4
01-Jul-2007,01:30,01-Jul-2007,01:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,42.0,,,,,,,1095.0,,,,41.8,8.9,29.4,23.0,7.3
01-Jul-2007,01:45,01-Jul-2007,02:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,42.0,,,,,,,1179.0,,,,49.3,12.4,36.1,20.0,7.2
01-Jul-2007,02:00,01-Jul-2007,02:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,40.0,,,,,,,1099.0,,,,46.1,10.8,32.0,22.0,7.4
01-Jul-2007,02:15,01-Jul-2007,02:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,32.0,,,,,,,1070.0,,,,43.3,8.9,30.2,23.0,7.1
01-Jul-2007,02:30,01-Jul-2007,02:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,32.0,,,,,,,912.0,,,,34.0,5.9,22.7,29.0,6.8
01-Jul-2007,02:45,01-Jul-2007,03:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,32.0,,,,,,,987.0,,,,35.1,7.5,24.8,27.0,5.8
01-Jul-2007,03:00,01-Jul-2007,03:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,31.0,,,,,,,1044.0,,,,33.3,9.9,24.4,27.0,5.1
01-Jul-2007,03:15,01-Jul-2007,03:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,27.0,,,,,,,1159.0,,,,31.5,8.0,22.2,26.0,7.5
01-Jul-2007,03:30,01-Jul-2007,03:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,27.0,,,,,,,950.0,,,,30.4,9.3,22.2,24.0,7.9
01-Jul-2007,03:45,01-Jul-2007,04:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,27.0,,,,,,,916.0,,,,25.4,8.5,18.4,30.0,7.7
01-Jul-2007,04:00,01-Jul-2007,04:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,27.0,,,,,,,1290.0,,,,29.8,9.5,22.5,26.0,7.1
01-Jul-2007,04:15,01-Jul-2007,04:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,29.0,,,,,,,2244.0,,,,43.8,15.3,35.7,23.0,7.1
01-Jul-2007,04:30,01-Jul-2007,04:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,29.0,,,,,,,1476.0,,,,42.8,13.0,33.1,18.0,6.9
01-Jul-2007,04:45,01-Jul-2007,05:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,29.0,,,,,,,1598.0,,,,44.2,15.5,36.1,18.0,6.6
01-Jul-2007,05:00,01-Jul-2007,05:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,30.0,,,,,,,1717.0,,,,46.2,17.3,38.7,20.0,6.2
