From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2007,00:00,01-Dec-2007,00:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,,193.0,292.0,312.0,7429.0,,18.0,,,,,,,,,,,38.0,,,,,,,,,,
01-Dec-2007,00:15,01-Dec-2007,00:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,,195.0,295.0,316.0,7500.0,,18.0,,,,,,,,,,,41.0,,,,,,,,,,
01-Dec-2007,00:30,01-Dec-2007,00:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,,206.0,308.0,332.0,7685.0,,16.0,,,,,,,,,,,46.0,,,,,,,,,,
01-Dec-2007,00:45,01-Dec-2007,01:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,,181.0,276.0,294.0,6903.0,,16.0,,,,,,,,,,,50.0,,,,,,,,,,
01-Dec-2007,01:00,01-Dec-2007,01:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,,159.0,247.0,261.0,6212.0,,14.0,,,,,,,,,,,51.0,,,,,,,,,,
01-Dec-2007,01:15,01-Dec-2007,01:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,,163.0,253.0,267.0,6020.0,,13.0,,,,,,,,,,,56.0,,,,,,,,,,
01-Dec-2007,01:30,01-Dec-2007,01:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,,150.0,237.0,248.0,5856.0,,13.0,,,,,,,,,,,58.0,,,,,,,,,,
01-Dec-2007,01:45,01-Dec-2007,02:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,,158.0,241.0,257.0,5716.0,,13.0,,,,,,,,,,,60.0,,,,,,,,,,
01-Dec-2007,02:00,01-Dec-2007,02:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,,149.0,229.0,243.0,5474.0,,13.0,,,,,,,,,,,58.0,,,,,,,,,,
01-Dec-2007,02:15,01-Dec-2007,02:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,,153.0,229.0,246.0,5488.0,,14.0,,,,,,,,,,,24.0,,,,,,,,,,
