﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Dec-2009,00:00,01-Dec-2009,00:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,00:15,01-Dec-2009,00:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,00:30,01-Dec-2009,00:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,00:45,01-Dec-2009,01:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,
01-Dec-2009,01:00,01-Dec-2009,01:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,01:15,01-Dec-2009,01:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,01:30,01-Dec-2009,01:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,01:45,01-Dec-2009,02:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,
01-Dec-2009,02:00,01-Dec-2009,02:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,02:15,01-Dec-2009,02:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,02:30,01-Dec-2009,02:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,02:45,01-Dec-2009,03:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,
01-Dec-2009,03:00,01-Dec-2009,03:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,03:15,01-Dec-2009,03:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,03:30,01-Dec-2009,03:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,03:45,01-Dec-2009,04:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,
01-Dec-2009,04:00,01-Dec-2009,04:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,04:15,01-Dec-2009,04:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,04:30,01-Dec-2009,04:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,04:45,01-Dec-2009,05:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,
01-Dec-2009,05:00,01-Dec-2009,05:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,05:15,01-Dec-2009,05:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,05:30,01-Dec-2009,05:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,05:45,01-Dec-2009,06:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,
01-Dec-2009,06:00,01-Dec-2009,06:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,06:15,01-Dec-2009,06:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,06:30,01-Dec-2009,06:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,06:45,01-Dec-2009,07:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,
01-Dec-2009,07:00,01-Dec-2009,07:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,07:15,01-Dec-2009,07:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,07:30,01-Dec-2009,07:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,07:45,01-Dec-2009,08:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,
01-Dec-2009,08:00,01-Dec-2009,08:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,08:15,01-Dec-2009,08:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,08:30,01-Dec-2009,08:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,08:45,01-Dec-2009,09:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,
01-Dec-2009,09:00,01-Dec-2009,09:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,09:15,01-Dec-2009,09:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,09:30,01-Dec-2009,09:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,09:45,01-Dec-2009,10:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,,,,,,,,,
01-Dec-2009,10:00,01-Dec-2009,10:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
01-Dec-2009,10:15,01-Dec-2009,10:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,0.0,,,,,,,,,,,,
