﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2010,00:00,01-Dec-2010,00:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.36,74.58,,,,93.46,,1005.57,,,,,2.85,16.27,10.07,,,15.45,,,3.12,,,,,0.36,,,2.3,,,,,,,,,,
01-Dec-2010,00:15,01-Dec-2010,00:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.27,88.93,,,,95.09,,1005.51,,,,,2.1,15.65,9.2,,,15.71,,,,,,,,0.27,,,2.45,,,,,,,,,,
01-Dec-2010,00:30,01-Dec-2010,00:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.28,88.59,,,,97.16,,1005.31,,,,,2.44,17.64,10.43,,,15.29,,,,,,,,0.28,,,2.4,,,,,,,,,,
01-Dec-2010,00:45,01-Dec-2010,01:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.32,66.69,,,,98.1,,1004.88,,,,,1.73,19.02,10.57,,,15.18,,,,,,,,0.32,,,1.9,,,,,,,,,,
01-Dec-2010,01:00,01-Dec-2010,01:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.31,59.28,,,,97.81,,1004.37,,,,,1.26,21.3,11.34,,,14.46,,,,,,,,0.31,,,2.25,,,,,,,,,,
01-Dec-2010,01:15,01-Dec-2010,01:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.32,65.92,,,,98.44,,1003.93,,,,,1.03,17.38,9.25,0.24,,13.96,,,,,,,,0.32,,,2.26,,,,,,,,,,
01-Dec-2010,01:30,01-Dec-2010,01:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.3,73.82,,,,99.05,,1003.64,,,,,1.21,14.88,8.16,0.38,,14.26,,,,,,,,0.3,,,2.43,,,,,,,,,,
01-Dec-2010,01:45,01-Dec-2010,02:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.29,80.06,,,,99.05,,1003.19,,,,,1.78,14.63,8.46,0.38,,12.67,,,,,,,,0.29,,,1.92,,,,,,,,,,
01-Dec-2010,02:00,01-Dec-2010,02:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.28,77.87,,,,99.05,,1002.69,,,,,1.72,13.04,7.65,0.33,,11.92,,,,,,,,0.28,,,2.34,,,,,,,,,,
01-Dec-2010,02:15,01-Dec-2010,02:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.28,109.37,,,,99.05,,1002.44,,,,,3.31,16.17,10.36,0.42,,5.95,,,,,,,,0.28,,,2.2,,,,,,,,,,
01-Dec-2010,02:30,01-Dec-2010,02:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.28,87.25,,,,99.05,,1002.61,,,,,6.07,17.57,13.1,0.37,,4.78,,,,,,,,0.28,,,2.32,,,,,,,,,,
01-Dec-2010,02:45,01-Dec-2010,03:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.28,71.2,,,,99.05,,1002.59,,,,,5.43,15.34,11.53,0.3,,5.43,,,,,,,,0.28,,,2.41,,,,,,,,,,
01-Dec-2010,03:00,01-Dec-2010,03:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.31,57.66,,,,99.05,,1002.43,,,,,2.8,16.62,10.19,0.31,,7.4,,,,,,,,0.31,,,2.39,,,,,,,,,,
01-Dec-2010,03:15,01-Dec-2010,03:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.33,54.87,,,,99.05,,1002.04,,,,,1.98,24.3,13.33,0.35,,6.9,,,,,,,,0.33,,,2.69,,,,,,,,,,
01-Dec-2010,03:30,01-Dec-2010,03:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.34,48.14,,,,99.05,,1002.06,,,,,0.93,22.52,11.68,0.25,,9.27,,1.64,,,,,,0.34,,,2.33,,,,,,,,,,
01-Dec-2010,03:45,01-Dec-2010,04:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.35,46.25,,,,99.05,,1002.19,,,,,0.39,18.63,9.38,0.27,,10.08,,2.4,2.69,,,,,0.35,,,2.26,,,,,,,,,,
01-Dec-2010,04:00,01-Dec-2010,04:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.35,54.6,,,,99.05,,1002.39,,,,,0.67,16.7,8.65,0.34,,11.56,,,6.14,,,,,0.35,,,2.86,,,,,,,,,,
01-Dec-2010,04:15,01-Dec-2010,04:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.36,49.78,,,,99.05,,1002.56,,,,,0.55,15.4,7.92,0.25,,12.17,,,8.15,,,,,0.36,,,2.59,,,,,,,,,,
01-Dec-2010,04:30,01-Dec-2010,04:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.32,42.22,,,,99.05,,1002.73,,,,,0.6,16.13,8.31,0.34,,12.52,,,6.83,,,,,0.32,,,3.05,,,,,,,,,,
01-Dec-2010,04:45,01-Dec-2010,05:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.33,67.63,,,,99.05,,1002.81,,,,,0.8,15.89,8.35,0.31,,11.8,,,11.26,,,,,0.33,,,2.39,,,,,,,,,,
01-Dec-2010,05:00,01-Dec-2010,05:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.32,102.66,,,,99.05,,1002.87,,,,,0.79,16.59,8.68,0.38,,10.5,,,19.82,,,,,0.32,,,2.55,,,,,,1.2,,,,
01-Dec-2010,05:15,01-Dec-2010,05:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.34,68.71,,,,99.05,,1003.0,,,,,1.15,16.89,9.1,0.46,,10.29,,,14.76,,,,,0.34,,,3.02,,,,,,,,,,
01-Dec-2010,05:30,01-Dec-2010,05:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.38,54.73,,,,99.05,,1003.29,,,,,0.99,15.61,8.35,0.53,,10.74,,,6.22,,,,,0.38,,,2.88,,,,,,,,,,
01-Dec-2010,05:45,01-Dec-2010,06:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.33,56.75,,,,99.05,,1003.71,,,,,1.2,14.81,8.12,0.64,,10.9,,,,,,,,0.33,,,2.74,,,,,,,,,,
01-Dec-2010,06:00,01-Dec-2010,06:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.33,55.27,,,,99.05,,1004.03,,,,,1.55,14.82,8.39,0.42,,10.45,,,6.46,,,,,0.33,,,2.33,,,,,,,,,,
01-Dec-2010,06:15,01-Dec-2010,06:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.33,46.63,,,,99.05,,1004.2,,,,,1.82,20.7,11.46,0.44,,8.39,,,15.87,,,,,0.33,,,3.09,,,,,,,,,,
01-Dec-2010,06:30,01-Dec-2010,06:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.36,47.72,,,,98.93,,1004.51,,,,,1.72,23.14,12.57,0.43,,10.71,,,13.99,,,,,0.36,,,2.72,,,,,,,,,,
01-Dec-2010,06:45,01-Dec-2010,07:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.35,55.86,,,,98.24,,1004.84,,,,,3.91,25.01,15.11,0.38,,6.46,,,9.8,,,,,0.35,,,2.67,,,,,,,,,,
01-Dec-2010,07:00,01-Dec-2010,07:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.48,62.91,,,,98.05,,1005.23,,,,,3.99,24.63,14.99,0.46,,7.12,,,19.98,,,,,0.48,,,2.38,,,,,,,,,,
01-Dec-2010,07:15,01-Dec-2010,07:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.39,46.61,,,,97.95,,1005.74,,,,,18.35,24.5,25.12,0.59,,7.1,,,16.31,,,,,0.39,,,3.21,,,,,,,,,,
01-Dec-2010,07:30,01-Dec-2010,07:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.45,52.22,,,,97.23,,1006.25,,,,,5.07,27.49,17.19,0.73,,8.47,,,13.73,,,,,0.45,,,3.12,,,,,,,,,,
01-Dec-2010,07:45,01-Dec-2010,08:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.38,48.85,,,,97.03,,1006.56,,,,,6.78,28.88,19.15,0.66,,8.75,,,14.78,,,,,0.38,,,3.42,,,,,,,,,,
