﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Oct-2009,00:00,01-Oct-2009,00:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.69,,,86.2,1.99,32.32,,82.65,1.64,1048.84,,,,78.64,1.99,80.63,14.27,4.82
01-Oct-2009,00:15,01-Oct-2009,00:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.69,,,86.49,1.99,32.24,,87.66,1.67,1178.57,,,,75.6,1.14,76.73,14.63,4.64
01-Oct-2009,00:30,01-Oct-2009,00:45,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.59,,,86.78,1.99,32.18,,72.61,1.63,1053.6,,,,73.09,1.17,74.26,14.73,4.52
01-Oct-2009,00:45,01-Oct-2009,01:00,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.51,,,86.94,2.0,32.18,,59.54,1.63,1085.86,,,,71.54,1.51,73.05,14.97,4.61
01-Oct-2009,01:00,01-Oct-2009,01:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.48,,,87.4,2.0,32.02,,60.77,1.62,992.46,,,,69.36,1.55,70.91,15.36,4.73
01-Oct-2009,01:15,01-Oct-2009,01:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.43,,,87.95,2.02,31.89,,78.38,1.61,983.74,,,,70.35,2.49,72.84,15.53,5.07
01-Oct-2009,01:30,01-Oct-2009,01:45,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.44,,,88.4,2.01,31.79,,70.73,1.61,922.36,,,,74.0,1.75,75.74,16.07,4.93
01-Oct-2009,01:45,01-Oct-2009,02:00,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.46,,,89.02,2.0,31.87,,59.9,1.61,891.82,,,,76.32,1.62,77.94,16.18,4.95
01-Oct-2009,02:00,01-Oct-2009,02:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.41,,,89.74,2.0,31.61,,58.02,1.62,805.6,,,,78.63,1.69,80.32,15.9,4.96
01-Oct-2009,02:15,01-Oct-2009,02:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.42,,,90.91,2.0,31.41,,59.66,1.62,934.65,,,,82.1,2.06,84.15,14.76,4.89
01-Oct-2009,02:30,01-Oct-2009,02:45,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.5,,,91.81,2.01,31.32,,62.93,1.63,1017.24,,,,83.39,2.22,85.62,13.98,4.68
01-Oct-2009,02:45,01-Oct-2009,03:00,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.48,,,92.56,2.01,31.2,,54.99,1.63,1029.39,,,,80.98,1.78,82.76,14.17,4.89
01-Oct-2009,03:00,01-Oct-2009,03:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.43,,,92.93,2.02,31.04,,68.66,1.63,940.11,,,,73.11,2.26,75.37,14.93,4.68
01-Oct-2009,03:15,01-Oct-2009,03:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.51,,,93.32,2.02,31.0,,58.77,1.66,1129.63,,,,68.49,2.05,70.53,15.27,4.71
01-Oct-2009,03:30,01-Oct-2009,03:45,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.56,,,94.13,2.02,30.9,,62.17,1.63,1056.87,,,,66.68,2.32,69.01,15.15,4.43
01-Oct-2009,03:45,01-Oct-2009,04:00,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",,987.66,,,94.5,2.02,30.89,,69.22,1.61,1032.93,,,,64.8,2.05,66.85,15.09,4.45
