﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2010,00:00,01-Aug-2010,00:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,82.0,11.6,50.0,36.0,1443.0,,45.0,,,,,,,,,,,5.7,,,,,,,,,,
01-Aug-2010,00:15,01-Aug-2010,00:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,83.0,9.0,39.0,28.0,1327.0,,54.0,,,,,,,,,,,6.9,,,,,,,,,,
01-Aug-2010,00:30,01-Aug-2010,00:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,83.0,8.2,35.0,25.0,1050.0,,67.0,,,,,,,,,,,12.1,,,,,,,,,,
01-Aug-2010,00:45,01-Aug-2010,01:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,84.0,6.5,29.0,21.0,1006.0,,68.0,,,,,,,,,,,12.8,,,,,,,,,,
01-Aug-2010,01:00,01-Aug-2010,01:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,75.0,6.5,29.0,21.0,1015.0,,73.0,,,,,,,,,,,18.0,,,,,,,,,,
01-Aug-2010,01:15,01-Aug-2010,01:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,62.0,7.0,29.0,21.0,1087.0,,75.0,,,,,,,,,,,9.2,,,,,,,,,,
01-Aug-2010,01:30,01-Aug-2010,01:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,62.0,8.1,34.0,25.0,1046.0,,79.0,,,,,,,,,,,8.5,,,,,,,,,,
01-Aug-2010,01:45,01-Aug-2010,02:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,62.0,8.9,37.0,27.0,997.0,,85.0,,,,,,,,,,,7.1,,,,,,,,,,
01-Aug-2010,02:00,01-Aug-2010,02:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,61.0,7.0,30.0,22.0,882.0,,124.0,,,,,,,,,,,5.1,,,,,,,,,,
01-Aug-2010,02:15,01-Aug-2010,02:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,59.0,6.9,30.0,21.0,911.0,,172.0,,,,,,,,,,,6.9,,,,,,,,,,
01-Aug-2010,02:30,01-Aug-2010,02:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,59.0,7.1,30.0,22.0,853.0,,184.0,,,,,,,,,,,3.3,,,,,,,,,,
01-Aug-2010,02:45,01-Aug-2010,03:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,59.0,8.8,37.0,27.0,895.0,,174.0,,,,,,,,,,,3.4,,,,,,,,,,
01-Aug-2010,03:00,01-Aug-2010,03:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,57.0,6.4,28.0,20.0,724.0,,165.0,,,,,,,,,,,3.4,,,,,,,,,,
01-Aug-2010,03:15,01-Aug-2010,03:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,54.0,5.6,25.0,18.0,726.0,,167.0,,,,,,,,,,,3.4,,,,,,,,,,
01-Aug-2010,03:30,01-Aug-2010,03:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,54.0,5.2,23.0,17.0,590.0,,155.0,,,,,,,,,,,3.4,,,,,,,,,,
01-Aug-2010,03:45,01-Aug-2010,04:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,54.0,5.9,25.0,18.0,694.0,,168.0,,,,,,,,,,,3.4,,,,,,,,,,
01-Aug-2010,04:00,01-Aug-2010,04:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,53.0,7.1,30.0,22.0,694.0,,132.0,,,,,,,,,,,3.4,,,,,,,,,,
01-Aug-2010,04:15,01-Aug-2010,04:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,52.0,7.4,32.0,23.0,820.0,,168.0,,,,,,,,,,,8.0,,,,,,,,,,
01-Aug-2010,04:30,01-Aug-2010,04:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,52.0,5.3,23.0,17.0,692.0,,169.0,,,,,,,,,,,15.8,,,,,,,,,,
01-Aug-2010,04:45,01-Aug-2010,05:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,52.0,4.5,19.0,14.0,704.0,,166.0,,,,,,,,,,,13.0,,,,,,,,,,
01-Aug-2010,05:00,01-Aug-2010,05:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,58.0,5.5,23.0,17.0,707.0,,170.0,,,,,,,,,,,19.1,,,,,,,,,,
01-Aug-2010,05:15,01-Aug-2010,05:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,66.0,7.1,29.0,21.0,791.0,,166.0,,,,,,,,,,,15.6,,,,,,,,,,
01-Aug-2010,05:30,01-Aug-2010,05:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,66.0,5.5,23.0,17.0,711.0,,162.0,,,,,,,,,,,10.3,,,,,,,,,,
01-Aug-2010,05:45,01-Aug-2010,06:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,66.0,5.0,22.0,16.0,718.0,,162.0,,,,,,,,,,,7.7,,,,,,,,,,
01-Aug-2010,06:00,01-Aug-2010,06:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,61.0,4.6,20.0,14.0,897.0,,164.0,,,,,,,,,,,3.5,,,,,,,,,,
01-Aug-2010,06:15,01-Aug-2010,06:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,54.0,5.3,22.0,16.0,768.0,,154.0,,,,,,,,,,,10.2,,,,,,,,,,
01-Aug-2010,06:30,01-Aug-2010,06:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,54.0,6.7,28.0,20.0,851.0,,146.0,,,,,,,,,,,9.4,,,,,,,,,,
01-Aug-2010,06:45,01-Aug-2010,07:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,54.0,5.0,21.0,15.0,851.0,,140.0,,,,,,,,,,,16.7,,,,,,,,,,
01-Aug-2010,07:00,01-Aug-2010,07:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,47.0,6.8,29.0,21.0,966.0,,123.0,,,,,,,,,,,9.5,,,,,,,,,,
01-Aug-2010,07:15,01-Aug-2010,07:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,36.0,7.2,31.0,22.0,1042.0,,101.0,,,,,,,,,,,8.9,,,,,,,,,,
01-Aug-2010,07:30,01-Aug-2010,07:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,35.0,7.1,30.0,22.0,1012.0,,89.0,,,,,,,,,,,10.0,,,,,,,,,,
01-Aug-2010,07:45,01-Aug-2010,08:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,35.0,8.1,35.0,25.0,1123.0,,63.0,,,,,,,,,,,9.5,,,,,,,,,,
01-Aug-2010,08:00,01-Aug-2010,08:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,50.0,9.4,41.0,29.0,1019.0,,15.0,,,,,,,,,,,6.8,,,,,,,,,,
01-Aug-2010,08:15,01-Aug-2010,08:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,68.0,8.6,38.0,27.0,1195.0,,14.0,,,,,,,,,,,11.6,,,,,,,,,,
01-Aug-2010,08:30,01-Aug-2010,08:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,68.0,6.6,30.0,21.0,933.0,,16.0,,,,,,,,,,,10.0,,,,,,,,,,
01-Aug-2010,08:45,01-Aug-2010,09:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,68.0,6.6,30.0,21.0,946.0,,15.0,,,,,,,,,,,8.1,,,,,,,,,,
01-Aug-2010,09:00,01-Aug-2010,09:15,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,61.0,5.3,26.0,18.0,826.0,,15.0,,,,,,,,,,,8.7,,,,,,,,,,
01-Aug-2010,09:15,01-Aug-2010,09:30,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,51.0,6.4,30.0,21.0,862.0,,10.0,,,,,,,,,,,9.5,,,,,,,,,,
01-Aug-2010,09:30,01-Aug-2010,09:45,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,50.0,6.7,30.0,21.0,924.0,,29.0,,,,,,,,,,,9.5,,,,,,,,,,
01-Aug-2010,09:45,01-Aug-2010,10:00,Delhi,Delhi,"ITO, Delhi - CPCB",,,,,,,,,,,,50.0,5.7,26.0,18.0,769.0,,17.0,,,,,,,,,,,12.0,,,,,,,,,,
