﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Oct-2010,00:00,01-Oct-2010,00:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",1.76,283.36,,,,56.53,24.19,749.97,,,,,45.34,22.77,68.11,1.0,,5.89,,0.58,5.28,,1.06,,,,,,2.14,27.41,,0.0,,,,,,,
01-Oct-2010,00:15,01-Oct-2010,00:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",1.43,273.88,,,,57.88,23.09,749.97,,,,,46.62,23.58,70.2,0.97,,5.48,,0.56,5.17,,1.01,,,,,,6.95,27.09,,0.0,,,,,,,
01-Oct-2010,00:30,01-Oct-2010,00:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",1.19,243.64,,,,59.48,21.68,749.97,,,,,50.04,22.68,72.72,0.96,,4.87,,0.54,5.12,,0.98,,,,,,6.08,26.76,,0.0,,,,,,,
01-Oct-2010,00:45,01-Oct-2010,01:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",1.74,245.0,,,,60.58,21.16,749.96,,,,,55.53,21.64,77.17,0.96,,4.77,,0.52,4.95,,0.92,,,,,,5.21,26.42,,0.0,,,,,,,
01-Oct-2010,01:00,01-Oct-2010,01:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",1.6,260.83,,,,61.19,20.86,749.97,,,,,50.59,20.9,71.49,0.93,,5.7,,0.53,5.78,,0.9,,,,,,4.46,26.24,,0.0,,,,,,,
01-Oct-2010,01:15,01-Oct-2010,01:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.45,262.35,,,,62.23,20.73,749.97,,,,,50.2,18.63,68.83,0.91,,6.5,,0.52,5.85,,0.86,,,,,,6.3,26.14,,0.0,,,,,,,
01-Oct-2010,01:30,01-Oct-2010,01:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.31,259.89,,,,63.8,20.65,749.96,,,,,49.69,19.58,69.27,0.92,,5.59,,0.5,5.76,,0.83,,,,,,6.82,25.9,,0.0,,,,,,,
01-Oct-2010,01:45,01-Oct-2010,02:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",1.93,252.22,,,,65.18,20.59,749.96,,,,,51.14,19.54,70.68,0.92,,5.11,,0.49,5.57,,0.8,,,,,,5.76,25.63,,0.0,,,,,,,
01-Oct-2010,02:00,01-Oct-2010,02:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.25,251.04,,,,65.97,20.53,749.96,,,,,50.6,18.78,69.39,0.9,,5.02,,0.47,5.41,,0.77,,,,,,5.28,25.28,,0.0,,,,,,,
01-Oct-2010,02:15,01-Oct-2010,02:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.15,251.46,,,,67.19,20.51,749.95,,,,,50.6,18.54,69.14,0.88,,4.57,,0.46,5.26,,0.76,,,,,,4.6,24.92,,0.0,,,,,,,
01-Oct-2010,02:30,01-Oct-2010,02:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.55,255.29,,,,68.31,20.5,749.95,,,,,51.27,18.59,69.85,0.86,,4.66,,0.46,5.0,,0.74,,,,,,5.96,24.64,,0.0,,,,,,,
01-Oct-2010,02:45,01-Oct-2010,03:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.53,256.33,,,,68.51,20.57,749.94,,,,,50.76,17.95,68.71,0.85,,5.07,,0.45,4.66,,0.72,,,,,,5.26,24.55,,0.0,,,,,,,
01-Oct-2010,03:00,01-Oct-2010,03:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.96,258.67,,,,68.34,20.61,749.94,,,,,49.49,17.44,66.93,0.81,,6.02,,0.43,4.38,,0.7,,,,,,5.31,24.48,,0.0,,,,,,,
01-Oct-2010,03:15,01-Oct-2010,03:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.1,257.56,,,,68.36,20.61,749.94,,,,,47.87,16.0,63.87,0.77,,6.61,,0.42,4.16,,0.44,,,,,,7.11,24.41,,0.0,,,,,,,
01-Oct-2010,03:30,01-Oct-2010,03:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.77,260.55,,,,68.08,20.6,749.94,,,,,46.26,16.21,62.47,0.75,,6.74,,0.41,3.89,,0.55,,,,,,5.72,24.35,,0.0,,,,,,,
01-Oct-2010,03:45,01-Oct-2010,04:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.28,276.85,,,,67.44,20.62,749.94,,,,,44.53,15.34,59.88,0.73,,6.85,,0.4,3.66,,0.6,,,,,,4.72,24.43,,0.0,,,,,,,
01-Oct-2010,04:00,01-Oct-2010,04:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.44,256.03,,,,67.48,20.9,749.95,,,,,43.53,15.23,58.75,0.75,,6.62,,0.39,3.47,,0.58,,,,,,4.36,24.41,,0.0,,,,,,,
01-Oct-2010,04:15,01-Oct-2010,04:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.38,261.94,,,,68.23,22.3,749.95,,,,,42.93,15.9,58.82,0.77,,6.51,,0.39,3.37,,0.56,,,,,,7.13,24.22,,0.0,,,,,,,
01-Oct-2010,04:30,01-Oct-2010,04:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.0,272.67,,,,68.26,23.35,749.95,,,,,43.0,15.81,58.81,0.76,,6.3,,0.37,3.3,,0.55,,,,,,7.14,24.23,,0.0,,,,,,,
01-Oct-2010,04:45,01-Oct-2010,05:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.33,283.21,,,,67.98,23.85,749.96,,,,,43.15,15.79,58.94,0.74,,6.03,,0.37,3.2,,0.33,,,,,,6.97,24.28,,0.0,,,,,,,
01-Oct-2010,05:00,01-Oct-2010,05:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.86,289.91,,,,67.38,24.08,749.96,,,,,44.11,16.31,60.41,0.73,,6.02,,0.36,3.1,,0.34,,,,,,6.77,24.36,,0.0,,,,,,,
01-Oct-2010,05:15,01-Oct-2010,05:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.5,294.46,,,,67.95,24.14,749.96,,,,,43.47,16.73,60.2,0.71,,6.18,,0.36,3.03,,0.47,,,,,,7.06,24.24,,0.0,,,,,,,
01-Oct-2010,05:30,01-Oct-2010,05:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.26,297.98,,,,69.48,24.22,749.97,,,,,42.89,16.41,59.3,0.69,,6.15,,0.35,2.98,,0.42,,,,,,7.2,23.92,,0.0,,,,,,,
01-Oct-2010,05:45,01-Oct-2010,06:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.44,297.79,,,,70.63,24.32,749.97,,,,,41.94,16.23,58.17,0.68,,6.08,,0.35,2.83,,0.46,,,,,,7.52,23.67,,0.0,,,,,,,
01-Oct-2010,06:00,01-Oct-2010,06:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.57,303.05,,,,71.3,25.88,749.98,,,,,41.09,16.12,57.21,0.67,,5.76,,0.34,2.7,,0.45,,,,,,7.41,23.61,,0.0,,,,,,,
01-Oct-2010,06:15,01-Oct-2010,06:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.11,300.56,,,,72.1,33.6,749.98,,,,,41.21,15.99,57.2,0.67,,5.27,,0.34,2.58,,0.42,,,,,,3.81,23.5,,0.0,,,,,,,
01-Oct-2010,06:30,01-Oct-2010,06:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",1.8,292.84,,,,72.65,52.33,749.99,,,,,41.7,16.1,57.81,0.68,,5.14,,0.34,2.53,,0.45,,,,,,3.55,23.47,,0.0,,,,,,,
01-Oct-2010,06:45,01-Oct-2010,07:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.18,300.09,,,,72.31,85.65,750.0,,,,,45.35,16.28,61.63,0.71,,4.81,,0.34,2.48,,0.44,,,,,,3.98,23.73,,0.0,,,,,,,
01-Oct-2010,07:00,01-Oct-2010,07:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.91,306.01,,,,71.42,127.93,750.02,,,,,45.93,16.21,62.14,0.72,,5.02,,0.34,2.52,,0.46,,,,,,4.3,24.14,,0.0,,,,,,,
01-Oct-2010,07:15,01-Oct-2010,07:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.88,319.63,,,,70.6,176.21,750.03,,,,,45.27,16.35,61.62,0.75,,5.43,,0.35,2.52,,0.49,,,,,,4.45,24.58,,0.0,,,,,,,
01-Oct-2010,07:30,01-Oct-2010,07:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.99,301.64,,,,69.94,228.02,750.04,,,,,43.45,16.53,59.98,0.78,,5.72,,0.35,2.5,,0.28,,,,,,4.05,24.98,,0.0,,,,,,,
01-Oct-2010,07:45,01-Oct-2010,08:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.53,309.48,,,,69.39,285.41,750.05,,,,,40.16,15.89,56.05,0.78,,6.29,,0.36,2.47,,0.32,,,,,,3.93,25.37,,0.0,,,,,,,
01-Oct-2010,08:00,01-Oct-2010,08:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.52,304.71,,,,69.29,343.98,750.05,,,,,36.57,16.82,53.39,0.79,,7.21,,0.35,2.43,,0.46,,,,,,3.98,25.7,,0.0,,,,,,,
01-Oct-2010,08:15,01-Oct-2010,08:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.14,308.68,,,,68.64,403.29,750.06,,,,,32.62,18.3,50.92,0.8,,7.49,,0.36,2.39,,0.5,,,,,,3.6,26.11,,0.0,,,,,,,
