From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Nov-2010,00:00,01-Nov-2010,00:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.72,287.43,,,,89.18,2.79,984.81,,,,,110.73,196.99,178.98,1929.0,,9.59,,,4.89,0.51,,,,0.88,,,4.67,19.28,2.61,,,,,,,,
01-Nov-2010,00:15,01-Nov-2010,00:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.63,229.77,,,,91.75,2.79,984.72,,,,,105.46,191.11,172.18,1455.35,,9.42,,,5.5,0.58,,,,0.88,,,4.95,18.99,2.72,,,,,,,,
01-Nov-2010,00:30,01-Nov-2010,00:45,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.65,303.48,,,,90.47,2.79,984.67,,,,,92.09,167.52,150.7,1248.07,,10.45,,,6.21,0.58,,,,0.89,,,5.25,19.02,2.7,,,,,,,,
01-Nov-2010,00:45,01-Nov-2010,01:00,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.73,264.73,,,,87.35,2.79,984.63,,,,,73.61,140.19,123.57,1084.06,,33.04,,,6.48,0.63,,,,0.89,,,4.58,19.16,2.5,,,,,,,,
01-Nov-2010,01:00,01-Nov-2010,01:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.55,140.64,,,,88.69,2.79,984.61,,,,,63.63,121.92,107.21,1575.54,,14.17,,,6.43,0.58,,,,0.89,,,3.39,18.74,2.31,,,,,,,,
01-Nov-2010,01:15,01-Nov-2010,01:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.58,253.18,,,,87.62,2.79,984.53,,,,,44.52,98.03,81.3,1382.62,,9.04,,,5.77,0.48,,,,0.89,,,3.54,18.91,2.05,,,,,,,,
01-Nov-2010,01:30,01-Nov-2010,01:45,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.54,209.59,,,,90.34,2.79,984.43,,,,,46.32,96.78,82.03,771.23,,9.58,,,4.83,0.38,,,,0.89,,,3.74,18.5,1.72,,,,,,,,
01-Nov-2010,01:45,01-Nov-2010,02:00,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.54,193.08,,,,90.91,2.79,984.28,,,,,43.15,92.37,77.51,714.13,,8.52,,,4.09,,,,,0.89,,,3.61,18.23,1.5,,,,,,,,
01-Nov-2010,02:00,01-Nov-2010,02:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.72,73.66,,,,89.54,2.79,984.19,,,,,34.21,79.38,64.51,316.06,,7.54,,,3.67,,,,,0.88,,,3.29,18.25,1.34,,,,,,,,
01-Nov-2010,02:15,01-Nov-2010,02:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.65,86.91,,,,87.7,2.78,984.16,,,,,33.09,75.51,61.78,432.96,,7.29,,,3.23,,,,,0.88,,,3.64,18.57,1.16,,,,,,,,
