﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Nov-2010,00:00,01-Nov-2010,00:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,300.26,,,,,30.51,994.0,,,,,4.77,44.89,28.32,1.66,,,,,,,,,,0.87,,18.23,5.26,20.92,,,,,,,,,
01-Nov-2010,00:15,01-Nov-2010,00:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,305.84,,,,,30.52,993.89,,,,,0.95,34.94,20.04,1.28,,,,,,,,,,0.87,,17.49,5.26,20.77,,,,,,,,,
01-Nov-2010,00:30,01-Nov-2010,00:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,304.62,,,,,30.51,993.68,,,,,5.98,42.22,27.89,0.7,,,,,,,,,,0.87,,19.42,5.26,20.61,,,,,,,,,
01-Nov-2010,00:45,01-Nov-2010,01:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,304.61,,,,,30.5,993.52,,,,,14.67,44.74,36.16,0.52,,,,,,,,,,0.86,,22.09,5.26,20.42,,,,,,,,,
01-Nov-2010,01:00,01-Nov-2010,01:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,303.49,,,,,30.51,993.37,,,,,3.32,42.57,25.94,0.88,,,,,,,,,,0.86,,22.62,5.26,20.25,,,,,,,,,
01-Nov-2010,01:15,01-Nov-2010,01:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,315.44,,,,,30.51,993.26,,,,,2.95,38.14,23.33,0.44,,,,,,,,,,0.86,,22.39,5.26,20.04,,,,,,,,,
01-Nov-2010,01:30,01-Nov-2010,01:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,309.97,,,,,30.52,993.17,,,,,1.37,36.07,20.98,0.36,,,,,,,,,,0.86,,22.22,5.26,19.93,,,,,,,,,
01-Nov-2010,01:45,01-Nov-2010,02:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,309.43,,,,,30.53,993.07,,,,,5.03,37.93,24.88,0.36,,,,,,,,,,0.86,,22.06,5.26,19.79,,,,,,,,,
01-Nov-2010,02:00,01-Nov-2010,02:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,326.24,,,,,30.54,993.02,,,,,4.87,36.57,24.04,0.58,,,,,,,,,,0.86,,20.45,5.26,19.58,,,,,,,,,
01-Nov-2010,02:15,01-Nov-2010,02:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,314.28,,,,,30.52,993.0,,,,,0.9,34.19,19.62,0.92,,,,,,,,,,0.86,,19.68,5.26,19.35,,,,,,,,,
01-Nov-2010,02:30,01-Nov-2010,02:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,320.21,,,,,30.54,992.95,,,,,4.62,33.56,22.27,1.85,,,,,,,,,,0.86,,24.09,5.26,19.2,,,,,,,,,
01-Nov-2010,02:45,01-Nov-2010,03:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,322.26,,,,,30.6,992.95,,,,,2.14,30.21,18.53,2.63,,,,,,,,,,0.86,,24.32,5.26,19.07,,,,,,,,,
01-Nov-2010,03:00,01-Nov-2010,03:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,310.53,,,,,30.6,992.96,,,,,2.05,26.23,16.27,0.89,,,,,,,,,,0.86,,21.43,7.13,19.01,,,,,,,,,
01-Nov-2010,03:15,01-Nov-2010,03:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,303.1,,,,,30.62,992.94,,,,,3.01,29.79,18.97,0.36,,,,,,,,,,0.86,,18.54,7.65,18.86,,,,,,,,,
01-Nov-2010,03:30,01-Nov-2010,03:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,299.5,,,,,30.63,992.92,,,,,0.64,26.28,15.27,0.36,,,,,,,,,,0.86,,16.19,5.26,18.73,,,,,,,,,
01-Nov-2010,03:45,01-Nov-2010,04:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,279.63,,,,,30.63,992.88,,,,,2.33,28.32,17.69,0.36,,,,,,,,,,0.86,,17.05,5.26,18.54,,,,,,,,,
01-Nov-2010,04:00,01-Nov-2010,04:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,307.08,,,,,30.64,992.84,,,,,3.04,29.39,18.82,0.36,,,,,,,,,,0.87,,15.87,5.26,18.36,,,,,,,,,
01-Nov-2010,04:15,01-Nov-2010,04:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,314.23,,,,,30.64,992.82,,,,,0.09,22.36,12.47,0.41,,,,,,,,,,0.87,,17.79,5.26,18.47,,,,,,,,,
01-Nov-2010,04:30,01-Nov-2010,04:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,314.21,,,,,30.63,992.81,,,,,0.55,22.62,13.27,0.65,,,,,,,,,,0.86,,17.67,5.26,18.55,,,,,,,,,
01-Nov-2010,04:45,01-Nov-2010,05:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,306.92,,,,,30.64,992.86,,,,,0.38,21.54,12.28,0.48,,,,,,,,,,0.86,,15.77,5.26,18.6,,,,,,,,,
01-Nov-2010,05:00,01-Nov-2010,05:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,326.5,,,,,30.63,992.96,,,,,0.53,23.3,13.44,0.73,,,,,,,,,,0.86,,17.34,5.26,18.7,,,,,,,,,
01-Nov-2010,05:15,01-Nov-2010,05:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,312.41,,,,,30.63,993.08,,,,,0.86,27.65,16.13,0.83,,,,,,,,,,0.86,,18.78,5.26,18.65,,,,,,,,,
01-Nov-2010,05:30,01-Nov-2010,05:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,295.71,,,,,30.65,993.2,,,,,6.74,30.16,22.18,0.42,,,,,,,,,,0.86,,21.42,5.26,18.41,,,,,,,,,
01-Nov-2010,05:45,01-Nov-2010,06:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,298.97,,,,,30.69,993.36,,,,,15.2,33.17,30.53,0.5,,,,,,,,,,0.86,,22.3,5.26,18.3,,,,,,,,,
01-Nov-2010,06:00,01-Nov-2010,06:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,285.77,,,,,31.81,993.54,,,,,4.34,32.11,21.28,0.37,,,,,,,,,,0.86,,21.3,5.26,18.17,,,,,,,,,
01-Nov-2010,06:15,01-Nov-2010,06:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,297.64,,,,,36.52,993.74,,,,,4.37,31.55,21.01,0.37,,,,,,,,,,0.86,,22.4,5.26,18.07,,,,,,,,,
01-Nov-2010,06:30,01-Nov-2010,06:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,277.03,,,,,46.6,994.0,,,,,3.3,29.67,19.18,0.38,,,,,,,,,,0.86,,21.86,5.26,18.04,,,,,,,,,
01-Nov-2010,06:45,01-Nov-2010,07:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,297.78,,,,,59.11,994.23,,,,,7.68,33.14,24.5,1.15,,,,,,,,,,0.86,,24.61,5.26,18.4,,,,,,,,,
01-Nov-2010,07:00,01-Nov-2010,07:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,324.3,,,,,67.4,994.35,,,,,3.48,31.9,21.36,0.48,,,,,,,,,,0.86,,15.01,5.26,18.69,,,,,,,,,
01-Nov-2010,07:15,01-Nov-2010,07:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,251.8,,,,,85.9,994.55,,,,,1.02,36.77,16.4,1.04,,,,,,,,,,0.87,,14.18,5.26,19.42,,,,,,,,,
01-Nov-2010,07:30,01-Nov-2010,07:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,273.56,,,,,97.63,994.75,,,,,4.83,35.34,23.36,0.96,,,,,,,,,,0.87,,19.27,5.26,19.87,,,,,,,,,
01-Nov-2010,07:45,01-Nov-2010,08:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,280.89,,,,,113.44,994.83,,,,,7.37,34.11,24.75,0.66,,,,,,,,,,0.88,,18.19,6.97,20.35,,,,,,,,,
01-Nov-2010,08:00,01-Nov-2010,08:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,264.41,,,,,209.11,994.94,,,,,6.42,36.64,25.32,0.71,,,,,,,,,,0.87,,18.42,6.93,21.42,,,,,,,,,
01-Nov-2010,08:15,01-Nov-2010,08:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,287.35,,,,,279.69,995.24,,,,,3.27,30.88,19.78,0.44,,,,,,,,,,0.9,,16.62,5.33,22.15,,,,,,,,,
01-Nov-2010,08:30,01-Nov-2010,08:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,307.31,,,,,319.42,995.23,,,,,1.76,19.64,12.68,0.44,,,,,,,,,,0.91,,14.35,5.26,22.46,,,,,,,,,
01-Nov-2010,08:45,01-Nov-2010,09:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,308.14,,,,,355.89,995.31,,,,,1.82,21.05,13.48,0.36,,,,,,,,,,0.87,,14.05,5.26,22.9,,,,,,,,,
01-Nov-2010,09:00,01-Nov-2010,09:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,225.61,,,,,395.15,995.47,,,,,1.59,25.57,15.66,0.39,,,,,,,,,,0.92,,14.45,5.26,23.66,,,,,,,,,
01-Nov-2010,09:15,01-Nov-2010,09:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,262.95,,,,,427.46,995.48,,,,,1.34,21.37,13.21,0.36,,,,,,,,,,0.89,,16.08,5.26,24.1,,,,,,,,,
01-Nov-2010,09:30,01-Nov-2010,09:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.88,323.52,,,,,452.83,995.53,,,,,2.09,22.33,14.36,0.44,,,,,,,,,,0.89,,13.66,5.26,24.49,,,,,,,,,
01-Nov-2010,09:45,01-Nov-2010,10:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.87,186.32,,,,,374.47,995.41,,,,,2.53,24.41,15.79,0.39,,,,,,,,,,0.93,,13.37,5.26,25.27,,,,,,,,,
01-Nov-2010,10:00,01-Nov-2010,10:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.87,203.97,,,,,482.87,994.98,,,,,0.57,23.61,13.64,1.47,,,,,,,,,,0.93,,16.71,5.26,26.17,,,,,,,,,
01-Nov-2010,10:15,01-Nov-2010,10:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.87,310.11,,,,,533.53,994.77,,,,,,19.11,10.58,0.5,,,,,,,,,,0.93,,14.67,5.26,26.45,,,,,,,,,
01-Nov-2010,10:30,01-Nov-2010,10:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.87,161.09,,,,,552.4,994.39,,,,,,14.69,5.89,0.39,,,,,,,,,,0.88,,10.3,5.26,26.99,,,,,,,,,
01-Nov-2010,10:45,01-Nov-2010,11:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.87,228.75,,,,,572.96,994.19,,,,,,16.25,8.88,1.57,,,,,,,,,,0.91,,12.72,5.26,27.44,,,,,,,,,
01-Nov-2010,11:00,01-Nov-2010,11:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.87,255.65,,,,,596.87,994.03,,,,,0.37,12.02,7.28,0.67,,,,,,,,,,0.96,,12.76,5.26,27.65,,,,,,,,,
