From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2010,00:00,01-Dec-2010,00:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,96.22,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2010,00:15,01-Dec-2010,00:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,82.07,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2010,00:30,01-Dec-2010,00:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,76.08,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2010,00:45,01-Dec-2010,01:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,73.89,,,,,,,,,,,,,,0.0,,,,,,,,,,
01-Dec-2010,01:00,01-Dec-2010,01:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,80.19,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2010,01:15,01-Dec-2010,01:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,83.34,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2010,01:30,01-Dec-2010,01:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,71.05,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2010,01:45,01-Dec-2010,02:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,67.84,,,,,,,,,,,,,,0.0,,,,,,,,,,
01-Dec-2010,02:00,01-Dec-2010,02:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,72.84,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2010,02:15,01-Dec-2010,02:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,67.28,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2010,02:30,01-Dec-2010,02:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,73.82,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2010,02:45,01-Dec-2010,03:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,73.14,,,,,,,,,,,,,,0.0,,,,,,,,,,
01-Dec-2010,03:00,01-Dec-2010,03:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,62.29,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2010,03:15,01-Dec-2010,03:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,,,,,,0.0,,,,75.71,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
