From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Feb-2011,00:00,01-Feb-2011,00:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.16,302.35,,,,60.73,20.81,750.44,,,,,4.89,58.75,63.64,0.86,,7.28,,0.27,1.81,,0.35,,,,,,12.28,11.91,,0.0,,,,,,,
01-Feb-2011,00:15,01-Feb-2011,00:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.26,309.66,,,,60.88,21.53,750.42,,,,,6.27,59.09,65.36,0.85,,7.66,,0.26,1.76,,0.35,,,,,,9.0,11.87,,0.0,,,,,,,
01-Feb-2011,00:30,01-Feb-2011,00:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.03,309.29,,,,61.33,22.33,750.42,,,,,8.92,62.27,71.19,0.86,,5.85,,0.27,1.69,,0.35,,,,,,7.08,11.8,,0.0,,,,,,,
01-Feb-2011,00:45,01-Feb-2011,01:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.19,308.05,,,,61.72,22.44,750.41,,,,,9.38,65.75,75.12,0.86,,4.0,,0.27,1.61,,0.36,,,,,,6.01,11.6,,0.0,,,,,,,
01-Feb-2011,01:00,01-Feb-2011,01:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.89,304.18,,,,62.49,22.48,750.4,,,,,8.76,66.24,75.01,0.83,,86.22,,0.26,1.39,,0.34,,,,,,5.17,11.31,,0.0,,,,,,,
01-Feb-2011,01:15,01-Feb-2011,01:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.45,309.98,,,,63.03,22.43,750.4,,,,,6.41,65.2,71.6,0.79,,142.31,,0.26,1.44,,0.31,,,,,,6.4,11.08,,0.0,,,,,,,
01-Feb-2011,01:30,01-Feb-2011,01:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.46,300.44,,,,63.48,22.43,750.41,,,,,6.36,64.5,70.86,0.78,,7.26,,0.25,1.35,,0.31,,,,,,6.61,10.95,,0.0,,,,,,,
01-Feb-2011,01:45,01-Feb-2011,02:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",4.19,296.13,,,,63.59,22.43,750.41,,,,,5.54,62.93,68.47,0.76,,8.19,,0.25,1.28,,0.25,,,,,,5.84,10.93,,0.0,,,,,,,
01-Feb-2011,02:00,01-Feb-2011,02:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",3.29,285.87,,,,63.77,22.35,750.4,,,,,5.07,61.04,66.11,0.75,,8.51,,0.25,1.22,,0.24,,,,,,5.26,10.92,,0.0,,,,,,,
01-Feb-2011,02:15,01-Feb-2011,02:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2.86,273.87,,,,63.91,22.51,750.4,,,,,5.15,59.72,64.87,0.72,,9.31,,0.25,1.17,,0.24,,,,,,6.63,10.88,,0.0,,,,,,,
