From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2011,00:00,01-Aug-2011,00:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.4,222.0,,,26.1,78.33,128.67,739.0,,,,15.0,32.8,75.07,115.23,1.2,,157.7,,1.5,11.7,,,,,,,12.33,24.23,26.1,,,,,,,,,
01-Aug-2011,00:15,01-Aug-2011,00:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.5,215.33,,,26.07,79.0,132.0,739.0,,,,15.0,40.63,68.3,120.2,1.1,,332.27,,1.47,11.2,,,,,,,16.33,23.0,26.07,,,,,,,,,
01-Aug-2011,00:30,01-Aug-2011,00:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.5,231.67,,,25.6,81.0,137.67,739.0,,,,15.0,45.87,65.1,124.63,1.1,,195.37,,1.53,11.63,,,,,,,14.73,22.9,25.6,,,,,,,,,
01-Aug-2011,00:45,01-Aug-2011,01:00,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.7,206.0,,,25.37,81.67,136.67,739.0,,,,15.0,44.03,65.07,121.9,1.13,,258.43,,1.6,11.93,,,,,,,17.93,24.1,25.37,,,,,,,,,
01-Aug-2011,01:00,01-Aug-2011,01:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",1.3,215.33,,,26.13,73.67,119.0,739.0,,,,15.0,13.0,62.3,75.67,0.73,,76.37,,1.6,12.03,,,,,,,32.07,22.5,26.13,,,,,,,,,
01-Aug-2011,01:15,01-Aug-2011,01:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",1.17,205.33,,,26.6,71.0,113.0,739.0,,,,15.0,4.17,50.27,52.1,0.53,,44.37,,1.63,12.3,,,,,,,43.77,22.03,26.6,,,,,,,,,
01-Aug-2011,01:30,01-Aug-2011,01:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.6,196.33,,,26.37,72.67,119.33,739.0,,,,15.0,1.3,58.4,55.57,0.43,,39.8,,1.43,11.3,,,,,,,136.47,22.4,26.37,,,,,,,,,
01-Aug-2011,01:45,01-Aug-2011,02:00,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",1.0,212.33,,,26.2,72.67,120.67,739.0,,,,15.0,2.07,39.3,39.13,0.33,,43.93,,1.03,9.47,,,,,,,90.2,21.4,26.2,,,,,,,,,
01-Aug-2011,02:00,01-Aug-2011,02:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",1.0,234.0,,,26.27,72.0,119.0,739.0,,,,15.0,1.0,30.97,28.93,0.3,,39.87,,0.77,8.33,,,,,,,76.1,21.7,26.27,,,,,,,,,
01-Aug-2011,02:15,01-Aug-2011,02:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",1.2,245.0,,,26.27,71.0,113.67,739.0,,,,15.0,1.93,23.6,24.47,0.3,,41.57,,0.57,7.53,,,,,,,80.17,22.3,26.27,,,,,,,,,
01-Aug-2011,02:30,01-Aug-2011,02:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",1.13,229.33,,,26.03,71.67,114.33,739.0,,,,15.0,4.63,20.6,25.4,0.3,,41.63,,0.5,7.0,,,,,,,77.3,22.3,26.03,,,,,,,,,
01-Aug-2011,02:45,01-Aug-2011,03:00,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",1.3,244.33,,,25.9,70.33,114.67,739.0,,,,28.0,2.5,20.5,19.1,0.3,,29.9,,0.5,6.7,,,,,,,66.1,21.0,25.9,,,,,,,,,
01-Aug-2011,03:00,01-Aug-2011,03:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",1.3,225.0,,,25.63,71.0,115.0,739.0,,,,41.0,3.17,19.27,22.1,0.2,,33.5,,0.57,6.6,,,,,,,62.37,21.83,25.63,,,,,,,,,
