﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Aug-2011,00:00,01-Aug-2011,00:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.87,27.5,,78.41,50.01,23.46,0.16,253.7,1.14,-0.1,0.1,,,6.51,2.69,9.2,0.01,2.13
01-Aug-2011,00:15,01-Aug-2011,00:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.77,27.8,,78.24,49.46,23.43,0.14,252.56,1.1,-0.03,0.1,,,7.11,2.5,9.62,0.01,1.85
01-Aug-2011,00:30,01-Aug-2011,00:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.76,27.81,,78.19,49.76,23.4,0.11,258.15,1.28,-0.12,0.08,,,8.23,2.88,11.11,0.01,1.69
01-Aug-2011,00:45,01-Aug-2011,01:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.72,27.82,,78.25,50.06,23.39,0.09,250.71,1.38,-0.0,0.09,,,6.46,3.18,9.63,0.01,1.79
01-Aug-2011,01:00,01-Aug-2011,01:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.69,27.25,,78.25,50.02,23.38,0.12,253.98,1.22,-0.08,0.08,,,5.89,2.83,8.71,0.01,1.78
01-Aug-2011,01:15,01-Aug-2011,01:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.6,27.56,,78.68,49.67,23.26,0.1,258.03,1.19,-0.06,0.11,,,3.5,1.26,4.76,0.01,1.77
01-Aug-2011,01:30,01-Aug-2011,01:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.54,27.56,,79.34,49.76,23.18,0.11,252.65,1.09,-0.02,0.09,,,8.57,3.62,12.19,0.01,1.85
01-Aug-2011,01:45,01-Aug-2011,02:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.28,27.13,,79.72,50.08,23.12,0.09,256.52,1.15,-0.04,0.06,,,7.81,4.15,11.95,0.01,1.87
01-Aug-2011,02:00,01-Aug-2011,02:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.14,19.18,,79.97,49.87,23.01,0.11,263.81,1.3,-0.05,0.08,,,3.78,2.7,6.48,0.01,1.85
01-Aug-2011,02:15,01-Aug-2011,02:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.98,19.42,,80.72,49.07,22.79,0.13,263.52,1.24,-0.01,0.07,,,4.25,2.06,6.31,0.01,2.12
01-Aug-2011,02:30,01-Aug-2011,02:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.83,19.42,,80.45,49.12,22.86,0.08,262.66,1.26,0.01,0.07,,,7.14,2.69,9.83,0.01,2.44
01-Aug-2011,02:45,01-Aug-2011,03:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.81,19.13,,80.24,49.43,22.84,0.07,260.86,1.26,-0.04,0.08,,,2.89,1.83,4.72,0.07,2.18
01-Aug-2011,03:00,01-Aug-2011,03:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.77,13.72,,80.01,49.5,22.84,0.08,258.94,1.21,-0.02,0.07,,,4.4,1.51,5.91,0.07,2.17
01-Aug-2011,03:15,01-Aug-2011,03:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.82,13.9,,79.6,48.69,22.9,0.08,261.22,1.17,-0.11,0.11,,,4.99,1.36,6.35,0.01,2.24
01-Aug-2011,03:30,01-Aug-2011,03:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.76,13.92,,79.09,48.03,22.99,0.1,258.19,1.32,-0.06,0.13,,,4.82,2.85,7.68,0.01,2.14
01-Aug-2011,03:45,01-Aug-2011,04:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.72,14.27,,78.87,48.39,23.0,0.1,255.51,1.42,-0.02,0.1,,,6.4,3.2,9.6,0.01,2.2
01-Aug-2011,04:00,01-Aug-2011,04:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.76,19.86,,78.88,49.12,22.99,0.1,255.8,1.32,-0.03,0.11,,,5.66,2.93,8.59,0.01,2.24
01-Aug-2011,04:15,01-Aug-2011,04:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.84,20.11,,79.03,49.33,22.93,0.07,269.91,1.2,-0.05,0.1,,,5.29,2.21,7.5,0.01,2.3
01-Aug-2011,04:30,01-Aug-2011,04:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.93,20.1,,79.44,49.08,22.79,0.08,269.44,1.12,-0.02,0.1,,,1.97,1.72,3.69,0.01,2.43
01-Aug-2011,04:45,01-Aug-2011,05:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.89,19.98,,79.54,49.53,22.75,0.09,260.48,1.2,-0.14,0.08,,,3.05,1.17,4.23,0.01,2.32
01-Aug-2011,05:00,01-Aug-2011,05:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,703.83,17.51,,79.29,49.36,22.74,0.07,266.19,1.2,-0.06,0.06,,,4.01,1.33,5.34,0.01,2.26
01-Aug-2011,05:15,01-Aug-2011,05:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.0,17.74,,79.73,48.97,22.51,0.06,267.18,1.19,-0.11,0.06,,,2.29,1.06,3.35,0.01,2.2
01-Aug-2011,05:30,01-Aug-2011,05:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.07,17.73,,79.26,49.2,22.49,0.08,257.07,1.28,-0.07,0.07,,,1.98,1.25,3.23,0.01,2.1
01-Aug-2011,05:45,01-Aug-2011,06:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.06,17.5,,78.71,50.53,22.46,0.08,258.35,1.35,-0.06,0.1,,,2.01,1.25,3.26,0.01,2.21
01-Aug-2011,06:00,01-Aug-2011,06:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.18,12.99,,78.71,54.66,22.39,0.09,271.19,1.21,0.03,0.07,,,2.13,1.31,3.44,0.01,2.19
01-Aug-2011,06:15,01-Aug-2011,06:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.32,13.18,,78.75,72.2,22.37,0.07,269.52,1.21,0.06,0.07,,,2.33,1.63,3.96,0.01,2.25
01-Aug-2011,06:30,01-Aug-2011,06:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.38,13.16,,78.54,96.69,22.43,0.08,266.79,1.26,-0.01,0.08,,,3.64,1.44,5.08,0.01,2.07
01-Aug-2011,06:45,01-Aug-2011,07:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.6,13.37,,78.3,119.24,22.56,0.08,269.07,1.11,0.05,0.09,,,4.08,2.14,6.21,0.01,2.0
01-Aug-2011,07:00,01-Aug-2011,07:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.72,16.32,,77.89,143.39,22.75,0.08,269.57,1.11,0.08,0.08,,,4.46,2.08,6.53,0.01,1.86
01-Aug-2011,07:15,01-Aug-2011,07:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.77,16.53,,77.34,175.96,22.97,0.0,264.75,1.13,0.02,0.0,,,3.83,2.5,6.33,0.01,1.79
01-Aug-2011,07:30,01-Aug-2011,07:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,704.97,16.53,,76.56,183.88,23.19,0.08,272.05,1.1,0.06,0.08,,,3.64,2.5,6.14,0.01,1.81
01-Aug-2011,07:45,01-Aug-2011,08:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,705.11,16.75,,76.12,174.2,23.3,0.09,266.12,1.03,0.02,0.1,,,3.71,2.25,5.96,0.01,1.88
