From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Nov-2011,00:00,01-Nov-2011,00:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.75,136.44,,,,48.1,100.7,954.69,,,,,15.37,104.18,62.54,1856.62,,5.88,,19.3,100.78,12.87,,,,0.24,,,64.48,21.5,34.69,,,,18.31,,,,
01-Nov-2011,00:15,01-Nov-2011,00:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.58,163.86,,,,49.0,98.3,955.38,,,,,15.93,102.71,62.24,1776.04,,5.93,,16.01,84.01,11.2,,,,0.19,,,63.52,21.41,29.7,,,,15.63,,,,
01-Nov-2011,00:30,01-Nov-2011,00:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.4,188.4,,,,52.01,98.47,955.34,,,,,24.27,103.63,68.92,1940.51,,6.65,,13.98,73.13,10.34,,,,0.13,,,64.13,20.97,26.26,,,,12.39,,,,
01-Nov-2011,00:45,01-Nov-2011,01:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.47,199.4,,,,54.13,98.7,954.94,,,,,45.91,112.02,89.16,2619.75,,7.53,,12.6,66.89,9.81,,,,0.15,,,69.6,20.63,24.18,,,,11.41,,,,
01-Nov-2011,01:00,01-Nov-2011,01:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.28,267.48,,,,58.63,98.59,955.2,,,,,54.23,116.77,97.69,3283.04,,7.3,,12.03,64.42,9.8,,,,0.08,,,72.69,19.91,23.36,,,,10.99,,,,
01-Nov-2011,01:15,01-Nov-2011,01:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.42,154.45,,,,59.89,99.96,955.32,,,,,55.82,115.75,98.37,2973.18,,7.67,,12.7,65.75,10.46,,,,0.14,,,72.03,19.64,23.87,,,,12.45,,,,
01-Nov-2011,01:30,01-Nov-2011,01:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.57,161.55,,,,57.14,92.76,955.21,,,,,35.0,103.35,76.78,2300.65,,6.66,,13.52,69.46,11.34,,,,0.2,,,63.94,20.08,25.42,,,,15.65,,,,
01-Nov-2011,01:45,01-Nov-2011,02:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.6,169.89,,,,55.73,65.9,955.0,,,,,20.24,94.66,61.53,1919.75,,5.84,,14.01,72.04,11.81,,,,0.19,,,58.28,20.43,27.57,,,,12.35,,,,
01-Nov-2011,02:00,01-Nov-2011,02:15,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.47,214.27,,,,57.63,63.91,954.71,,,,,18.28,89.39,57.5,1815.09,,5.84,,14.01,70.53,11.83,,,,0.14,,,54.85,20.21,27.39,,,,12.29,,,,
01-Nov-2011,02:15,01-Nov-2011,02:30,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.45,229.49,,,,62.87,71.22,954.5,,,,,33.73,92.46,70.53,1988.84,,6.5,,13.0,64.93,11.26,,,,0.14,,,56.84,19.45,25.3,,,,14.31,,,,
01-Nov-2011,02:30,01-Nov-2011,02:45,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.29,224.4,,,,64.15,74.77,954.63,,,,,37.4,92.42,73.25,1886.17,,7.51,,12.01,59.59,10.52,,,,0.08,,,56.82,19.13,23.86,,,,10.77,,,,
01-Nov-2011,02:45,01-Nov-2011,03:00,Delhi,Delhi,"Shadipur, Delhi - CPCB",0.35,226.19,,,,63.71,121.57,954.55,,,,,27.7,88.3,64.0,1631.72,,5.51,,11.67,57.16,10.18,,,,0.1,,,54.13,19.0,22.61,,,,11.45,,,,
