﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Nov-2011,00:00,01-Nov-2011,00:15,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.02,192.52,,,,72.28,323.04,993.18,,,,,,,,1.88,,,,1.29,3.01,0.69,,,,,,,12.98,14.69,1.72,,,,0.58,,,,
01-Nov-2011,00:15,01-Nov-2011,00:30,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,173.93,,,,72.8,323.04,993.1,,,,,,,,1.81,,,,1.29,3.0,0.69,,,,,,,14.07,14.54,1.72,,,,0.58,,,,
01-Nov-2011,00:30,01-Nov-2011,00:45,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,167.53,,,,72.75,323.04,993.1,,,,,,,,1.9,,,,1.29,3.0,0.69,,,,,,,13.89,14.58,1.71,,,,0.58,,,,
01-Nov-2011,00:45,01-Nov-2011,01:00,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.01,172.46,,,,73.63,323.04,993.08,,,,,,,,1.97,,,,1.29,3.01,0.69,,,,,,,13.85,14.41,1.72,,,,0.58,,,,
01-Nov-2011,01:00,01-Nov-2011,01:15,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,166.41,,,,73.55,323.04,993.11,,,,,,,,1.98,,,,1.29,3.0,0.69,,,,,,,16.42,14.25,1.71,,,,0.58,,,,
01-Nov-2011,01:15,01-Nov-2011,01:30,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.06,166.24,,,,74.73,323.04,993.15,,,,,,,,1.73,,,,1.29,3.02,0.69,,,,,,,14.26,14.14,1.73,,,,0.58,,,,
01-Nov-2011,01:30,01-Nov-2011,01:45,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.04,266.76,,,,75.54,323.04,993.09,,,,,,,,1.64,,,,1.29,3.01,0.69,,,,,,,16.15,14.08,1.72,,,,0.58,,,,
01-Nov-2011,01:45,01-Nov-2011,02:00,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.04,161.93,,,,76.2,323.04,993.03,,,,,,,,1.56,,,,1.29,3.01,0.69,,,,,,,14.75,13.92,1.72,,,,0.58,,,,
01-Nov-2011,02:00,01-Nov-2011,02:15,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.13,263.57,,,,74.77,323.04,992.99,,,,,,,,1.31,,,,1.3,3.04,0.7,,,,,,,16.06,13.97,1.74,,,,0.59,,,,
01-Nov-2011,02:15,01-Nov-2011,02:30,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.09,196.3,,,,73.35,323.04,992.91,,,,,,,,1.02,,,,1.3,3.03,0.69,,,,,,,15.14,13.86,1.73,,,,0.59,,,,
01-Nov-2011,02:30,01-Nov-2011,02:45,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.08,185.64,,,,71.27,323.04,992.95,,,,,,,,0.74,,,,1.3,3.03,0.69,,,,,,,14.75,13.91,1.73,,,,0.58,,,,
01-Nov-2011,02:45,01-Nov-2011,03:00,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.06,207.24,,,,70.78,323.03,992.95,,,,,,,,1.34,,,,1.3,3.02,0.69,,,,,,,13.95,13.71,1.73,,,,0.58,,,,
01-Nov-2011,03:00,01-Nov-2011,03:15,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.37,207.35,,,,69.09,323.02,992.97,,,,,,,,1.28,,,,1.33,3.1,0.71,,,,,,,13.96,13.82,1.77,,,,0.6,,,,
01-Nov-2011,03:15,01-Nov-2011,03:30,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.31,204.49,,,,66.45,323.02,992.97,,,,,,,,1.18,,,,1.32,3.09,0.71,,,,,,,13.68,14.19,1.77,,,,0.6,,,,
01-Nov-2011,03:30,01-Nov-2011,03:45,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.5,201.42,,,,65.93,323.01,992.95,,,,,,,,1.03,,,,1.34,3.13,0.72,,,,,,,14.44,14.14,1.79,,,,0.6,,,,
01-Nov-2011,03:45,01-Nov-2011,04:00,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.5,196.26,,,,65.12,323.01,992.99,,,,,,,,0.95,,,,1.34,3.13,0.72,,,,,,,13.25,14.22,1.79,,,,0.6,,,,
01-Nov-2011,04:00,01-Nov-2011,04:15,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.48,213.64,,,,65.09,323.02,993.04,,,,,,,,1.19,,,,1.34,3.13,0.72,,,,,,,5.44,14.0,1.79,,,,0.6,,,,
01-Nov-2011,04:15,01-Nov-2011,04:30,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.27,203.91,,,,65.33,323.01,993.17,,,,,,,,0.92,,,,1.32,3.08,0.7,,,,,,,1.5,14.0,1.76,,,,0.59,,,,
01-Nov-2011,04:30,01-Nov-2011,04:45,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",0.07,215.08,,,,67.85,323.02,993.19,,,,,,,,0.9,,,,1.3,3.03,0.69,,,,,,,1.66,13.45,1.73,,,,0.58,,,,
