﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jan-2012,00:00,01-Jan-2012,00:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,987.02,,,69.09,1.9,9.65,,78.69,0.46,4406.93,,,46.97,80.68,40.33,74.38,,21.05
01-Jan-2012,00:15,01-Jan-2012,00:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.93,,,70.6,1.89,9.41,,199.7,0.26,3578.22,,,42.62,77.15,35.58,67.59,,20.37
01-Jan-2012,00:30,01-Jan-2012,00:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.88,,,70.42,1.9,9.36,,286.13,0.05,3990.48,,,44.05,70.9,44.12,72.3,,19.67
01-Jan-2012,00:45,01-Jan-2012,01:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.99,,,69.42,1.89,9.42,,301.42,0.19,3707.82,,,42.68,69.29,39.84,68.03,,21.66
01-Jan-2012,01:00,01-Jan-2012,01:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,987.17,,,68.84,1.84,9.6,,287.27,0.31,2771.94,,,48.72,93.35,34.5,76.35,,22.8
01-Jan-2012,01:15,01-Jan-2012,01:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,987.29,,,68.82,1.78,9.5,,164.06,0.7,2764.82,,,38.18,88.1,26.61,67.29,,25.43
01-Jan-2012,01:30,01-Jan-2012,01:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,987.24,,,68.51,1.75,9.51,,199.37,0.9,2403.9,,,32.39,75.04,17.39,53.07,,31.97
01-Jan-2012,01:45,01-Jan-2012,02:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.79,,,67.96,1.76,9.6,,186.99,0.35,2308.64,,,31.58,72.47,11.39,46.93,,43.41
01-Jan-2012,02:00,01-Jan-2012,02:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.5,,,68.11,1.81,9.5,,287.44,0.25,2297.65,,,33.37,74.31,12.83,49.05,,54.14
01-Jan-2012,02:15,01-Jan-2012,02:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.39,,,68.48,1.78,9.37,,209.54,0.87,2119.75,,,29.75,80.56,10.16,50.18,,64.95
01-Jan-2012,02:30,01-Jan-2012,02:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.4,,,69.42,1.75,9.22,,130.96,0.36,1968.94,,,29.88,77.93,10.68,49.22,,93.26
01-Jan-2012,02:45,01-Jan-2012,03:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.4,,,69.73,1.75,9.22,,313.91,0.45,2034.63,,,31.5,76.58,10.4,48.29,,116.42
01-Jan-2012,03:00,01-Jan-2012,03:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.31,,,69.62,1.75,9.25,,184.94,0.18,1909.37,,,31.01,76.26,5.07,43.86,,140.69
01-Jan-2012,03:15,01-Jan-2012,03:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.11,,,70.05,1.75,9.21,,310.25,0.2,2078.69,,,28.44,70.72,6.66,42.23,,149.87
01-Jan-2012,03:30,01-Jan-2012,03:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.01,,,70.09,1.75,9.17,,305.69,0.38,2172.79,,,28.91,67.42,5.89,39.89,,156.33
01-Jan-2012,03:45,01-Jan-2012,04:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.84,,,70.25,1.75,9.12,,239.32,0.9,2296.96,,,29.38,59.3,5.31,35.17,,97.39
01-Jan-2012,04:00,01-Jan-2012,04:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.75,,,70.86,1.75,9.05,,229.84,1.35,2227.46,,,27.69,61.72,5.79,36.82,,149.8
01-Jan-2012,04:15,01-Jan-2012,04:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.59,,,70.76,1.75,9.09,,88.19,0.73,2191.57,,,27.04,63.39,5.89,37.77,,157.2
01-Jan-2012,04:30,01-Jan-2012,04:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.37,,,71.17,1.76,9.12,,57.23,1.3,2065.74,,,25.4,64.09,4.99,37.32,,141.4
01-Jan-2012,04:45,01-Jan-2012,05:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.15,,,73.12,1.77,9.14,,59.12,1.92,1974.06,,,25.33,63.84,9.95,41.26,,113.66
01-Jan-2012,05:00,01-Jan-2012,05:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.24,,,73.11,1.74,9.42,,266.48,1.38,1673.95,,,23.99,66.67,10.45,43.14,,99.56
01-Jan-2012,05:15,01-Jan-2012,05:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.35,,,73.96,1.74,9.31,,142.14,0.77,1669.15,,,23.93,63.23,9.85,40.86,,94.84
01-Jan-2012,05:30,01-Jan-2012,05:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.47,,,74.84,1.74,9.32,,181.43,0.43,1592.39,,,23.04,62.43,7.72,38.74,,87.03
01-Jan-2012,05:45,01-Jan-2012,06:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.47,,,75.81,1.74,9.34,,150.89,0.02,1546.58,,,21.75,57.6,5.79,34.67,,81.09
01-Jan-2012,06:00,01-Jan-2012,06:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.34,,,77.06,1.75,9.38,,308.08,0.01,1622.72,,,20.82,57.05,5.98,34.53,,74.47
01-Jan-2012,06:15,01-Jan-2012,06:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.99,,,77.97,1.77,9.3,,166.91,0.45,1630.96,,,18.19,55.76,6.51,34.28,,66.36
01-Jan-2012,06:30,01-Jan-2012,06:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.17,,,79.5,1.79,9.34,,242.88,0.51,1639.43,,,21.64,55.24,8.53,35.62,,58.38
01-Jan-2012,06:45,01-Jan-2012,07:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.35,,,79.6,1.85,9.3,,122.28,0.14,1775.03,,,22.59,52.98,8.72,34.59,,52.79
01-Jan-2012,07:00,01-Jan-2012,07:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.57,,,81.81,2.37,8.8,,153.85,0.09,1688.51,,,20.27,52.11,9.78,34.99,,43.75
01-Jan-2012,07:15,01-Jan-2012,07:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.78,,,83.25,4.28,8.95,,179.07,0.48,1957.05,,,22.6,47.33,9.82,32.51,,36.07
01-Jan-2012,07:30,01-Jan-2012,07:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.04,,,82.51,8.17,9.09,,130.81,0.22,1750.14,,,25.22,48.25,14.75,36.94,,30.68
01-Jan-2012,07:45,01-Jan-2012,08:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.35,,,82.5,7.88,9.23,,210.98,0.13,1919.99,,,22.65,54.21,20.28,44.49,,16.67
01-Jan-2012,08:00,01-Jan-2012,08:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.45,,,81.86,15.27,9.49,,300.7,0.11,1888.34,,,26.52,57.4,26.47,51.1,,23.81
01-Jan-2012,08:15,01-Jan-2012,08:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.5,,,80.11,24.58,9.97,,314.67,0.38,2900.76,,,35.01,89.35,65.69,99.21,,30.56
01-Jan-2012,08:30,01-Jan-2012,08:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.51,,,79.14,41.91,10.16,,314.45,0.16,4073.32,,,42.13,106.61,69.77,111.51,,34.16
01-Jan-2012,08:45,01-Jan-2012,09:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.56,,,77.97,57.81,10.58,,255.01,0.29,4714.39,,,43.43,119.56,54.07,105.72,,46.76
01-Jan-2012,09:00,01-Jan-2012,09:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.69,,,76.44,48.0,10.87,,169.0,0.15,4012.35,,,41.17,124.21,31.92,90.45,,65.73
01-Jan-2012,09:15,01-Jan-2012,09:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.89,,,75.75,50.77,11.17,,77.45,0.13,4288.89,,,44.04,137.8,31.09,96.89,,73.86
01-Jan-2012,09:30,01-Jan-2012,09:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.97,,,75.31,61.73,11.34,,54.28,0.06,3755.84,,,42.3,131.63,25.64,89.3,,78.46
01-Jan-2012,09:45,01-Jan-2012,10:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.83,,,73.19,94.62,11.9,,99.36,0.61,3307.51,,,39.81,124.44,22.31,82.88,,88.66
01-Jan-2012,10:00,01-Jan-2012,10:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.71,,,71.64,160.42,12.34,,85.74,2.43,1221.03,,,25.19,70.74,7.49,42.91,,96.99
01-Jan-2012,10:15,01-Jan-2012,10:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.62,,,71.08,160.47,12.51,,88.8,2.02,777.01,,,22.18,48.56,6.47,30.47,,89.65
01-Jan-2012,10:30,01-Jan-2012,10:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.33,,,70.69,168.79,12.75,,73.76,2.29,676.69,,,19.73,39.36,3.29,23.0,,86.57
01-Jan-2012,10:45,01-Jan-2012,11:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.22,,,71.14,95.8,12.65,,76.1,2.36,579.19,,,19.97,33.48,5.94,22.16,,79.67
01-Jan-2012,11:00,01-Jan-2012,11:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,986.07,,,72.45,70.97,12.23,,69.86,2.55,618.81,,,19.43,32.58,4.03,20.16,,71.8
01-Jan-2012,11:15,01-Jan-2012,11:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.91,,,73.53,74.48,12.13,,69.79,1.95,717.74,,,20.14,33.83,3.08,20.06,,62.75
01-Jan-2012,11:30,01-Jan-2012,11:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.7,,,73.94,79.74,12.17,,77.48,1.33,592.51,,,19.68,30.68,3.47,18.71,,59.34
01-Jan-2012,11:45,01-Jan-2012,12:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.67,,,74.43,71.41,12.12,,70.53,1.73,601.62,,,19.97,27.97,4.36,18.01,,39.54
01-Jan-2012,12:00,01-Jan-2012,12:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.56,,259.25,74.83,60.6,12.1,,65.37,1.76,576.54,,,19.15,26.94,1.85,15.46,,42.51
01-Jan-2012,12:15,01-Jan-2012,12:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.41,,259.25,74.98,55.51,12.1,,65.72,1.46,596.51,,,18.39,26.73,2.45,15.83,,46.64
01-Jan-2012,12:30,01-Jan-2012,12:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,985.13,,187.77,75.5,41.49,12.07,,65.05,1.33,553.74,,,19.34,31.89,3.94,19.72,,41.54
01-Jan-2012,12:45,01-Jan-2012,13:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.94,,166.69,75.99,31.8,11.95,,73.93,1.51,509.51,,,19.95,31.19,4.13,19.51,,37.46
01-Jan-2012,13:00,01-Jan-2012,13:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.77,,166.69,76.87,28.98,11.85,,63.14,1.17,532.34,,,20.38,33.24,4.47,20.85,,33.44
01-Jan-2012,13:15,01-Jan-2012,13:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.57,,166.69,77.21,30.7,11.78,,58.94,1.1,464.02,,,20.09,35.34,4.27,21.79,,33.09
01-Jan-2012,13:30,01-Jan-2012,13:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.42,,132.69,77.27,32.06,11.82,,63.14,0.78,512.97,,,19.56,36.05,4.73,22.54,,30.28
01-Jan-2012,13:45,01-Jan-2012,14:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.41,,122.66,77.47,28.16,11.81,,87.63,0.57,386.25,,,19.84,40.46,5.59,25.53,,27.24
01-Jan-2012,14:00,01-Jan-2012,14:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.31,,122.66,77.67,38.21,11.84,,86.39,0.66,449.33,,,21.01,40.55,5.97,25.88,,25.11
01-Jan-2012,14:15,01-Jan-2012,14:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.23,,122.66,78.05,41.42,11.84,,132.23,1.02,478.15,,,20.44,44.9,6.69,28.74,,23.93
01-Jan-2012,14:30,01-Jan-2012,14:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.07,,115.93,78.3,36.26,11.8,,83.59,1.01,522.76,,,20.35,44.48,5.4,27.49,,25.02
01-Jan-2012,14:45,01-Jan-2012,15:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,983.97,,113.95,78.58,31.58,11.77,,77.81,0.92,517.65,,,20.73,42.16,4.97,25.93,,20.53
01-Jan-2012,15:00,01-Jan-2012,15:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.0,,113.95,78.78,13.0,11.67,,53.44,0.83,549.09,,,20.69,45.32,5.58,28.07,,21.54
01-Jan-2012,15:15,01-Jan-2012,15:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,984.02,,113.95,79.36,11.85,11.56,,75.78,0.82,498.47,,,21.28,49.28,4.19,29.04,,20.0
