﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2013,00:00,01-Dec-2013,00:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,172.52,,,,96.93,9.12,1013.76,,,,,244.78,62.89,231.18,667.89,,14.33,,8.48,36.88,14.18,,,,,,,74.35,12.69,22.92,,,,20.32,,,,
01-Dec-2013,00:15,01-Dec-2013,00:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.12,209.14,,,,95.46,9.06,1013.67,,,,,252.35,65.01,238.35,367.63,,17.02,,7.58,32.12,12.37,,,,,,,76.5,13.24,21.08,,,,17.93,,,,
01-Dec-2013,00:30,01-Dec-2013,00:45,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.01,189.24,,,,89.64,9.04,1013.58,,,,,239.17,67.41,229.06,174.41,,19.82,,7.1,28.99,11.16,,,,,,,73.72,14.02,18.67,,,,16.9,,,,
01-Dec-2013,00:45,01-Dec-2013,01:00,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,181.77,,,,89.93,9.1,1013.59,,,,,159.27,61.59,162.09,34.73,,22.93,,6.71,26.98,10.29,,,,,,,53.63,13.65,17.27,,,,15.55,,,,
01-Dec-2013,01:00,01-Dec-2013,01:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,191.54,,,,94.36,9.18,1013.6,,,,,129.36,56.81,135.66,,,19.09,,6.33,23.94,9.6,,,,,,,45.7,12.81,15.78,,,,14.31,,,,
01-Dec-2013,01:15,01-Dec-2013,01:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,171.91,,,,96.57,9.14,1013.77,,,,,134.06,50.07,135.89,36.59,,20.04,,5.55,19.82,8.13,,,,,,,45.77,12.38,13.18,,,,12.79,,,,
01-Dec-2013,01:30,01-Dec-2013,01:45,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,168.84,,,,97.19,9.08,1013.79,,,,,122.49,50.8,127.01,22.9,,18.82,,5.0,16.95,7.36,,,,,,,43.1,12.18,11.7,,,,11.17,,,,
01-Dec-2013,01:45,01-Dec-2013,02:00,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,151.92,,,,97.59,9.06,1013.68,,,,,113.55,51.24,120.1,,,31.58,,4.54,15.51,6.58,,,,,,,41.03,11.93,10.89,,,,10.62,,,,
01-Dec-2013,02:00,01-Dec-2013,02:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,155.73,,,,97.93,9.05,1013.7,,,,,103.41,49.87,111.27,567.1,,21.28,,4.41,14.27,6.54,,,,,,,38.38,11.73,10.07,,,,10.12,,,,
01-Dec-2013,02:15,01-Dec-2013,02:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,177.51,,,,96.74,9.0,1013.8,,,,,97.39,50.29,106.67,1094.52,,16.28,,4.01,12.77,6.0,,,,,,,37.0,11.96,9.26,,,,9.1,,,,
01-Dec-2013,02:30,01-Dec-2013,02:45,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.02,176.52,,,,93.64,8.95,1013.79,,,,,89.23,50.14,100.06,1110.5,,5.13,,3.83,11.64,5.2,,,,,,,35.02,12.36,7.86,,,,8.33,,,,
01-Dec-2013,02:45,01-Dec-2013,03:00,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.01,173.3,,,,91.51,8.92,1013.65,,,,,65.74,48.6,80.46,894.79,,7.46,,3.56,10.33,4.52,,,,,,,29.14,12.38,7.07,,,,7.26,,,,
01-Dec-2013,03:00,01-Dec-2013,03:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,219.92,,,,92.49,9.0,1013.57,,,,,50.58,47.46,67.74,1050.74,,6.91,,3.47,9.29,3.78,,,,,,,25.32,12.06,6.41,,,,6.61,,,,
01-Dec-2013,03:15,01-Dec-2013,03:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,213.61,,,,96.11,9.02,1013.51,,,,,40.08,44.02,57.54,919.77,,4.24,,3.2,8.92,3.46,,,,,,,22.26,11.35,5.53,,,,5.72,,,,
01-Dec-2013,03:30,01-Dec-2013,03:45,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,216.02,,,,97.73,9.02,1013.49,,,,,39.2,43.82,56.73,1050.69,,2.74,,3.15,8.67,3.27,,,,,,,22.02,11.07,5.03,,,,5.03,,,,
01-Dec-2013,03:45,01-Dec-2013,04:00,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,200.68,,,,98.33,8.94,1013.46,,,,,47.36,44.56,63.65,1008.47,,2.12,,3.09,8.18,2.97,,,,,,,24.09,10.88,4.55,,,,3.91,,,,
01-Dec-2013,04:00,01-Dec-2013,04:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.01,157.57,,,,98.7,8.81,1013.48,,,,,51.24,45.02,66.99,1103.0,,2.25,,3.21,8.11,3.17,,,,,,,25.1,10.88,4.51,,,,,,,,
01-Dec-2013,04:15,01-Dec-2013,04:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.11,200.48,,,,94.2,8.77,1013.45,,,,,71.53,43.11,82.23,1154.12,,2.69,,3.41,8.28,4.04,,,,,,,29.67,11.72,4.9,,,,,,,,
01-Dec-2013,04:30,01-Dec-2013,04:45,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.01,183.9,,,,94.63,8.81,1013.49,,,,,72.9,47.5,85.62,1124.36,,2.64,,3.63,8.99,4.59,,,,,,,30.69,11.54,4.9,,,,0.31,,,,
01-Dec-2013,04:45,01-Dec-2013,05:00,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,201.21,,,,95.27,8.9,1013.47,,,,,72.85,47.72,85.7,1106.2,,4.62,,3.72,9.68,5.62,,,,,,,30.71,11.48,5.27,,,,3.88,,,,
01-Dec-2013,05:00,01-Dec-2013,05:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",0.05,190.16,,,,96.72,8.91,1013.47,,,,,77.35,47.93,89.4,1194.33,,2.76,,3.98,10.69,6.49,,,,,,,31.82,11.1,5.76,,,,5.65,,,,
01-Dec-2013,05:15,01-Dec-2013,05:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,190.63,,,,97.76,8.9,1013.65,,,,,77.72,47.79,89.63,1214.46,,6.78,,4.0,12.01,6.93,,,,,,,31.89,10.89,5.85,,,,6.08,,,,
01-Dec-2013,05:30,01-Dec-2013,05:45,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,206.91,,,,97.52,8.91,1013.81,,,,,76.28,48.0,88.59,964.67,,5.38,,4.08,13.19,7.4,,,,,,,31.58,10.86,6.08,,,,6.28,,,,
01-Dec-2013,05:45,01-Dec-2013,06:00,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,173.78,,,,97.5,8.82,1014.03,,,,,73.18,45.89,85.0,988.23,,5.35,,4.03,14.51,7.75,,,,,,,30.5,10.73,6.53,,,,6.33,,,,
01-Dec-2013,06:00,01-Dec-2013,06:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,225.73,,,,95.13,8.79,1014.21,,,,,76.7,44.12,86.89,1305.17,,21.43,,3.92,16.13,8.57,,,,,,,31.07,10.87,6.85,,,,6.81,,,,
01-Dec-2013,06:15,01-Dec-2013,06:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,190.15,,,,95.38,8.75,1014.4,,,,,69.39,42.92,80.42,1090.41,,10.04,,3.83,17.02,9.22,,,,,,,29.12,10.67,6.78,,,,6.97,,,,
01-Dec-2013,06:30,01-Dec-2013,06:45,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,216.53,,,,90.53,9.51,1014.74,,,,,59.53,80.0,72.31,16.0,,19.0,,3.66,17.46,9.2,,,,,,,87.0,11.23,7.02,,,,7.13,,,,
01-Dec-2013,06:45,01-Dec-2013,07:00,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,253.72,,,,91.4,13.37,1014.81,,,,,60.9,0.0,73.29,0.0,,0.0,,3.52,16.91,9.32,,,,,,,0.0,10.77,7.0,,,,6.41,,,,
01-Dec-2013,07:00,01-Dec-2013,07:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,248.81,,,,94.13,23.84,1015.08,,,,,61.18,0.0,74.84,0.0,,0.0,,3.53,16.33,9.5,,,,,,,0.0,10.32,6.73,,,,5.4,,,,
01-Dec-2013,07:15,01-Dec-2013,07:30,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,244.54,,,,95.51,39.46,1015.28,,,,,69.0,0.0,81.41,0.0,,0.0,,3.67,15.75,9.94,,,,,,,0.0,10.68,7.27,,,,6.71,,,,
01-Dec-2013,07:30,01-Dec-2013,07:45,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,219.45,,,,93.25,59.74,1015.55,,,,,78.44,65.0,88.06,1.0,,22.0,,3.76,15.36,9.94,,,,,,,55.0,12.24,7.21,,,,6.88,,,,
01-Dec-2013,07:45,01-Dec-2013,08:00,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,181.63,,,,87.01,84.03,1015.9,,,,,87.13,0.0,96.16,0.0,,0.0,,4.01,15.4,9.82,,,,,,,0.0,14.42,7.35,,,,7.22,,,,
01-Dec-2013,08:00,01-Dec-2013,08:15,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,162.93,,,,80.21,121.9,1016.08,,,,,129.13,0.0,130.63,0.0,,0.0,,4.54,15.9,10.09,,,,,,,0.0,16.88,7.61,,,,7.77,,,,
