From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2012,00:00,01-Aug-2012,00:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.27,180.73,,,,76.12,0.55,1000.69,,,,,4.15,14.03,7.94,0.18,,,,,,,,,,0.45,,13.85,5.29,33.03,,,,,,,,,
01-Aug-2012,00:15,01-Aug-2012,00:30,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.4,203.99,,,,63.69,0.55,1000.5,,,,,2.99,15.3,7.62,0.28,,,,,,,,,,0.45,,13.63,5.61,33.51,,,,,,,,,
01-Aug-2012,00:30,01-Aug-2012,00:45,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.55,209.55,,,,55.11,0.55,1000.45,,,,,3.14,18.16,8.25,0.61,,,,,,,,,,0.45,,12.22,7.6,34.04,,,,,,,,,
01-Aug-2012,00:45,01-Aug-2012,01:00,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.6,216.03,,,,52.68,0.55,1000.36,,,,,1.23,16.24,6.74,1.7,,,,,,,,,,0.44,,12.26,6.5,34.19,,,,,,,,,
01-Aug-2012,01:00,01-Aug-2012,01:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.65,217.47,,,,50.62,0.55,1000.21,,,,,2.05,17.5,7.83,1.29,,,,,,,,,,0.45,,12.09,8.57,34.33,,,,,,,,,
01-Aug-2012,01:15,01-Aug-2012,01:30,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.68,218.44,,,,49.68,0.7,1000.04,,,,,3.98,16.61,8.89,0.73,,,,,,,,,,0.45,,11.24,7.89,34.36,,,,,,,,,
01-Aug-2012,01:30,01-Aug-2012,01:45,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.7,220.07,,,,49.27,0.55,999.88,,,,,4.71,18.41,11.0,0.21,,,,,,,,,,0.45,,10.79,6.79,34.34,,,,,,,,,
01-Aug-2012,01:45,01-Aug-2012,02:00,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.68,220.97,,,,49.82,0.62,999.7,,,,,5.72,18.14,11.08,0.03,,,,,,,,,,0.45,,11.46,6.35,34.18,,,,,,,,,
01-Aug-2012,02:00,01-Aug-2012,02:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.61,218.86,,,,50.48,0.7,999.56,,,,,7.85,12.98,10.58,0.36,,,,,,,,,,0.45,,10.97,5.91,34.03,,,,,,,,,
01-Aug-2012,02:15,01-Aug-2012,02:30,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.66,219.99,,,,50.62,0.63,999.58,,,,,3.41,20.75,9.73,0.41,,,,,,,,,,0.45,,10.45,4.84,33.91,,,,,,,,,
01-Aug-2012,02:30,01-Aug-2012,02:45,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.66,219.7,,,,51.17,0.69,999.63,,,,,3.36,19.94,10.01,0.18,,,,,,,,,,0.45,,10.72,4.72,33.8,,,,,,,,,
01-Aug-2012,02:45,01-Aug-2012,03:00,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.63,215.45,,,,51.82,0.57,999.63,,,,,5.14,18.49,11.32,0.17,,,,,,,,,,0.45,,11.04,3.52,33.62,,,,,,,,,
01-Aug-2012,03:00,01-Aug-2012,03:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.67,220.68,,,,52.55,0.55,999.67,,,,,1.73,18.44,8.21,0.47,,,,,,,,,,0.45,,10.64,4.5,33.46,,,,,,,,,
01-Aug-2012,03:15,01-Aug-2012,03:30,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.62,222.46,,,,54.04,0.55,999.78,,,,,5.71,18.39,11.1,0.54,,,,,,,,,,0.45,,10.42,4.15,33.25,,,,,,,,,
01-Aug-2012,03:30,01-Aug-2012,03:45,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.7,226.39,,,,54.68,0.55,999.8,,,,,2.57,17.08,7.38,0.79,,,,,,,,,,0.45,,10.31,4.03,33.1,,,,,,,,,
01-Aug-2012,03:45,01-Aug-2012,04:00,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.61,230.4,,,,55.13,0.55,999.93,,,,,4.36,16.51,9.82,0.78,,,,,,,,,,0.45,,9.71,3.87,32.97,,,,,,,,,
01-Aug-2012,04:00,01-Aug-2012,04:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.61,226.31,,,,55.24,0.55,1000.07,,,,,2.41,12.29,5.41,0.72,,,,,,,,,,0.45,,10.1,3.31,32.91,,,,,,,,,
01-Aug-2012,04:15,01-Aug-2012,04:30,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.51,231.33,,,,55.65,0.72,1000.21,,,,,4.94,17.56,9.92,1.19,,,,,,,,,,0.45,,10.19,3.56,32.86,,,,,,,,,
01-Aug-2012,04:30,01-Aug-2012,04:45,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.51,232.59,,,,56.23,0.55,1000.3,,,,,3.12,14.77,7.42,1.86,,,,,,,,,,0.45,,10.56,3.22,32.73,,,,,,,,,
01-Aug-2012,04:45,01-Aug-2012,05:00,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2.55,224.7,,,,56.38,0.55,1000.37,,,,,5.91,13.39,9.38,3.37,,,,,,,,,,0.45,,10.2,2.23,32.7,,,,,,,,,
