From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2012,00:00,01-Sep-2012,00:15,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",1.62,116.68,,,,86.07,4.95,998.44,,,,,9.26,19.29,15.73,336.26,,12.03,,,,,,,,0.73,,,1.03,30.47,,,,,,,,,
01-Sep-2012,00:15,01-Sep-2012,00:30,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",1.39,115.98,,,,85.23,4.95,998.42,,,,,8.22,16.95,13.81,427.35,,11.69,,,,,,,,0.73,,,1.86,30.52,,,,,,,,,
01-Sep-2012,00:30,01-Sep-2012,00:45,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",1.45,110.23,,,,85.67,4.95,998.21,,,,,10.21,18.85,16.21,792.81,,11.91,,,,,,,,0.73,,,1.04,30.5,,,,,,,,,
01-Sep-2012,00:45,01-Sep-2012,01:00,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",1.46,109.8,,,,86.21,4.95,998.13,,,,,8.9,18.42,15.04,729.73,,11.73,,,,,,,,0.73,,,0.02,30.42,,,,,,,,,
01-Sep-2012,01:00,01-Sep-2012,01:15,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",1.86,111.46,,,,86.85,4.95,998.05,,,,,7.87,16.05,13.12,717.6,,11.34,,,,,,,,0.73,,,0.02,30.33,,,,,,,,,
01-Sep-2012,01:15,01-Sep-2012,01:30,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",1.62,107.96,,,,87.41,4.95,998.04,,,,,8.21,17.55,14.1,637.56,,11.51,,,,,,,,0.73,,,2.11,30.19,,,,,,,,,
01-Sep-2012,01:30,01-Sep-2012,01:45,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",1.16,111.36,,,,87.65,4.95,998.08,,,,,8.16,18.57,14.56,610.22,,11.34,,,,,,,,0.73,,,2.1,30.11,,,,,,,,,
01-Sep-2012,01:45,01-Sep-2012,02:00,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",1.3,112.16,,,,86.68,4.95,998.04,,,,,7.52,16.57,13.11,661.81,,11.53,,,,,,,,0.73,,,1.86,30.16,,,,,,,,,
01-Sep-2012,02:00,01-Sep-2012,02:15,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",1.21,108.1,,,,86.55,4.95,997.87,,,,,6.59,14.54,11.43,735.42,,11.52,,,,,,,,0.73,,,2.02,30.08,,,,,,,,,
01-Sep-2012,02:15,01-Sep-2012,02:30,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",1.28,112.36,,,,85.6,4.95,997.69,,,,,9.22,20.09,16.1,779.96,,11.61,,,,,,,,0.73,,,1.88,29.98,,,,,,,,,
