﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Nov-2012,00:00,01-Nov-2012,00:15,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,756.02,0.6,,72.49,126.4,19.98,1005200.0,165.0,0.27,1.02,355570.0,330380.0,,31.87,10.72,42.59,,3.84
01-Nov-2012,00:15,01-Nov-2012,00:30,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,755.99,,,73.9,128.29,19.76,,151.16,0.27,0.97,,,,30.88,11.83,42.69,,2.25
01-Nov-2012,00:30,01-Nov-2012,00:45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,755.95,,,75.79,130.54,19.46,,162.01,0.27,0.92,,,,27.39,5.61,33.0,,1.31
01-Nov-2012,00:45,01-Nov-2012,01:00,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,755.89,,,77.08,131.0,19.21,,173.46,0.27,0.93,,,,26.51,7.82,34.33,,0.93
01-Nov-2012,01:00,01-Nov-2012,01:15,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,755.85,,,78.67,133.25,18.98,,151.2,0.27,0.98,,,,27.83,9.45,37.27,,0.56
01-Nov-2012,01:15,01-Nov-2012,01:30,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,755.84,,,79.85,132.69,18.84,,168.25,0.27,1.03,,,,25.76,7.15,32.91,,0.32
01-Nov-2012,01:30,01-Nov-2012,01:45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,755.84,,,80.13,133.15,18.79,,180.42,0.27,1.03,,,,24.46,9.32,33.78,,0.09
01-Nov-2012,01:45,01-Nov-2012,02:00,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,755.78,,,78.97,132.31,18.93,,192.7,0.27,0.99,,,,25.03,5.25,30.29,,0.56
01-Nov-2012,02:00,01-Nov-2012,02:15,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,755.77,,,78.05,129.95,19.01,,175.17,0.27,1.01,,,,25.91,5.97,31.88,,0.36
01-Nov-2012,02:15,01-Nov-2012,02:30,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,755.74,,,78.0,133.06,18.94,,195.95,0.27,0.96,,,,24.59,5.96,30.55,,0.71
01-Nov-2012,02:30,01-Nov-2012,02:45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,755.72,,,79.83,133.14,18.62,,179.48,0.27,0.95,,,,23.94,7.17,31.12,,0.58
