﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Feb-2013,00:00,01-Feb-2013,00:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,12.47,88.0,165.0,739.0,,,,360.0,274.13,114.83,492.27,5.37,,2.63,,10.8,38.37,,,,,,,114.2,29.83,12.47,,,,,,,,,
01-Feb-2013,00:15,01-Feb-2013,00:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,12.37,88.0,168.0,739.0,,,,360.0,293.47,110.1,515.2,5.73,,2.37,,9.87,35.4,,,,,,,121.1,23.17,12.37,,,,,,,,,
01-Feb-2013,00:30,01-Feb-2013,00:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,12.0,88.0,168.67,739.0,,,,360.0,304.5,116.73,536.9,5.87,,4.0,,9.4,34.0,,,,,,,131.07,22.33,12.0,,,,,,,,,
01-Feb-2013,00:45,01-Feb-2013,01:00,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,11.97,88.67,171.33,739.0,,,,360.0,336.27,108.43,574.03,6.03,,4.77,,9.3,33.77,,,,,,,131.13,23.9,11.97,,,,,,,,,
01-Feb-2013,01:00,01-Feb-2013,01:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,11.83,88.67,176.67,739.0,,,,360.0,347.27,105.07,586.57,5.9,,4.63,,9.6,34.7,,,,,,,129.43,24.8,11.83,,,,,,,,,
01-Feb-2013,01:15,01-Feb-2013,01:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,11.67,88.33,186.0,739.0,,,,360.0,347.23,105.77,587.03,5.63,,5.4,,9.77,36.13,,,,,,,127.5,25.73,11.67,,,,,,,,,
01-Feb-2013,01:30,01-Feb-2013,01:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,11.77,89.0,187.0,739.0,,,,360.0,341.57,105.87,579.17,5.5,,6.47,,9.8,36.97,,,,,,,125.9,23.93,11.77,,,,,,,,,
01-Feb-2013,01:45,01-Feb-2013,02:00,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,11.8,89.0,187.67,739.0,,,,360.0,339.7,109.6,580.03,5.5,,6.75,,9.73,37.17,,,,,,,125.0,23.67,11.8,,,,,,,,,
01-Feb-2013,02:00,01-Feb-2013,02:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,11.6,89.0,190.0,739.0,,,,360.0,347.97,111.1,593.1,5.43,,,,9.33,35.97,,,,,,,126.43,26.33,11.6,,,,,,,,,
01-Feb-2013,02:15,01-Feb-2013,02:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,11.47,89.0,188.0,739.0,,,,360.0,363.7,109.57,613.7,5.37,,,,9.33,36.17,,,,,,,128.2,25.83,11.47,,,,,,,,,
01-Feb-2013,02:30,01-Feb-2013,02:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",0.3,191.0,,,11.37,89.0,186.67,739.0,,,,360.0,373.87,104.33,623.23,5.2,,7.87,,9.47,36.83,,,,,,,123.17,24.97,11.37,,,,,,,,,
