From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Mar-2013,00:00,01-Mar-2013,00:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,96.54,33.66,10.23,12.79,23.01,1.75,,34.6,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Mar-2013,00:15,01-Mar-2013,00:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,98.22,31.45,10.28,12.58,22.86,1.75,,34.64,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Mar-2013,00:30,01-Mar-2013,00:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,101.39,22.57,10.33,12.63,22.97,1.73,,32.94,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Mar-2013,00:45,01-Mar-2013,01:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,93.3,22.9,10.4,12.75,23.14,1.72,,33.48,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Mar-2013,01:00,01-Mar-2013,01:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,87.82,24.68,10.37,12.55,22.92,1.71,,35.02,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Mar-2013,01:15,01-Mar-2013,01:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,88.2,38.12,10.52,12.28,22.79,1.7,,37.11,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Mar-2013,01:30,01-Mar-2013,01:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,87.98,44.0,10.56,12.24,22.8,1.72,,34.94,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Mar-2013,01:45,01-Mar-2013,02:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,84.9,53.45,10.61,12.35,22.96,1.7,,34.08,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Mar-2013,02:00,01-Mar-2013,02:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,81.4,54.23,10.51,12.57,23.08,1.69,,32.74,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Mar-2013,02:15,01-Mar-2013,02:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,83.55,52.63,10.61,12.54,23.14,1.68,,35.37,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
