﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Nov-2013,00:00,01-Nov-2013,00:15,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,,,,1.88,,89.19,,1.25,125.9,0.54,6.23,,,12.64,12.01,1.9,10.15,280.87
01-Nov-2013,00:15,01-Nov-2013,00:30,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,,,,2.02,,90.75,,1.25,122.84,0.54,6.46,,,12.6,11.79,1.6,9.73,65.05
01-Nov-2013,00:30,01-Nov-2013,00:45,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,,,,2.02,,91.1,,1.25,124.67,0.54,7.06,,,12.65,11.75,2.32,8.68,123.63
01-Nov-2013,00:45,01-Nov-2013,01:00,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,,,,2.56,,90.9,,1.25,123.68,,6.41,,,12.69,11.79,2.83,8.68,210.97
01-Nov-2013,01:00,01-Nov-2013,01:15,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,,,,2.11,,90.54,,1.25,123.1,0.54,6.35,,,12.65,11.52,2.43,8.68,285.6
01-Nov-2013,01:15,01-Nov-2013,01:30,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,,,,1.74,,90.22,,1.25,125.25,0.54,6.52,,,12.64,11.72,1.7,8.83,346.94
01-Nov-2013,01:30,01-Nov-2013,01:45,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,,,,1.92,,89.91,,1.25,127.11,0.54,5.39,,,12.68,11.83,0.46,9.22,147.16
01-Nov-2013,01:45,01-Nov-2013,02:00,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,,,,2.01,,90.63,,1.25,133.29,0.54,5.98,,,12.58,11.7,2.02,9.22,27.57
01-Nov-2013,02:00,01-Nov-2013,02:15,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,,,,1.68,,90.91,,1.25,123.76,0.54,6.91,,,12.46,11.88,6.47,9.22,102.05
01-Nov-2013,02:15,01-Nov-2013,02:30,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,,,,1.77,,91.01,,1.25,133.04,0.54,6.79,,,12.58,11.66,4.09,8.72,210.14
