﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Nov-2013,00:00,01-Nov-2013,00:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.26,20.56,,,,72.08,47.79,710.82,,,,,2.51,20.91,23.42,0.33,,17.63,,1.4,8.86,,1.43,,,0.02,,,6.55,,,,,,,,,,
01-Nov-2013,00:15,01-Nov-2013,00:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.76,43.75,,,,72.22,47.14,710.69,,,,,2.21,17.61,19.81,0.3,,21.58,,1.57,6.6,,1.26,,,0.02,,,7.07,,,,,,,,,,
01-Nov-2013,00:30,01-Nov-2013,00:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.89,39.98,,,,71.89,47.32,710.56,,,,,2.13,13.85,15.98,0.26,,23.95,,1.3,4.54,,1.04,,,0.02,,,8.66,,,,,,,,,,
01-Nov-2013,00:45,01-Nov-2013,01:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.6,44.84,,,,72.35,47.56,710.5,,,,,2.16,17.6,19.76,0.27,,22.1,,0.81,519.15,,0.87,,,0.02,,,8.18,,,,,,,,,,
01-Nov-2013,01:00,01-Nov-2013,01:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.26,22.18,,,,73.22,47.73,710.39,,,,,1.99,18.84,20.83,0.3,,19.36,,0.78,516.67,,0.84,,,0.02,,,8.58,,,,,,,,,,
01-Nov-2013,01:15,01-Nov-2013,01:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.27,35.68,,,,74.07,47.41,710.33,,,,,2.1,18.23,20.32,0.33,,16.94,,0.93,104.5,,0.89,,,0.02,,,8.42,,,,,,,,,,
01-Nov-2013,01:30,01-Nov-2013,01:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.27,47.99,,,,74.65,47.3,710.19,,,,,2.17,21.05,23.22,0.35,,14.67,,1.39,57.37,,0.94,,,0.02,,,8.04,,,,,,,,,,
01-Nov-2013,01:45,01-Nov-2013,02:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.24,63.21,,,,74.83,47.45,710.16,,,,,2.59,25.34,27.93,0.35,,11.89,,1.72,23.79,,0.99,,,0.02,,,6.99,,,,,,,,,,
01-Nov-2013,02:00,01-Nov-2013,02:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.61,60.57,,,,74.61,47.72,710.11,,,,,2.48,15.17,17.64,0.27,,15.8,,1.42,26.53,,1.08,,,0.02,,,6.34,,,,,,,,,,
01-Nov-2013,02:15,01-Nov-2013,02:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.42,59.0,,,,74.33,47.58,710.13,,,,,2.59,19.48,22.08,0.25,,19.16,,1.07,22.0,,1.07,,,0.02,,,5.55,,,,,,,,,,
01-Nov-2013,02:30,01-Nov-2013,02:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",0.16,103.74,,,,74.26,47.59,710.11,,,,,2.27,18.87,21.14,0.25,,17.23,,0.83,7.96,,0.85,,,0.02,,,5.55,,,,,,,,,,
