﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2013,00:00,01-Dec-2013,00:15,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",,,,,,,,,,,567.62,253.16,5.87,20.87,26.74,0.8,,23.49,,,,,,,,,,,,,,,,,,,,,
01-Dec-2013,00:15,01-Dec-2013,00:30,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",,,,,,,,,,,502.83,223.74,5.9,20.9,26.79,0.8,,23.58,,,,,,,,,,,,,,,,,,,,,
01-Dec-2013,00:30,01-Dec-2013,00:45,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",,,,,,,,,,,417.46,184.99,5.88,20.88,26.75,0.8,,23.5,,,,,,,,,,,,,,,,,,,,,
01-Dec-2013,00:45,01-Dec-2013,01:00,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",,,,,,,,,,,384.99,170.25,5.92,20.92,26.83,0.8,,23.66,,,,,,,,,,,,,,,,,,,,,
01-Dec-2013,01:00,01-Dec-2013,01:15,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",,,,,,,,,,,374.63,165.54,5.83,20.83,26.66,0.79,,23.32,,,,,,,,,,,,,,,,,,,,,
01-Dec-2013,01:15,01-Dec-2013,01:30,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",,,,,,,,,,,403.78,178.77,5.86,20.86,26.72,0.8,,23.45,,,,,,,,,,,,,,,,,,,,,
01-Dec-2013,01:30,01-Dec-2013,01:45,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",,,,,,,,,,,408.62,180.97,5.88,20.88,26.75,0.8,,23.5,,,,,,,,,,,,,,,,,,,,,
01-Dec-2013,01:45,01-Dec-2013,02:00,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",,,,,,,,,,,384.24,169.9,5.89,20.89,26.78,0.8,,23.55,,,,,,,,,,,,,,,,,,,,,
01-Dec-2013,02:00,01-Dec-2013,02:15,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",,,,,,,,,,,365.22,161.27,5.88,20.88,26.77,0.8,,23.54,,,,,,,,,,,,,,,,,,,,,
01-Dec-2013,02:15,01-Dec-2013,02:30,Uttar Pradesh,Noida,"Sector - 62, Noida - IMD",,,,,,,,,,,349.01,153.91,5.86,20.86,26.73,0.8,,23.45,,,,,,,,,,,,,,,,,,,,,
