﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Apr-2014,00:00,01-Apr-2014,00:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,53.35,27.87,14.66,21.7,36.36,1.88,,36.77,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,00:15,01-Apr-2014,00:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,58.35,34.96,15.28,22.16,37.43,2.0,,35.75,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,00:30,01-Apr-2014,00:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,62.13,39.06,15.48,21.95,37.44,1.93,,36.06,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,00:45,01-Apr-2014,01:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,66.17,37.33,15.13,21.84,36.96,1.84,,36.25,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,01:00,01-Apr-2014,01:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,66.15,33.26,14.91,21.98,36.89,1.83,,36.18,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,01:15,01-Apr-2014,01:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,62.47,43.83,14.47,21.85,36.33,1.79,,35.0,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,01:30,01-Apr-2014,01:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,69.39,49.43,13.95,21.92,35.87,1.76,,33.55,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,01:45,01-Apr-2014,02:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,80.9,56.56,13.27,21.8,35.07,1.72,,32.31,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,02:00,01-Apr-2014,02:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,93.92,54.95,12.62,21.78,34.4,1.71,,30.86,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,02:15,01-Apr-2014,02:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,104.96,51.84,11.98,21.74,33.72,1.67,,30.33,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,02:30,01-Apr-2014,02:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,95.92,50.96,11.39,21.43,32.82,1.58,,30.48,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,02:45,01-Apr-2014,03:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,90.24,49.98,11.14,21.38,32.52,1.54,,30.99,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,03:00,01-Apr-2014,03:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,71.13,46.67,10.97,21.36,32.32,1.51,,30.94,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,03:15,01-Apr-2014,03:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,61.91,46.72,10.9,21.37,32.27,1.47,,30.9,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,03:30,01-Apr-2014,03:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,52.79,44.62,10.8,21.26,32.06,1.45,,31.64,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,03:45,01-Apr-2014,04:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,51.01,46.64,10.76,21.34,32.1,1.42,,31.55,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,04:00,01-Apr-2014,04:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,51.76,44.84,10.72,21.27,31.98,1.39,,31.61,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,04:15,01-Apr-2014,04:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,43.9,40.45,10.63,21.11,31.74,1.37,,31.59,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,04:30,01-Apr-2014,04:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,43.92,28.76,10.48,20.95,31.43,1.35,,31.91,,,,,,,,,,,,,,,,,,,,,
01-Apr-2014,04:45,01-Apr-2014,05:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,47.95,2.27,10.46,20.89,31.35,1.35,,31.28,,,,,,,,,,,,,,,,,,,,,
