﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2014,00:00,01-Jul-2014,00:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",33.65,738.05,70.0,,48.87,31.64,43.28,0.77,130.24,1.64,1.01,0.55,,,24.48,10.0,34.47,18.36,1.89
01-Jul-2014,00:15,01-Jul-2014,00:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",33.52,737.99,70.0,,49.81,16.29,43.38,1.07,124.72,0.27,1.02,0.58,,,20.66,10.88,31.54,18.14,2.42
01-Jul-2014,00:30,01-Jul-2014,00:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",33.35,738.04,70.0,,50.8,16.56,43.07,1.04,130.42,1.21,0.95,0.57,,,22.97,15.13,38.1,15.27,2.38
01-Jul-2014,00:45,01-Jul-2014,01:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",33.11,738.05,70.0,,51.7,16.41,42.69,1.02,135.17,0.47,0.89,0.57,,,20.59,12.64,33.23,13.42,2.24
01-Jul-2014,01:00,01-Jul-2014,01:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",32.93,737.99,569.33,,52.75,16.7,42.49,1.01,134.95,0.57,0.88,0.56,,,20.82,8.83,29.65,12.22,2.08
01-Jul-2014,01:15,01-Jul-2014,01:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",32.87,737.96,61.0,,53.59,17.31,42.4,0.99,132.18,1.33,0.97,0.56,,,18.86,17.67,36.53,11.15,2.06
01-Jul-2014,01:30,01-Jul-2014,01:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",32.77,737.87,61.0,,54.49,17.31,42.26,0.97,131.36,1.1,0.96,0.56,,,19.79,12.03,31.82,11.02,1.91
01-Jul-2014,01:45,01-Jul-2014,02:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",32.69,737.77,61.0,,55.26,17.33,42.19,0.95,134.6,1.47,0.93,0.55,,,15.65,13.02,28.67,11.29,1.59
01-Jul-2014,02:00,01-Jul-2014,02:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",32.63,737.67,667.0,,55.72,17.32,42.06,0.94,144.43,1.65,0.89,0.55,,,17.13,12.2,29.33,11.86,1.54
01-Jul-2014,02:15,01-Jul-2014,02:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",32.63,737.67,69.0,,55.89,17.29,42.0,0.92,157.66,2.53,0.85,0.54,,,18.18,10.48,28.66,11.87,1.85
