From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2014,00:00,01-Aug-2014,00:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.07,,,,0.69,,,,,,,16.78,15.22,168.73,0.02,,12.15,,,,,,,,1003.9,,,316.89,,,,,,20.0,,,,
01-Aug-2014,00:15,01-Aug-2014,00:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,,,,,0.76,,,,,,,17.12,15.28,209.28,0.02,,6.9,,,,,,,,1003.9,,,174.93,,,,,,20.08,,,,
01-Aug-2014,00:30,01-Aug-2014,00:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.04,,,,0.67,,,,,,,18.92,15.87,213.15,0.01,,6.06,,,,,,,,1003.9,,,94.41,,,,,,19.98,,,,
01-Aug-2014,00:45,01-Aug-2014,01:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,,,,,0.67,,,,,,,19.95,17.37,247.64,0.01,,3.4,,,,,,,,1003.9,,,142.23,,,,,,19.96,,,,
01-Aug-2014,01:00,01-Aug-2014,01:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.05,,,,0.56,,,,,,,17.16,14.69,287.4,0.02,,7.08,,,,,,,,1003.9,,,129.41,,,,,,20.03,,,,
01-Aug-2014,01:15,01-Aug-2014,01:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.08,,,,0.47,,,,,,,17.75,16.32,309.26,0.01,,18.8,,,,,,,,1003.9,,,125.77,,,,,,20.0,,,,
01-Aug-2014,01:30,01-Aug-2014,01:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.02,,,,0.38,,,,,,,17.26,15.75,600.75,0.03,,21.48,,,,,,,,1003.9,,,75.96,,,,,,20.07,,,,
01-Aug-2014,01:45,01-Aug-2014,02:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.11,,,,0.47,,,,,,,17.07,18.79,467.54,0.01,,30.0,,,,,,,,1003.9,,,172.09,,,,,,20.06,,,,
01-Aug-2014,02:00,01-Aug-2014,02:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.07,,,,0.36,,,,,,,16.45,19.78,525.37,0.01,,30.33,,,,,,,,1003.9,,,196.01,,,,,,20.01,,,,
01-Aug-2014,02:15,01-Aug-2014,02:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.12,,,,0.36,,,,,,,16.65,19.99,354.0,0.01,,31.4,,,,,,,,1003.9,,,636.32,,,,,,20.09,,,,
01-Aug-2014,02:30,01-Aug-2014,02:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.02,,,,0.27,,,,,,,15.29,18.13,625.08,0.01,,31.04,,,,,,,,1003.9,,,453.78,,,,,,20.02,,,,
01-Aug-2014,02:45,01-Aug-2014,03:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.2,,,,0.64,,,,,,,16.93,23.33,173.36,0.01,,29.9,,,,,,,,1003.9,,,650.08,,,,,,20.03,,,,
01-Aug-2014,03:00,01-Aug-2014,03:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.05,,,,0.58,,,,,,,17.49,22.71,303.79,0.01,,30.85,,,,,,,,1003.9,,,497.53,,,,,,20.02,,,,
01-Aug-2014,03:15,01-Aug-2014,03:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.01,,,,0.29,,,,,,,38.45,35.92,683.73,0.01,,34.3,,,,,,,,1003.9,,,537.16,,,,,,19.99,,,,
01-Aug-2014,03:30,01-Aug-2014,03:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.06,,,,0.4,,,,,,,16.44,18.22,599.55,0.01,,34.08,,,,,,,,1003.9,,,581.58,,,,,,19.94,,,,
01-Aug-2014,03:45,01-Aug-2014,04:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.01,,,,0.44,,,,,,,12.7,15.46,408.1,0.01,,33.3,,,,,,,,1003.9,,,408.81,,,,,,19.99,,,,
01-Aug-2014,04:00,01-Aug-2014,04:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.11,,,,0.51,,,,,,,16.39,24.04,308.84,0.01,,33.82,,,,,,,,1003.9,,,540.38,,,,,,20.08,,,,
01-Aug-2014,04:15,01-Aug-2014,04:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.06,,,,0.27,,,,,,,30.62,27.88,390.42,0.01,,35.7,,,,,,,,1003.9,,,34.2,,,,,,19.91,,,,
01-Aug-2014,04:30,01-Aug-2014,04:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.06,,,,0.16,,,,,,,32.29,32.43,572.43,0.01,,36.32,,,,,,,,1003.9,,,28.94,,,,,,19.96,,,,
01-Aug-2014,04:45,01-Aug-2014,05:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,,,,,0.22,,,,,,,24.69,22.37,419.28,0.01,,38.3,,,,,,,,1003.9,,,32.67,,,,,,19.97,,,,
01-Aug-2014,05:00,01-Aug-2014,05:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.08,,,,0.29,,,,,,,18.85,22.29,585.24,0.01,,36.7,,,,,,,,1003.9,,,7.42,,,,,,19.88,,,,
01-Aug-2014,05:15,01-Aug-2014,05:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.02,,,,0.29,,,,,,,27.7,28.28,573.55,0.02,,31.6,,,,,,,,1003.9,,,23.63,,,,,,19.98,,,,
01-Aug-2014,05:30,01-Aug-2014,05:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.09,,,,0.44,,,,,,,12.45,19.15,366.38,0.01,,29.28,,,,,,,,1003.9,,,24.94,,,,,,19.99,,,,
01-Aug-2014,05:45,01-Aug-2014,06:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.09,,,,0.11,,,,,,,16.99,19.62,1680.02,0.01,,21.9,,,,,,,,1003.9,,,45.66,,,,,,20.03,,,,
01-Aug-2014,06:00,01-Aug-2014,06:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.01,,,,0.2,,,,,,,19.4,22.39,3369.73,0.01,,22.43,,,,,,,,1003.9,,,24.61,,,,,,20.02,,,,
01-Aug-2014,06:15,01-Aug-2014,06:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.1,,,,0.24,,,,,,,16.35,19.09,305.73,0.02,,24.1,,,,,,,,1003.9,,,54.4,,,,,,19.99,,,,
01-Aug-2014,06:30,01-Aug-2014,06:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.06,,,,0.42,,,,,,,20.41,21.84,594.85,0.01,,25.51,,,,,,,,1003.9,,,13.61,,,,,,19.99,,,,
01-Aug-2014,06:45,01-Aug-2014,07:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,,,,,0.27,,,,,,,18.32,21.97,171.74,0.02,,30.0,,,,,,,,1003.9,,,16.82,,,,,,20.0,,,,
01-Aug-2014,07:00,01-Aug-2014,07:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,,,,,0.29,,,,,,,14.62,17.01,585.39,0.02,,29.5,,,,,,,,1003.9,,,48.87,,,,,,20.04,,,,
01-Aug-2014,07:15,01-Aug-2014,07:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.01,,,,0.69,,,,,,,16.11,21.3,189.93,0.01,,27.9,,,,,,,,1003.9,,,98.56,,,,,,19.99,,,,
01-Aug-2014,07:30,01-Aug-2014,07:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.19,,,,0.87,,,,,,,23.67,25.15,,0.01,,28.33,,,,,,,,1003.9,,,47.19,,,,,,19.99,,,,
01-Aug-2014,07:45,01-Aug-2014,08:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.02,,,,0.94,,,,,,,12.75,17.65,31.61,0.01,,29.7,,,,,,,,1003.9,,,50.09,,,,,,19.98,,,,
01-Aug-2014,08:00,01-Aug-2014,08:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.04,,,,0.93,,,,,,,8.48,16.12,74.45,0.01,,29.29,,,,,,,,1003.9,,,158.07,,,,,,20.01,,,,
01-Aug-2014,08:15,01-Aug-2014,08:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.13,,,,0.98,,,,,,,15.87,22.9,68.83,0.01,,28.0,,,,,,,,1003.9,,,331.51,,,,,,20.02,,,,
01-Aug-2014,08:30,01-Aug-2014,08:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.07,,,,0.96,,,,,,,11.38,13.87,68.0,0.01,,27.19,,,,,,,,1003.9,,,416.61,,,,,,20.03,,,,
01-Aug-2014,08:45,01-Aug-2014,09:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.11,,,,0.98,,,,,,,13.55,16.01,111.53,0.01,,24.6,,,,,,,,1003.9,,,202.41,,,,,,19.9,,,,
01-Aug-2014,09:00,01-Aug-2014,09:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.03,,,,0.78,,,,,,,18.99,26.71,140.16,0.01,,23.12,,,,,,,,1003.9,,,79.36,,,,,,20.03,,,,
01-Aug-2014,09:15,01-Aug-2014,09:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.07,,,,0.78,,,,,,,11.28,18.41,159.23,0.01,,18.4,,,,,,,,1003.9,,,349.82,,,,,,19.95,,,,
01-Aug-2014,09:30,01-Aug-2014,09:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.12,,,,0.87,,,,,,,11.41,15.19,85.98,0.02,,18.9,,,,,,,,1003.9,,,447.93,,,,,,20.05,,,,
01-Aug-2014,09:45,01-Aug-2014,10:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.09,,,,0.91,,,,,,,11.52,17.32,140.58,0.01,,20.5,,,,,,,,1003.9,,,347.74,,,,,,19.97,,,,
01-Aug-2014,10:00,01-Aug-2014,10:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,,,,,0.73,,,,,,,11.55,15.46,162.07,0.01,,20.36,,,,,,,,1003.9,,,203.11,,,,,,20.07,,,,
01-Aug-2014,10:15,01-Aug-2014,10:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,,,,,0.89,,,,,,,10.49,14.82,233.69,0.02,,19.9,,,,,,,,1003.9,,,68.63,,,,,,20.07,,,,
01-Aug-2014,10:30,01-Aug-2014,10:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.01,,,,0.94,,,,,,,23.31,29.6,72.89,0.01,,19.92,,,,,,,,1003.9,,,59.74,,,,,,19.95,,,,
01-Aug-2014,10:45,01-Aug-2014,11:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.01,,,,0.76,,,,,,,28.46,14.37,147.64,0.01,,20.0,,,,,,,,1003.9,,,209.95,,,,,,19.9,,,,
01-Aug-2014,11:00,01-Aug-2014,11:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.05,,,,0.96,,,,,,,11.9,17.52,112.83,0.02,,20.72,,,,,,,,1003.9,,,193.53,,,,,,20.0,,,,
01-Aug-2014,11:15,01-Aug-2014,11:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,,,,,0.98,,,,,,,10.4,18.65,42.03,0.01,,23.3,,,,,,,,1003.9,,,43.96,,,,,,20.04,,,,
01-Aug-2014,11:30,01-Aug-2014,11:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.04,,,,0.89,,,,,,,26.77,27.09,41.37,0.01,,25.32,,,,,,,,1003.9,,,86.74,,,,,,20.07,,,,
01-Aug-2014,11:45,01-Aug-2014,12:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,,,,,0.69,,,,,,,11.08,16.11,392.15,0.02,,32.6,,,,,,,,1003.9,,,91.19,,,,,,20.04,,,,
01-Aug-2014,12:00,01-Aug-2014,12:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.08,,,,0.79,,,,,,,12.72,18.19,131.53,0.03,,32.3,,,,,,,,1003.9,,,232.28,,,,,,19.98,,,,
01-Aug-2014,12:15,01-Aug-2014,12:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.04,,,,0.8,,,,,,,10.73,14.37,128.14,0.02,,31.2,,,,,,,,1003.9,,,58.7,,,,,,19.99,,,,
01-Aug-2014,12:30,01-Aug-2014,12:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,,,,,0.89,,,,,,,10.22,15.49,157.83,0.02,,29.36,,,,,,,,1003.9,,,91.26,,,,,,20.03,,,,
01-Aug-2014,12:45,01-Aug-2014,13:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.05,,,,0.91,,,,,,,15.22,22.63,74.31,0.02,,22.7,,,,,,,,1003.9,,,118.27,,,,,,19.99,,,,
01-Aug-2014,13:00,01-Aug-2014,13:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.1,,,,0.93,,,,,,,9.58,13.7,31.64,0.02,,24.24,,,,,,,,1003.9,,,321.39,,,,,,20.06,,,,
01-Aug-2014,13:15,01-Aug-2014,13:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.02,,,,0.8,,,,,,,10.73,14.37,167.67,0.02,,29.8,,,,,,,,1003.9,,,87.07,,,,,,20.06,,,,
01-Aug-2014,13:30,01-Aug-2014,13:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.04,,,,0.97,,,,,,,31.75,31.21,139.66,0.02,,29.17,,,,,,,,1003.9,,,31.9,,,,,,19.98,,,,
01-Aug-2014,13:45,01-Aug-2014,14:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",1003.9,0.03,,,,0.76,,,,,,,14.81,19.18,476.6,0.02,,26.9,,,,,,,,1003.9,,,71.74,,,,,,19.98,,,,
