From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2014,00:00,01-Sep-2014,00:15,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",121.62,0.14,,,,2.08,,39.94,,,,,4.55,4.25,,0.01,,312.79,,,,,,,,1013.25,,,3621.97,38.65,,,,,31.08,,,,
01-Sep-2014,00:15,01-Sep-2014,00:30,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",119.83,0.13,,,,2.01,,39.94,,,,,6.8,9.07,,0.01,,210.41,,,,,,,,1013.11,,,3563.05,38.77,,,,,31.05,,,,
01-Sep-2014,00:30,01-Sep-2014,00:45,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",102.63,0.13,,,,2.05,,39.94,,,,,3.18,4.21,,0.01,,316.41,,,,,,,,1013.0,,,2570.45,38.96,,,,,30.94,,,,
01-Sep-2014,00:45,01-Sep-2014,01:00,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",103.18,0.14,,,,2.09,,39.94,,,,,3.01,3.51,0.25,0.01,,315.16,,,,,,,,1012.76,,,544.19,39.24,,,,,30.81,,,,
01-Sep-2014,01:00,01-Sep-2014,01:15,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",114.45,0.13,,,,2.04,,39.94,,,,,4.95,4.86,0.34,0.01,,209.06,,,,,,,,1012.61,,,542.9,39.2,,,,,30.85,,,,
01-Sep-2014,01:15,01-Sep-2014,01:30,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",112.73,0.13,,,,2.03,,39.94,,,,,4.79,3.33,0.82,0.01,,304.36,,,,,,,,1012.51,,,1700.55,39.11,,,,,30.87,,,,
01-Sep-2014,01:30,01-Sep-2014,01:45,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",120.57,0.13,,,,1.99,,39.94,,,,,4.85,3.33,0.83,0.01,,265.79,,,,,,,,1012.41,,,4088.75,39.3,,,,,30.81,,,,
01-Sep-2014,01:45,01-Sep-2014,02:00,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",129.27,0.13,,,,1.99,,39.94,,,,,2.99,4.07,0.14,0.01,,634.78,,,,,,,,1012.28,,,4688.62,39.35,,,,,30.74,,,,
01-Sep-2014,02:00,01-Sep-2014,02:15,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",122.95,0.13,,,,1.97,,39.94,,,,,4.23,4.11,0.23,0.01,,623.39,,,,,,,,1012.32,,,5053.03,39.7,,,,,30.67,,,,
01-Sep-2014,02:15,01-Sep-2014,02:30,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",124.01,0.13,,,,2.03,,39.94,,,,,5.86,6.14,0.04,0.01,,568.05,,,,,,,,1012.23,,,4622.48,39.85,,,,,30.52,,,,
01-Sep-2014,02:30,01-Sep-2014,02:45,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",116.37,0.13,,,,1.96,,39.94,,,,,7.66,6.92,0.08,0.01,,337.57,,,,,,,,1012.24,,,4133.06,40.02,,,,,30.52,,,,
01-Sep-2014,02:45,01-Sep-2014,03:00,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",111.87,0.13,,,,1.95,,39.94,,,,,1.56,4.24,0.31,0.01,,507.17,,,,,,,,1012.14,,,4793.79,40.43,,,,,30.42,,,,
01-Sep-2014,03:00,01-Sep-2014,03:15,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",114.43,0.13,,,,1.97,,39.94,,,,,3.57,6.35,0.53,0.01,,604.89,,,,,,,,1012.04,,,1730.6,40.64,,,,,30.3,,,,
01-Sep-2014,03:15,01-Sep-2014,03:30,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",110.1,0.13,,,,2.01,,39.94,,,,,6.17,6.95,0.9,0.01,,399.24,,,,,,,,1011.84,,,386.16,41.0,,,,,30.12,,,,
01-Sep-2014,03:30,01-Sep-2014,03:45,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",89.18,0.13,,,,2.02,,39.94,,,,,5.99,6.16,0.77,0.01,,531.01,,,,,,,,1011.7,,,375.02,41.48,,,,,29.95,,,,
01-Sep-2014,03:45,01-Sep-2014,04:00,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",120.81,0.13,,,,1.99,,39.94,,,,,6.76,5.98,0.9,0.01,,544.54,,,,,,,,1011.78,,,15.07,41.98,,,,,29.88,,,,
01-Sep-2014,04:00,01-Sep-2014,04:15,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",122.47,0.13,,,,1.98,,39.94,,,,,5.94,6.83,1.17,0.01,,359.65,,,,,,,,1011.87,,,7.88,42.14,,,,,29.82,,,,
01-Sep-2014,04:15,01-Sep-2014,04:30,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",120.76,0.13,,,,1.98,,39.94,,,,,7.22,4.04,1.14,0.01,,454.93,,,,,,,,1012.08,,,1.34,42.26,,,,,29.84,,,,
01-Sep-2014,04:30,01-Sep-2014,04:45,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",120.58,0.13,,,,1.98,,39.94,,,,,5.42,3.55,1.59,0.01,,651.73,,,,,,,,1012.36,,,288.71,42.54,,,,,29.79,,,,
01-Sep-2014,04:45,01-Sep-2014,05:00,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",107.08,0.13,,,,2.02,,39.94,,,,,3.01,1.14,1.1,0.01,,371.1,,,,,,,,1012.55,,,128.14,42.62,,,,,29.74,,,,
01-Sep-2014,05:00,01-Sep-2014,05:15,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",114.26,0.13,,,,2.01,,39.94,,,,,0.72,1.65,0.05,0.01,,219.97,,,,,,,,1012.71,,,641.1,43.45,,,,,29.6,,,,
01-Sep-2014,05:15,01-Sep-2014,05:30,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",131.21,0.13,,,,1.96,,39.94,,,,,3.24,3.27,0.01,0.01,,150.32,,,,,,,,1012.75,,,3123.24,44.59,,,,,29.41,,,,
