﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Oct-2014,00:00,01-Oct-2014,00:15,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",31.06,738.2,,,43.49,25.75,31.06,,98.87,0.27,0.0,,,,0.0,3.99,24.17,0.0,0.0
01-Oct-2014,00:15,01-Oct-2014,00:30,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",31.01,738.11,,,43.72,26.59,31.01,,96.28,0.27,0.0,,,,0.0,3.2,22.95,0.0,0.0
01-Oct-2014,00:30,01-Oct-2014,00:45,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",30.96,738.13,,,44.16,26.21,30.96,,110.91,0.33,44.0,,,,43.0,3.39,24.99,3.0,4.0
01-Oct-2014,00:45,01-Oct-2014,01:00,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",30.81,738.1,,,45.58,26.89,30.81,,115.76,1.01,0.0,,,,0.0,3.26,21.49,0.0,0.0
01-Oct-2014,01:00,01-Oct-2014,01:15,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",30.39,738.19,,,47.86,26.26,30.39,,126.41,0.87,0.0,,,,0.0,2.72,14.76,0.0,0.0
01-Oct-2014,01:15,01-Oct-2014,01:30,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",29.98,738.0,,,50.11,25.38,29.98,,123.7,0.87,0.0,,,,0.0,2.66,11.72,0.0,0.0
01-Oct-2014,01:30,01-Oct-2014,01:45,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",29.7,737.95,,,51.55,25.67,29.7,,126.6,0.4,66.0,,,,47.0,2.87,9.81,1.0,5.0
01-Oct-2014,01:45,01-Oct-2014,02:00,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",29.49,737.84,,,52.28,24.31,29.49,,128.6,0.38,0.0,,,,0.0,3.16,9.2,0.0,0.0
01-Oct-2014,02:00,01-Oct-2014,02:15,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",29.34,737.77,,,52.49,25.64,29.34,,127.74,0.68,0.0,,,,0.0,2.49,7.08,0.0,0.0
01-Oct-2014,02:15,01-Oct-2014,02:30,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",29.28,737.78,,,52.47,25.54,29.28,,134.69,0.45,0.0,,,,0.0,1.99,7.13,0.0,0.0
