﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Nov-2014,00:00,01-Nov-2014,00:15,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",28.78,1012.35,,,41.83,0.4,28.78,0.0,146.39,11.21,0.28,0.0,,,9.02,1.56,10.58,56.05,5.51
01-Nov-2014,00:15,01-Nov-2014,00:30,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",28.67,1012.2,,,42.12,0.4,28.67,0.0,160.9,11.81,0.5,0.0,,,8.12,1.51,9.64,57.41,24.06
01-Nov-2014,00:30,01-Nov-2014,00:45,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",28.37,1011.85,,,42.7,0.4,28.37,0.0,133.51,5.67,12.84,0.0,,,13.96,1.63,9.57,56.21,31.4
01-Nov-2014,00:45,01-Nov-2014,01:00,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",28.09,1011.9,,,43.63,0.4,28.09,0.0,149.14,7.33,0.9,0.0,,,7.48,1.58,9.06,54.43,21.27
01-Nov-2014,01:00,01-Nov-2014,01:15,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",27.9,1011.6,,,43.67,0.4,27.9,0.0,223.74,4.03,0.88,0.0,,,7.53,1.53,9.06,54.18,20.74
01-Nov-2014,01:15,01-Nov-2014,01:30,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",27.79,1011.6,,,43.46,0.4,27.79,0.0,166.25,8.53,1.0,0.0,,,7.95,1.61,9.56,51.99,24.25
01-Nov-2014,01:30,01-Nov-2014,01:45,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",27.64,1011.55,,,43.8,0.4,27.64,0.0,166.08,5.83,14.58,0.0,,,19.07,1.5,10.11,40.95,53.53
01-Nov-2014,01:45,01-Nov-2014,02:00,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",27.61,1011.6,,,43.41,0.4,27.61,0.0,168.76,13.0,0.74,0.0,,,7.4,1.49,8.9,52.27,25.44
01-Nov-2014,02:00,01-Nov-2014,02:15,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",27.61,1011.8,,,43.17,0.4,27.61,0.0,158.08,7.17,0.28,0.0,,,8.37,1.66,10.02,49.71,25.34
01-Nov-2014,02:15,01-Nov-2014,02:30,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",27.58,1011.5,,,43.21,0.4,27.58,0.0,134.57,6.13,0.0,0.0,,,10.88,2.17,13.05,45.65,24.99
01-Nov-2014,02:30,01-Nov-2014,02:45,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",27.39,1011.25,,,43.6,0.4,27.39,0.0,122.97,9.14,20.0,0.0,,,17.15,1.65,10.37,42.98,42.9
