﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Nov-2014,00:00,01-Nov-2014,00:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,43.28,,,23.32,57.3,34.58,750.56,,,,,9.91,19.09,29.0,,,14.34,,0.49,1.26,,0.71,,,-0.02,,,2.17,32.92,,0.0,,,,,,,
01-Nov-2014,00:15,01-Nov-2014,00:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,50.69,,,23.22,57.4,40.5,750.45,,,,,10.63,17.71,28.34,,,15.99,,0.49,1.21,,0.41,,,-0.01,,,2.57,32.95,,0.0,,,,,,,
01-Nov-2014,00:30,01-Nov-2014,00:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,53.68,,,23.23,57.33,30.7,750.39,,,,,10.79,19.99,30.78,,,16.17,,0.48,1.18,,0.41,,,-0.02,,,2.41,32.75,,0.0,,,,,,,
01-Nov-2014,00:45,01-Nov-2014,01:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,48.59,,,23.11,57.61,31.53,750.24,,,,,10.32,18.92,29.24,,,16.11,,0.48,1.14,,0.49,,,-0.02,,,2.28,32.79,,0.0,,,,,,,
01-Nov-2014,01:00,01-Nov-2014,01:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,26.54,,,22.99,58.47,17.62,750.17,,,,,7.85,17.63,25.49,,,15.83,,0.47,1.12,,0.65,,,-0.01,,,2.19,33.58,,0.0,,,,,,,
01-Nov-2014,01:15,01-Nov-2014,01:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,42.13,,,22.75,59.43,7.23,750.11,,,,,9.07,16.71,25.78,,,15.99,,0.47,1.11,,0.59,,,-0.01,,,1.97,34.09,,0.0,,,,,,,
01-Nov-2014,01:30,01-Nov-2014,01:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,40.08,,,22.58,59.11,7.31,750.02,,,,,7.72,16.67,24.39,,,16.39,,0.47,1.03,,0.49,,,-0.03,,,2.15,34.07,,0.0,,,,,,,
01-Nov-2014,01:45,01-Nov-2014,02:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,117.71,,,22.38,58.35,7.3,749.98,,,,,11.0,14.23,25.23,,,17.06,,0.46,1.0,,0.4,,,-0.01,,,2.08,34.04,,0.0,,,,,,,
01-Nov-2014,02:00,01-Nov-2014,02:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,51.74,,,22.37,57.7,7.32,749.92,,,,,8.64,16.44,25.08,,,18.06,,0.46,0.97,,0.45,,,-0.02,,,1.99,34.03,,0.0,,,,,,,
01-Nov-2014,02:15,01-Nov-2014,02:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,34.13,,,22.34,57.89,7.28,749.81,,,,,8.25,15.09,23.34,,,17.8,,0.45,0.93,,0.51,,,-0.02,,,2.06,34.03,,0.0,,,,,,,
01-Nov-2014,02:30,01-Nov-2014,02:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,63.2,,,22.06,58.56,7.28,749.73,,,,,10.3,15.55,25.84,,,18.0,,0.45,0.92,,0.39,,,-0.01,,,2.02,34.04,,0.0,,,,,,,
01-Nov-2014,02:45,01-Nov-2014,03:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,60.9,,,21.85,60.21,7.25,749.64,,,,,9.06,16.6,25.66,,,16.95,,0.45,0.86,,0.38,,,-0.01,,,2.06,34.01,,0.0,,,,,,,
01-Nov-2014,03:00,01-Nov-2014,03:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,58.56,,,21.9,59.17,7.31,749.75,,,,,9.68,14.53,24.2,,,17.88,,0.45,0.81,,0.43,,,-0.02,,,2.1,34.03,,0.0,,,,,,,
01-Nov-2014,03:15,01-Nov-2014,03:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,76.2,,,21.73,58.71,7.29,749.65,,,,,9.08,15.79,24.88,,,17.62,,0.44,0.85,,0.4,,,-0.01,,,2.1,34.04,,0.0,,,,,,,
01-Nov-2014,03:30,01-Nov-2014,03:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,38.06,,,21.78,58.02,7.3,749.56,,,,,9.55,14.42,23.97,,,17.44,,0.44,0.84,,0.39,,,-0.01,,,2.25,34.01,,0.0,,,,,,,
01-Nov-2014,03:45,01-Nov-2014,04:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,41.62,,,21.78,57.43,7.41,749.53,,,,,9.14,15.24,24.38,,,17.63,,0.44,0.83,,0.4,,,-0.02,,,2.15,34.03,,0.0,,,,,,,
01-Nov-2014,04:00,01-Nov-2014,04:15,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,60.36,,,21.78,56.71,7.29,749.64,,,,,8.83,14.73,23.56,,,17.93,,0.44,0.8,,0.34,,,-0.01,,,2.06,34.05,,0.0,,,,,,,
01-Nov-2014,04:15,01-Nov-2014,04:30,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,77.5,,,21.56,57.16,7.3,749.6,,,,,9.77,14.01,23.78,,,18.28,,0.44,0.77,,0.31,,,-0.01,,,1.95,34.02,,0.0,,,,,,,
01-Nov-2014,04:30,01-Nov-2014,04:45,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,53.74,,,21.42,57.97,7.39,749.6,,,,,10.07,13.45,23.52,,,18.25,,0.44,0.74,,0.33,,,-0.01,,,1.75,34.07,,0.0,,,,,,,
01-Nov-2014,04:45,01-Nov-2014,05:00,Uttar Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",0.27,72.3,,,21.3,58.44,7.27,749.7,,,,,9.8,12.69,22.5,,,18.36,,0.43,0.73,,0.31,,,-0.01,,,1.59,34.07,,0.0,,,,,,,
