From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2014,00:00,01-Dec-2014,00:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,57.83,,,,,83.61,32.0,,,24.97,0.97,,,,,,,,,,,,,12.11,25.29,,,,,,,,,
01-Dec-2014,00:15,01-Dec-2014,00:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,58.47,,,,,78.75,30.22,,,25.07,1.0,,,,,,,,,,,,,12.54,24.96,,,,,,,,,
01-Dec-2014,00:30,01-Dec-2014,00:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.03,107.0,,,,59.81,,,,,84.14,32.2,,,25.05,0.99,,,,,,,,,,,,,13.09,24.63,,,,,,,,,
01-Dec-2014,00:45,01-Dec-2014,01:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.01,121.0,,,,60.84,,,,,88.4,33.76,,,24.94,0.98,,,,,,,,,,,,,12.08,24.3,,,,,,,,,
01-Dec-2014,01:00,01-Dec-2014,01:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.02,148.64,,,,58.14,,,,,86.75,33.15,,,25.08,1.0,,,,,,,,,,,,,13.05,24.29,,,,,,,,,
01-Dec-2014,01:15,01-Dec-2014,01:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.03,187.6,,,,52.03,,,,,78.9,30.27,,,24.83,0.97,,,,,,,,,,,,,13.39,24.76,,,,,,,,,
01-Dec-2014,01:30,01-Dec-2014,01:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.1,206.2,,,,54.25,,,,,69.09,26.68,,,24.93,0.98,,,,,,,,,,,,,13.33,25.03,,,,,,,,,
01-Dec-2014,01:45,01-Dec-2014,02:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.05,63.95,,,,50.0,,,,,56.85,22.19,,,25.04,1.0,,,,,,,,,,,,,13.56,24.96,,,,,,,,,
01-Dec-2014,02:00,01-Dec-2014,02:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.03,48.12,,,,45.86,,,,,44.52,17.67,,,25.19,0.99,,,,,,,,,,,,,13.63,25.09,,,,,,,,,
01-Dec-2014,02:15,01-Dec-2014,02:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.03,34.62,,,,47.28,,,,,34.83,14.11,,,25.24,1.01,,,,,,,,,,,,,13.07,25.26,,,,,,,,,
01-Dec-2014,02:30,01-Dec-2014,02:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,53.86,,,,53.17,,,,,32.01,13.08,,,25.2,0.98,,,,,,,,,,,,,14.15,24.64,,,,,,,,,
01-Dec-2014,02:45,01-Dec-2014,03:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,57.01,,,,,38.31,15.39,,,25.12,0.99,,,,,,,,,,,,,13.44,23.96,,,,,,,,,
01-Dec-2014,03:00,01-Dec-2014,03:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,58.56,,,,,45.2,17.92,,,25.21,1.0,,,,,,,,,,,,,13.03,23.44,,,,,,,,,
01-Dec-2014,03:15,01-Dec-2014,03:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.01,174.0,,,,59.98,,,,,47.7,18.83,,,25.26,0.96,,,,,,,,,,,,,13.55,23.5,,,,,,,,,
01-Dec-2014,03:30,01-Dec-2014,03:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.01,208.5,,,,59.98,,,,,53.58,20.99,,,25.11,0.95,,,,,,,,,,,,,13.07,23.37,,,,,,,,,
01-Dec-2014,03:45,01-Dec-2014,04:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.02,24.0,,,,57.83,,,,,52.72,20.68,,,24.99,0.95,,,,,,,,,,,,,13.69,23.48,,,,,,,,,
01-Dec-2014,04:00,01-Dec-2014,04:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.09,190.86,,,,61.72,,,,,49.47,19.49,,,25.38,0.96,,,,,,,,,,,,,13.06,23.14,,,,,,,,,
01-Dec-2014,04:15,01-Dec-2014,04:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.11,200.64,,,,62.79,,,,,47.47,18.75,,,25.31,0.98,,,,,,,,,,,,,13.58,22.94,,,,,,,,,
01-Dec-2014,04:30,01-Dec-2014,04:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.01,157.0,,,,64.33,,,,,47.28,18.68,,,25.28,0.99,,,,,,,,,,,,,13.43,22.74,,,,,,,,,
01-Dec-2014,04:45,01-Dec-2014,05:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,66.39,,,,,52.61,20.63,,,25.24,0.97,,,,,,,,,,,,,13.66,22.11,,,,,,,,,
01-Dec-2014,05:00,01-Dec-2014,05:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,69.64,,,,,60.11,23.39,,,25.32,0.94,,,,,,,,,,,,,13.86,21.66,,,,,,,,,
01-Dec-2014,05:15,01-Dec-2014,05:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,72.07,,,,,61.71,23.97,,,25.34,1.01,,,,,,,,,,,,,13.83,21.2,,,,,,,,,
01-Dec-2014,05:30,01-Dec-2014,05:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,72.26,,,,,64.02,24.82,,,25.18,0.99,,,,,,,,,,,,,13.62,21.22,,,,,,,,,
01-Dec-2014,05:45,01-Dec-2014,06:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,70.7,,,,,65.67,25.43,,,25.27,0.98,,,,,,,,,,,,,13.57,21.15,,,,,,,,,
01-Dec-2014,06:00,01-Dec-2014,06:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,67.29,,,,,64.75,25.09,,,25.31,0.98,,,,,,,,,,,,,13.25,21.71,,,,,,,,,
01-Dec-2014,06:15,01-Dec-2014,06:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,,,,,68.32,,,,,60.48,23.52,,,25.27,0.97,,,,,,,,,,,,,13.06,21.68,,,,,,,,,
01-Dec-2014,06:30,01-Dec-2014,06:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.01,343.0,,,,67.83,,,,,57.22,22.33,,,25.11,1.0,,,,,,,,,,,,,12.99,21.7,,,,,,,,,
