﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jan-2015,00:00,01-Jan-2015,00:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1005.37,,,62.61,71.06,25.72,,246.0,1.52,1.02,,,11.79,7.24,16.79,14.77,,7.67
01-Jan-2015,00:15,01-Jan-2015,00:30,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1005.34,,,62.5,71.06,25.63,,263.67,1.51,0.95,,,4.34,10.97,6.58,10.26,,6.62
01-Jan-2015,00:30,01-Jan-2015,00:45,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1005.17,,,62.47,71.06,25.59,,268.31,1.5,0.82,,,4.64,11.89,7.02,11.03,,6.26
01-Jan-2015,00:45,01-Jan-2015,01:00,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1005.12,,,62.6,71.06,25.71,,245.82,1.53,0.77,,,4.67,12.49,7.03,11.34,,5.11
01-Jan-2015,01:00,01-Jan-2015,01:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1005.08,,,62.63,71.06,25.74,,249.32,1.55,0.76,,,4.53,10.31,6.94,10.21,,3.32
01-Jan-2015,01:15,01-Jan-2015,01:30,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.94,,,62.64,71.06,25.75,,253.15,1.52,0.66,,,4.86,10.9,7.51,10.92,,4.69
01-Jan-2015,01:30,01-Jan-2015,01:45,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.77,,,62.61,71.06,25.73,,267.91,1.5,0.92,,,4.7,10.76,7.04,10.51,,4.07
01-Jan-2015,01:45,01-Jan-2015,02:00,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.65,,,62.64,71.06,25.75,,264.53,1.51,0.81,,,5.63,11.79,8.4,12.02,,7.52
01-Jan-2015,02:00,01-Jan-2015,02:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.54,,,62.62,71.06,25.73,,269.47,1.53,1.59,,,3.77,11.08,5.86,9.77,,10.68
01-Jan-2015,02:15,01-Jan-2015,02:30,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.54,,,62.53,71.06,25.65,,254.13,1.54,2.11,,,3.16,9.55,4.84,8.27,,11.31
01-Jan-2015,02:30,01-Jan-2015,02:45,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.49,,,62.46,71.06,25.59,,252.48,1.52,1.94,,,4.5,9.15,6.93,9.64,,8.79
01-Jan-2015,02:45,01-Jan-2015,03:00,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.41,,,62.36,71.06,25.5,,239.24,1.55,2.01,,,4.26,10.28,6.63,9.96,,11.36
01-Jan-2015,03:00,01-Jan-2015,03:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.37,,,62.28,71.06,25.43,,246.47,1.53,1.97,,,4.34,9.37,6.64,9.53,,10.8
01-Jan-2015,03:15,01-Jan-2015,03:30,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.44,,,62.31,71.06,25.46,,249.31,1.51,1.96,,,4.84,10.45,7.32,10.56,,11.58
01-Jan-2015,03:30,01-Jan-2015,03:45,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.52,,,62.29,71.06,25.43,,226.33,1.53,1.99,,,4.15,10.48,6.36,9.86,,9.0
01-Jan-2015,03:45,01-Jan-2015,04:00,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.65,,,62.28,71.06,25.43,,233.24,1.53,1.75,,,4.83,10.25,7.4,10.52,,6.39
01-Jan-2015,04:00,01-Jan-2015,04:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.71,,,62.3,71.06,25.45,,226.45,1.54,1.55,,,5.05,10.34,7.54,10.67,,9.13
01-Jan-2015,04:15,01-Jan-2015,04:30,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.7,,,62.36,71.06,25.5,,228.7,1.54,1.16,,,4.73,10.44,7.15,10.43,,5.22
01-Jan-2015,04:30,01-Jan-2015,04:45,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.69,,,62.34,71.06,25.48,,241.38,1.49,1.13,,,4.5,10.54,6.81,10.23,,5.75
01-Jan-2015,04:45,01-Jan-2015,05:00,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.78,,,62.34,71.06,25.49,,237.38,1.49,1.16,,,5.1,11.9,7.67,11.53,,8.89
01-Jan-2015,05:00,01-Jan-2015,05:15,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",,1004.77,,,62.38,71.06,25.52,,260.71,1.5,0.99,,,4.86,11.6,7.33,11.13,,4.28
