﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Feb-2015,00:00,01-Feb-2015,00:15,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,1010.6,,,54.0,30.54,10.69,8.29,182.37,0.27,14.49,3.65,,,81.67,32.11,2.21,5.23,3050.84
01-Feb-2015,00:15,01-Feb-2015,00:30,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,1010.62,,,54.0,30.56,10.86,8.14,182.39,0.26,14.1,3.57,,,74.1,26.56,2.21,,1131.7
01-Feb-2015,00:30,01-Feb-2015,00:45,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,1010.52,,,54.0,30.61,10.61,7.9,182.39,0.26,14.11,3.45,,,62.6,18.12,2.21,,798.38
01-Feb-2015,00:45,01-Feb-2015,01:00,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,1010.43,,,54.0,30.62,10.31,7.75,182.39,0.25,13.33,3.37,,,54.24,13.49,2.21,0.42,496.53
01-Feb-2015,01:00,01-Feb-2015,01:15,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,1010.42,,,54.0,30.57,10.14,7.67,182.39,0.29,13.81,3.33,,,49.24,11.44,2.21,15.85,135.7
01-Feb-2015,01:15,01-Feb-2015,01:30,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,1010.37,,,54.0,30.55,9.97,7.56,182.39,0.35,12.55,3.28,,,43.5,8.29,2.21,7.32,4.55
01-Feb-2015,01:30,01-Feb-2015,01:45,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,1010.22,,,54.0,30.55,9.54,7.41,182.36,0.37,13.12,3.21,,,33.42,4.64,2.21,12.83,
01-Feb-2015,01:45,01-Feb-2015,02:00,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,1010.08,,,54.0,30.55,9.33,7.31,182.38,0.25,12.18,3.15,,,25.24,3.1,2.21,11.45,
01-Feb-2015,02:00,01-Feb-2015,02:15,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,1010.09,,,54.0,30.56,9.11,7.27,182.4,0.39,12.4,3.14,,,21.94,2.88,2.21,45.02,2936.19
01-Feb-2015,02:15,01-Feb-2015,02:30,Uttar Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",,1010.04,,,54.0,30.56,9.0,7.26,182.4,0.31,11.81,3.13,,,20.62,2.74,2.21,28.71,3219.65
