﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Feb-2015,00:00,01-Feb-2015,00:15,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,343.59,93.95,54.64,,24.29,,,,1.5,,,,,,27.5,,40.13
01-Feb-2015,00:15,01-Feb-2015,00:30,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,320.96,87.84,56.41,,23.65,,,,1.48,,,,,,27.6,,39.88
01-Feb-2015,00:30,01-Feb-2015,00:45,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,328.62,89.91,57.4,,23.23,,,,1.49,,,,,,27.55,,40.43
01-Feb-2015,00:45,01-Feb-2015,01:00,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,315.84,86.46,58.22,,22.99,,,,1.52,,,,,,27.55,,41.34
01-Feb-2015,01:00,01-Feb-2015,01:15,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,296.58,81.26,59.3,,22.72,,,,1.49,,,,,,27.74,,42.55
01-Feb-2015,01:15,01-Feb-2015,01:30,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,297.48,81.5,60.49,,22.43,,,,1.5,,,,,,27.57,,42.08
01-Feb-2015,01:30,01-Feb-2015,01:45,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,304.75,83.46,61.08,,22.14,,,,1.44,,,,,,27.66,,43.07
01-Feb-2015,01:45,01-Feb-2015,02:00,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,309.89,84.85,62.18,,21.96,,,,1.47,,,,,,27.31,,43.93
01-Feb-2015,02:00,01-Feb-2015,02:15,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,296.34,81.19,62.26,,21.85,,,,1.48,,,,,,27.45,,44.18
01-Feb-2015,02:15,01-Feb-2015,02:30,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,296.52,81.24,61.99,,21.56,,,,1.46,,,,,,27.43,,45.74
01-Feb-2015,02:30,01-Feb-2015,02:45,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,315.51,86.37,61.86,,21.42,,,,1.45,,,,,,27.62,,45.51
01-Feb-2015,02:45,01-Feb-2015,03:00,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,342.64,93.69,62.49,,21.31,,,,1.47,,,,,,27.49,,47.43
01-Feb-2015,03:00,01-Feb-2015,03:15,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,360.46,98.51,63.03,,21.15,,,,1.51,,,,,,27.72,,46.75
01-Feb-2015,03:15,01-Feb-2015,03:30,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",,,348.35,95.23,63.38,,21.25,,,,1.47,,,,,,27.57,,46.74
