From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Apr-2015,00:00,01-Apr-2015,00:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,247.22,,,,49.41,31.7,1004.54,,,,24.91,2.19,14.21,16.39,1.57,,,,,,,,972.99,,0.19,,4.18,1.85,21.79,,,,,,,,,
01-Apr-2015,00:15,01-Apr-2015,00:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,201.88,,,,49.4,31.71,1004.4,,,,20.48,2.11,14.3,16.41,1.35,,,,,,,,961.4,,0.19,,4.31,1.86,21.78,,,,,,,,,
01-Apr-2015,00:30,01-Apr-2015,00:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,271.66,,,,49.4,31.71,1004.21,,,,20.48,2.12,14.32,16.44,1.35,,,,,,,,945.87,,0.19,,4.23,2.38,21.78,,,,,,,,,
01-Apr-2015,00:45,01-Apr-2015,01:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,255.32,,,,49.41,31.72,1004.06,,,,20.48,2.07,14.38,16.45,1.27,,,,,,,,928.05,,0.19,,4.13,1.86,21.79,,,,,,,,,
01-Apr-2015,01:00,01-Apr-2015,01:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,168.53,,,,49.41,31.71,1003.82,,,,24.29,2.15,14.25,16.4,1.11,,,,,,,,916.63,,0.19,,3.84,1.81,21.78,,,,,,,,,
01-Apr-2015,01:15,01-Apr-2015,01:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,300.19,,,,49.4,31.72,1003.54,,,,32.96,2.11,14.11,16.23,1.1,,,,,,,,1057.55,,0.19,,4.1,5.72,21.78,,,,,,,,,
01-Apr-2015,01:30,01-Apr-2015,01:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,211.96,,,,49.41,31.73,1003.31,,,,32.96,1.98,14.14,16.12,0.96,,,,,,,,1179.75,,0.19,,4.21,8.94,21.79,,,,,,,,,
01-Apr-2015,01:45,01-Apr-2015,02:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,270.08,,,,49.4,31.73,1003.19,,,,32.96,1.99,14.19,16.18,1.16,,,,,,,,1149.55,,0.19,,4.18,8.74,21.78,,,,,,,,,
01-Apr-2015,02:00,01-Apr-2015,02:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,263.96,,,,49.41,31.74,1003.22,,,,35.83,2.08,14.04,16.12,0.87,,,,,,,,1141.54,,0.19,,4.48,9.79,21.79,,,,,,,,,
01-Apr-2015,02:15,01-Apr-2015,02:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.21,325.54,,,,50.28,31.72,1003.3,,,,42.35,2.0,14.02,16.02,0.93,,,,,,,,1099.84,,0.19,,4.44,9.11,22.39,,,,,,,,,
01-Apr-2015,02:30,01-Apr-2015,02:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.21,328.86,,,,50.25,31.68,1003.37,,,,42.35,2.13,13.9,16.03,0.72,,,,,,,,1080.36,,0.19,,4.4,8.54,22.39,,,,,,,,,
01-Apr-2015,02:45,01-Apr-2015,03:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.19,326.16,,,,50.22,31.68,1003.42,,,,42.35,2.14,13.92,16.06,0.89,,,,,,,,983.16,,0.19,,4.37,8.16,22.36,,,,,,,,,
01-Apr-2015,03:00,01-Apr-2015,03:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.02,305.83,,,,49.65,31.7,1003.51,,,,37.69,2.12,13.89,16.01,0.92,,,,,,,,911.83,,0.19,,4.19,8.58,21.96,,,,,,,,,
01-Apr-2015,03:15,01-Apr-2015,03:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.01,311.94,,,,49.64,31.71,1003.5,,,,27.12,2.14,13.76,15.89,1.38,,,,,,,,874.15,,0.19,,4.02,8.59,21.95,,,,,,,,,
01-Apr-2015,03:30,01-Apr-2015,03:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.19,318.06,,,,50.23,31.72,1003.46,,,,27.12,2.15,13.77,15.92,1.49,,,,,,,,853.38,,0.19,,4.17,7.37,22.36,,,,,,,,,
01-Apr-2015,03:45,01-Apr-2015,04:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.42,329.17,,,,50.95,31.72,1003.44,,,,27.12,2.1,13.8,15.9,1.36,,,,,,,,813.77,,0.19,,4.29,7.74,22.88,,,,,,,,,
01-Apr-2015,04:00,01-Apr-2015,04:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.18,327.09,,,,50.17,31.72,1003.35,,,,29.92,1.38,14.14,15.19,1.63,,,,,,,,773.53,,0.19,,3.94,7.68,22.32,,,,,,,,,
01-Apr-2015,04:15,01-Apr-2015,04:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.02,304.67,,,,49.66,31.73,1003.42,,,,36.3,1.88,13.87,15.76,1.4,,,,,,,,741.63,,0.19,,4.33,8.02,21.97,,,,,,,,,
01-Apr-2015,04:30,01-Apr-2015,04:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.97,216.63,,,,49.5,31.75,1003.51,,,,36.3,2.11,13.75,15.87,1.47,,,,,,,,731.19,,0.19,,4.42,7.93,21.85,,,,,,,,,
01-Apr-2015,04:45,01-Apr-2015,05:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.97,193.56,,,,49.5,31.77,1003.68,,,,36.3,2.16,13.76,15.92,1.36,,,,,,,,743.13,,0.19,,3.93,7.56,21.85,,,,,,,,,
01-Apr-2015,05:00,01-Apr-2015,05:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.97,200.33,,,,49.51,31.8,1003.82,,,,38.37,2.18,13.78,15.96,1.25,,,,,,,,921.98,,0.19,,4.06,7.82,21.86,,,,,,,,,
01-Apr-2015,05:15,01-Apr-2015,05:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.96,213.29,,,,49.48,31.81,1003.98,,,,43.08,2.2,13.83,16.03,1.33,,,,,,,,951.99,,0.19,,4.11,7.64,21.83,,,,,,,,,
01-Apr-2015,05:30,01-Apr-2015,05:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.98,203.36,,,,49.52,31.87,1004.12,,,,43.08,2.09,13.92,16.01,1.43,,,,,,,,941.46,,0.19,,3.87,7.33,21.87,,,,,,,,,
01-Apr-2015,05:45,01-Apr-2015,06:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.01,187.83,,,,49.62,33.03,1004.35,,,,43.08,2.08,13.89,15.97,1.13,,,,,,,,949.35,,0.19,,3.44,6.94,21.93,,,,,,,,,
01-Apr-2015,06:00,01-Apr-2015,06:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.98,187.25,,,,49.53,38.09,1004.31,,,,45.92,2.12,13.82,15.94,1.25,,,,,,,,927.22,,0.19,,3.42,7.45,21.87,,,,,,,,,
01-Apr-2015,06:15,01-Apr-2015,06:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.98,199.96,,,,49.54,46.62,1004.37,,,,52.36,2.08,13.81,15.88,1.21,,,,,,,,889.15,,0.19,,3.53,7.76,21.87,,,,,,,,,
01-Apr-2015,06:30,01-Apr-2015,06:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.96,228.33,,,,49.49,58.66,1004.5,,,,52.36,2.05,13.8,15.85,1.26,,,,,,,,878.42,,0.19,,3.46,7.13,21.84,,,,,,,,,
01-Apr-2015,06:45,01-Apr-2015,07:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.97,206.48,,,,49.5,78.66,1004.62,,,,52.36,2.15,13.73,15.88,1.23,,,,,,,,843.97,,0.19,,3.56,7.05,21.85,,,,,,,,,
01-Apr-2015,07:00,01-Apr-2015,07:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.97,211.83,,,,49.5,81.62,1004.8,,,,52.54,2.07,13.82,15.89,1.34,,,,,,,,818.91,,0.19,,3.55,7.65,21.85,,,,,,,,,
01-Apr-2015,07:15,01-Apr-2015,07:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.96,185.72,,,,49.47,64.99,1004.95,,,,52.95,2.13,13.74,15.87,1.97,,,,,,,,848.21,,0.19,,3.56,7.1,21.83,,,,,,,,,
01-Apr-2015,07:30,01-Apr-2015,07:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,176.83,,,,49.41,118.16,1005.08,,,,52.95,2.04,13.79,15.83,2.01,,,,,,,,838.4,,0.19,,3.37,7.34,21.78,,,,,,,,,
01-Apr-2015,07:45,01-Apr-2015,08:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",0.94,171.09,,,,49.41,153.09,1005.29,,,,52.95,2.13,13.78,15.92,1.94,,,,,,,,844.92,,0.19,,3.45,7.61,21.79,,,,,,,,,
01-Apr-2015,08:00,01-Apr-2015,08:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.1,308.68,,,,49.92,201.75,1005.54,,,,51.4,2.22,13.89,16.11,1.84,,,,,,,,844.59,,0.19,,4.04,7.93,22.14,,,,,,,,,
01-Apr-2015,08:15,01-Apr-2015,08:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.1,292.38,,,,49.94,293.73,1005.7,,,,47.88,2.26,13.88,16.14,1.76,,,,,,,,834.75,,0.19,,4.66,7.69,22.16,,,,,,,,,
01-Apr-2015,08:30,01-Apr-2015,08:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.39,296.91,,,,50.84,325.11,1005.98,,,,47.88,2.21,14.09,16.29,1.69,,,,,,,,806.03,,0.19,,3.86,7.62,22.8,,,,,,,,,
01-Apr-2015,08:45,01-Apr-2015,09:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.52,323.35,,,,51.27,357.91,1005.97,,,,47.88,2.14,14.19,16.33,1.08,,,,,,,,740.63,,0.19,,2.32,8.99,23.08,,,,,,,,,
01-Apr-2015,09:00,01-Apr-2015,09:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.31,282.92,,,,50.58,385.89,1006.09,,,,40.98,2.11,13.95,16.05,1.43,,,,,,,,665.98,,0.19,,2.3,8.18,22.61,,,,,,,,,
01-Apr-2015,09:15,01-Apr-2015,09:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.16,207.19,,,,50.09,434.37,1006.21,,,,25.32,2.08,13.8,15.88,1.48,,,,,,,,613.37,,0.19,,2.04,7.92,22.27,,,,,,,,,
01-Apr-2015,09:30,01-Apr-2015,09:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.34,291.7,,,,50.7,452.17,1006.31,,,,25.32,1.89,13.74,15.63,2.1,,,,,,,,581.27,,0.19,,1.86,7.88,22.68,,,,,,,,,
01-Apr-2015,09:45,01-Apr-2015,10:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.43,204.49,,,,50.98,403.63,1006.27,,,,25.32,1.92,13.6,15.52,1.46,,,,,,,,559.75,,0.19,,1.75,8.24,22.89,,,,,,,,,
01-Apr-2015,10:00,01-Apr-2015,10:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.47,216.01,,,,51.11,485.71,1006.46,,,,33.47,1.92,13.55,15.46,1.79,,,,,,,,525.71,,0.19,,1.68,8.33,22.98,,,,,,,,,
01-Apr-2015,10:15,01-Apr-2015,10:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.26,216.63,,,,50.44,585.69,1006.33,,,,51.99,1.96,13.51,15.46,1.6,,,,,,,,505.83,,0.19,,1.78,7.63,22.51,,,,,,,,,
01-Apr-2015,10:30,01-Apr-2015,10:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",1.88,238.85,,,,52.41,440.18,1006.39,,,,51.99,2.05,13.43,15.48,1.51,,,,,,,,475.82,,0.19,,1.71,8.18,23.9,,,,,,,,,
01-Apr-2015,10:45,01-Apr-2015,11:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",2.06,252.4,,,,52.99,612.37,1006.22,,,,51.99,2.06,13.44,15.51,1.67,,,,,,,,455.65,,0.19,,1.68,7.58,24.3,,,,,,,,,
01-Apr-2015,11:00,01-Apr-2015,11:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",2.0,240.47,,,,52.8,507.32,1006.15,,,,44.05,2.07,13.45,15.52,1.61,,,,,,,,441.62,,0.19,,1.77,7.64,24.15,,,,,,,,,
01-Apr-2015,11:15,01-Apr-2015,11:30,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",2.3,256.05,,,,53.76,577.2,1006.28,,,,26.0,2.06,13.37,15.43,2.01,,,,,,,,436.18,,0.19,,1.69,7.38,24.82,,,,,,,,,
01-Apr-2015,11:30,01-Apr-2015,11:45,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Apr-2015,11:45,01-Apr-2015,12:00,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Apr-2015,12:00,01-Apr-2015,12:15,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
