From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-May-2015,00:00,01-May-2015,00:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",2.73,130.67,,,28.37,47.33,3.0,731.67,,,199.0,73.0,1.63,73.7,70.13,0.97,,60.8,,1.4,3.87,,,,,2.73,,38.43,16.3,28.37,,,,1.0,,,,,
01-May-2015,00:15,01-May-2015,00:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",2.3,152.0,,,28.17,48.67,3.0,730.33,,,199.0,73.0,1.37,65.13,61.83,0.97,,48.63,,1.4,4.0,,,,,2.97,,45.07,18.3,28.17,,,,1.1,,,,,
01-May-2015,00:30,01-May-2015,00:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",1.27,183.67,,,27.63,50.67,3.33,730.0,,,199.0,73.0,0.97,52.33,49.5,0.9,,58.77,,1.5,4.53,,,,,3.23,,48.93,20.53,27.63,,,,1.17,,,,,
01-May-2015,00:45,01-May-2015,01:00,Delhi,Delhi,"R K Puram, Delhi - DPCC",1.4,138.33,,,27.4,51.67,3.33,729.33,,,221.67,88.33,0.8,56.63,53.23,0.9,,56.8,,1.57,4.57,,,,,3.3,,47.5,20.97,27.4,,,,1.23,,,,,
01-May-2015,01:00,01-May-2015,01:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",1.77,126.33,,,27.4,52.0,3.33,729.0,,,233.0,96.0,0.87,63.3,59.47,0.9,,56.4,,1.5,3.97,,,,,3.33,,46.63,23.17,27.4,,,,0.93,,,,,
01-May-2015,01:15,01-May-2015,01:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",2.3,138.67,,,27.33,52.67,3.33,729.0,,,233.0,96.0,1.57,73.33,69.7,0.93,,51.47,,1.47,3.83,,,,,3.27,,46.1,21.17,27.33,,,,0.83,,,,,
01-May-2015,01:30,01-May-2015,01:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",2.2,125.0,,,27.27,53.33,3.33,729.0,,,233.0,96.0,2.47,69.43,67.37,1.0,,48.17,,1.4,3.47,,,,,3.3,,48.0,21.47,27.27,,,,0.53,,,,,
01-May-2015,01:45,01-May-2015,02:00,Delhi,Delhi,"R K Puram, Delhi - DPCC",3.1,117.0,,,27.03,54.67,3.0,729.0,,,206.33,89.33,2.9,77.67,75.5,1.0,,41.5,,1.4,3.4,,,,,2.77,,45.67,22.03,27.03,,,,0.4,,,,,
01-May-2015,02:00,01-May-2015,02:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",4.07,121.33,,,26.67,55.33,3.0,729.0,,,193.0,86.0,1.57,56.8,54.43,0.9,,54.57,,1.4,3.5,,,,,2.57,,46.27,23.1,26.67,,,,0.57,,,,,
01-May-2015,02:15,01-May-2015,02:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",4.37,115.67,,,26.1,56.33,3.0,729.0,,,193.0,86.0,1.47,51.2,49.17,0.8,,62.67,,1.33,3.23,,,,,2.33,,45.27,21.33,26.1,,,,0.5,,,,,
01-May-2015,02:30,01-May-2015,02:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",4.67,113.33,,,25.53,48.33,3.0,731.67,,,193.0,86.0,1.27,44.8,42.97,0.7,,65.73,,1.3,3.2,,,,,1.63,,39.8,24.7,25.53,,,,0.33,,,,,
01-May-2015,02:45,01-May-2015,03:00,Delhi,Delhi,"R K Puram, Delhi - DPCC",4.27,123.33,,,24.93,41.67,3.33,732.67,,,261.67,77.33,1.23,39.03,37.63,0.6,,73.23,,1.37,3.2,,,,,1.57,,33.43,35.97,24.93,,,,0.33,,,,,
01-May-2015,03:00,01-May-2015,03:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",3.4,140.33,,,24.5,41.0,3.33,733.67,,,296.0,73.0,1.7,40.07,39.23,0.6,,74.0,,1.17,2.3,,,,,2.23,,31.3,32.4,24.5,,,,0.37,,,,,
01-May-2015,03:15,01-May-2015,03:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",3.53,115.33,,,24.33,41.0,3.67,734.0,,,296.0,73.0,2.03,45.9,45.1,0.6,,75.67,,0.9,1.8,,,,,2.17,,29.57,30.5,24.33,,,,0.3,,,,,
01-May-2015,03:30,01-May-2015,03:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",2.4,120.33,,,24.17,41.33,3.67,734.0,,,296.0,73.0,1.83,49.1,47.73,0.7,,73.03,,0.8,1.7,,,,,1.87,,29.77,28.97,24.17,,,,0.33,,,,,
