From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jul-2015,00:00,01-Jul-2015,00:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.2,,1019.78,,,,32.13,,3.84,0.82,2076.31,,,,,,,,104.12,,,964.77,5.94,1.81,26.09,,,,,,,,,
01-Jul-2015,00:15,01-Jul-2015,00:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.2,,1019.49,,,,32.13,,3.87,0.72,1583.3,,,,,,,,97.02,,,512.16,5.83,2.01,25.99,,,,,,,,,
01-Jul-2015,00:30,01-Jul-2015,00:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.2,,1019.28,,,,32.13,,3.69,0.5,1604.19,,,,,,,,97.13,,,562.07,5.57,2.43,25.85,,,,,,,,,
01-Jul-2015,00:45,01-Jul-2015,01:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.2,,1019.11,,,,27.87,,3.68,0.62,1314.73,,,,,,,,115.43,,,550.62,5.61,2.02,25.68,,,,,,,,,
01-Jul-2015,01:00,01-Jul-2015,01:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.2,,1018.71,,,,18.2,,3.64,0.54,1103.36,,,,,,,,111.87,,,554.18,5.51,2.02,25.58,,,,,,,,,
01-Jul-2015,01:15,01-Jul-2015,01:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.2,,1018.5,,,,18.2,,3.43,0.5,1025.35,,,,,,,,141.14,,,552.31,5.43,2.22,25.49,,,,,,,,,
01-Jul-2015,01:30,01-Jul-2015,01:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.2,,1018.24,,,,18.2,,3.27,0.34,1387.63,,,,,,,,73.14,,,490.08,5.17,1.52,25.4,,,,,,,,,
01-Jul-2015,01:45,01-Jul-2015,02:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.2,,1018.17,,,,17.24,,3.32,0.39,1311.72,,,,,,,,73.36,,,485.31,5.22,1.1,25.32,,,,,,,,,
01-Jul-2015,02:00,01-Jul-2015,02:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.2,,1018.13,,,,15.07,,3.23,0.39,1743.55,,,,,,,,107.31,,,532.42,5.28,1.29,25.26,,,,,,,,,
01-Jul-2015,02:15,01-Jul-2015,02:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.21,,1017.99,,,,15.07,,3.12,0.41,910.58,,,,,,,,81.5,,,479.55,5.26,3.93,25.18,,,,,,,,,
01-Jul-2015,02:30,01-Jul-2015,02:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,92.2,,1017.77,,,,15.07,,2.93,0.15,1225.41,,,,,,,,63.49,,,425.45,4.8,4.01,25.12,,,,,,,,,
