﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2015,00:00,01-Jul-2015,00:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,,,15.07,,,,16.63,,,1.92,13.24,,,40.45,20.99,,108.98,9.03
01-Jul-2015,00:15,01-Jul-2015,00:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,973.68,,15.07,124.75,,33.65,16.63,142.87,1.03,1.92,13.24,,,40.45,20.99,,112.9,9.03
01-Jul-2015,00:30,01-Jul-2015,00:45,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,973.68,,15.07,124.75,,33.65,16.63,142.87,1.03,1.92,13.24,,,40.45,20.99,,112.9,9.03
01-Jul-2015,00:45,01-Jul-2015,01:00,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,973.68,,15.07,124.75,,33.65,16.63,142.87,1.03,1.92,13.24,,,40.45,20.99,,112.9,9.03
01-Jul-2015,01:00,01-Jul-2015,01:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,973.68,,15.07,124.75,,33.65,16.63,142.87,1.03,1.92,13.24,,,40.45,20.99,,112.9,9.03
01-Jul-2015,01:15,01-Jul-2015,01:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,973.68,,15.07,124.75,,33.65,16.63,142.87,1.03,1.92,13.24,,,40.45,20.99,,112.9,9.03
01-Jul-2015,01:30,01-Jul-2015,01:45,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,973.68,,15.07,124.75,,33.65,16.63,142.87,1.03,1.92,13.24,,,40.45,20.99,,112.9,9.03
01-Jul-2015,01:45,01-Jul-2015,02:00,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,973.68,,15.07,124.75,,33.65,16.63,142.87,1.03,1.92,13.24,,,40.45,20.99,,112.9,9.03
01-Jul-2015,02:00,01-Jul-2015,02:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,973.68,,15.07,124.75,,33.65,16.63,142.87,1.03,1.92,13.24,,,40.45,20.99,,112.9,9.03
01-Jul-2015,02:15,01-Jul-2015,02:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,973.68,,15.07,124.75,,33.65,16.63,142.87,1.03,1.92,13.24,,,40.45,20.99,,112.9,9.03
