﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Dec-2016,00:00,01-Dec-2016,00:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.83,745.0,367.0,6.8,81.0,9.0,,9.47,105.67,0.3,4.9,2.0,,,116.37,223.27,408.57,5.93,14.17
01-Dec-2016,00:15,01-Dec-2016,00:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.7,745.0,367.0,6.83,81.0,9.0,,10.23,123.33,0.3,5.3,2.07,,,114.2,242.17,432.5,5.97,12.3
01-Dec-2016,00:30,01-Dec-2016,00:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.53,745.67,367.0,7.2,81.0,9.0,,11.7,119.0,0.3,5.7,2.1,,,115.23,272.3,474.53,6.3,10.53
01-Dec-2016,00:45,01-Dec-2016,01:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.4,746.67,411.67,7.77,82.0,9.0,,12.9,69.67,0.3,5.9,2.1,,,104.3,292.3,492.1,6.77,11.7
01-Dec-2016,01:00,01-Dec-2016,01:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.6,748.67,434.0,8.27,82.0,9.0,,14.03,51.0,0.3,6.3,2.1,,,112.0,332.7,554.13,8.07,9.73
01-Dec-2016,01:15,01-Dec-2016,01:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.83,747.0,434.0,8.53,82.0,8.67,,15.03,74.0,0.33,6.87,2.1,,,125.2,329.3,561.27,26.13,12.47
01-Dec-2016,01:30,01-Dec-2016,01:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.9,744.67,434.0,9.13,82.0,9.0,,18.63,68.67,0.3,7.0,2.27,,,123.07,329.93,560.2,62.03,15.1
01-Dec-2016,01:45,01-Dec-2016,02:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.87,744.0,582.0,10.13,82.0,9.0,,22.47,111.67,0.3,6.73,2.6,,,114.4,316.17,533.73,74.67,10.2
01-Dec-2016,02:00,01-Dec-2016,02:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.6,744.33,656.0,10.23,82.0,9.0,,22.4,110.67,0.3,6.6,2.7,,,105.23,294.53,496.0,102.67,13.5
01-Dec-2016,02:15,01-Dec-2016,02:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.5,745.33,656.0,9.9,82.0,8.67,,21.57,57.0,0.3,6.4,2.7,,,100.47,290.47,486.2,256.6,13.53
01-Dec-2016,02:30,01-Dec-2016,02:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.47,746.0,656.0,9.73,82.0,9.0,,21.57,91.0,0.3,6.1,2.7,,,99.77,281.8,473.73,303.13,13.63
01-Dec-2016,02:45,01-Dec-2016,03:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.37,746.67,681.33,9.23,82.0,9.0,,20.2,72.0,0.3,6.1,2.7,,,95.03,283.2,471.5,249.17,12.93
01-Dec-2016,03:00,01-Dec-2016,03:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.3,747.0,694.0,8.63,82.33,8.67,,20.5,107.33,0.3,5.83,2.53,,,89.7,296.47,484.83,246.6,12.67
01-Dec-2016,03:15,01-Dec-2016,03:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.4,747.33,694.0,8.57,83.0,9.0,,22.47,71.33,0.3,5.5,2.5,,,94.7,288.07,477.77,239.57,16.27
01-Dec-2016,03:30,01-Dec-2016,03:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.43,747.0,694.0,8.37,83.0,9.0,,21.17,71.33,0.3,5.1,2.5,,,101.7,264.9,452.4,192.67,15.67
01-Dec-2016,03:45,01-Dec-2016,04:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.43,746.0,696.0,8.0,83.0,8.67,,19.83,68.33,0.3,4.8,2.43,,,94.6,237.53,408.67,153.93,14.37
01-Dec-2016,04:00,01-Dec-2016,04:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.37,747.0,697.0,7.33,83.0,9.0,,18.63,105.33,0.3,4.53,2.17,,,92.23,225.7,390.43,140.9,14.4
01-Dec-2016,04:15,01-Dec-2016,04:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.3,748.0,697.0,6.87,83.0,9.0,,17.83,126.67,0.3,4.27,2.1,,,87.3,215.73,372.37,127.47,13.37
01-Dec-2016,04:30,01-Dec-2016,04:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.17,748.33,697.0,6.87,83.0,8.67,,17.53,133.33,0.3,4.0,2.1,,,83.9,207.87,358.67,119.73,16.5
01-Dec-2016,04:45,01-Dec-2016,05:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14.03,751.33,591.0,6.4,83.0,9.0,,16.37,121.0,0.3,3.97,2.03,,,85.83,196.33,344.63,108.6,6.8
01-Dec-2016,05:00,01-Dec-2016,05:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",13.93,755.33,538.0,6.0,83.67,9.0,,15.47,117.33,0.3,3.93,2.0,,,84.0,192.97,338.4,105.23,18.8
01-Dec-2016,05:15,01-Dec-2016,05:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",13.8,756.33,538.0,5.83,84.0,9.0,,15.3,122.67,0.3,3.9,1.93,,,80.93,194.23,337.33,100.33,13.5
01-Dec-2016,05:30,01-Dec-2016,05:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",13.8,760.67,538.0,5.97,84.0,9.0,,15.77,116.67,0.3,3.93,1.97,,,77.43,202.23,345.13,90.07,15.13
01-Dec-2016,05:45,01-Dec-2016,06:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",13.73,756.0,523.33,5.73,84.0,9.0,,15.17,110.0,0.3,3.9,1.9,,,75.0,205.93,348.03,81.97,22.9
