From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2015,00:00,01-Aug-2015,00:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.12,,,,61.27,182.19,913.9,,,,37.57,7.82,8.6,6.24,416.0,,17.23,,0.05,0.1,,,,,0.02,,,5.2,,0.08,,,,,,,,
01-Aug-2015,00:15,01-Aug-2015,00:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.12,,,,61.26,182.2,913.87,,,,38.8,7.78,9.27,6.24,512.0,,17.23,,0.06,0.13,,,,,0.02,,,6.4,,0.1,,,,,,,,
01-Aug-2015,00:30,01-Aug-2015,00:45,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.12,,,,61.21,182.2,913.79,,,,39.03,7.73,9.73,6.24,432.18,,17.23,,0.05,0.11,,,,,0.02,,,5.4,,0.09,,,,,,,,
01-Aug-2015,00:45,01-Aug-2015,01:00,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.12,,,,61.21,182.19,913.82,,,,38.67,8.33,8.93,6.24,265.78,,17.23,,0.03,0.07,,,,,0.02,,,3.32,,0.05,,,,,,,,
01-Aug-2015,01:00,01-Aug-2015,01:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.12,,,,61.16,182.19,913.88,,,,37.37,6.6,9.6,6.24,643.56,,17.23,,0.08,0.16,,,,,0.02,,,8.04,,0.13,,,,,,,,
01-Aug-2015,01:15,01-Aug-2015,01:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.12,,,,61.04,182.21,913.8,,,,37.5,6.44,9.96,6.24,451.56,,17.23,,0.06,0.11,,,,,0.02,,,5.64,,0.09,,,,,,,,
01-Aug-2015,01:30,01-Aug-2015,01:45,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.12,,,,61.01,182.21,914.12,,,,35.8,5.69,9.36,6.24,50.67,,17.23,,0.01,0.01,,,,,0.02,,,0.63,,0.01,,,,,,,,
01-Aug-2015,01:45,01-Aug-2015,02:00,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.12,,,,60.96,182.24,914.27,,,,34.73,5.31,8.98,6.24,21.33,,17.23,,,0.01,,,,,0.02,,,0.27,,,,,,,,,,
01-Aug-2015,02:00,01-Aug-2015,02:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.93,182.21,914.21,,,,34.7,5.58,8.96,6.24,37.33,,17.23,,,0.01,,,,,0.02,,,0.47,,,,,,,,,,
01-Aug-2015,02:15,01-Aug-2015,02:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.89,182.21,914.22,,,,33.17,4.04,9.09,6.24,,,17.23,,,,,,,,0.02,,,,,,,,,,,,,
01-Aug-2015,02:30,01-Aug-2015,02:45,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.86,182.21,914.22,,,,34.27,4.78,9.47,6.24,,,17.23,,,,,,,,0.02,,,,,,,,,,,,,
01-Aug-2015,02:45,01-Aug-2015,03:00,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.85,182.21,914.03,,,,34.4,5.0,9.0,6.24,,,17.23,,,,,,,,0.02,,,,,,,,,,,,,
01-Aug-2015,03:00,01-Aug-2015,03:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.86,182.21,914.04,,,,34.83,5.0,9.51,6.24,,,17.23,,,,,,,,0.02,,,,,,,,,,,,,
01-Aug-2015,03:15,01-Aug-2015,03:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.86,182.21,914.05,,,,33.6,4.27,9.44,6.24,,,17.23,,,,,,,,0.02,,,,,,,,,,,,,
01-Aug-2015,03:30,01-Aug-2015,03:45,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.84,182.21,914.1,,,,33.3,4.22,9.0,6.24,,,17.23,,,,,,,,0.02,,,,,,,,,,,,,
01-Aug-2015,03:45,01-Aug-2015,04:00,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.82,182.21,914.11,,,,33.5,4.31,9.04,6.24,,,17.23,,,,,,,,0.02,,,,,,,,,,,,,
01-Aug-2015,04:00,01-Aug-2015,04:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.82,182.21,914.09,,,,33.53,4.31,9.51,6.24,598.93,,17.23,,0.06,0.15,,,,,0.02,,,7.49,,0.09,,,,,,,,
01-Aug-2015,04:15,01-Aug-2015,04:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.81,182.22,914.11,,,,33.27,4.42,9.0,6.24,638.22,,17.23,,0.08,0.16,,,,,0.02,,,7.98,,0.13,,,,,,,,
01-Aug-2015,04:30,01-Aug-2015,04:45,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.81,182.21,914.09,,,,33.3,4.82,8.76,6.24,707.56,,17.23,,0.09,0.18,,,,,0.02,,,8.84,,0.14,,,,,,,,
01-Aug-2015,04:45,01-Aug-2015,05:00,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.82,182.21,914.1,,,,33.3,4.27,9.0,6.24,723.56,,17.23,,0.09,0.18,,,,,0.02,,,9.04,,0.14,,,,,,,,
01-Aug-2015,05:00,01-Aug-2015,05:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.83,182.21,914.17,,,,32.53,4.47,8.62,6.24,773.51,,17.23,,0.1,0.19,,,,,0.02,,,9.67,,0.15,,,,,,,,
01-Aug-2015,05:15,01-Aug-2015,05:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.81,182.21,914.28,,,,31.87,4.0,8.89,6.24,832.0,,17.23,,0.1,0.21,,,,,0.02,,,10.4,,0.17,,,,,,,,
01-Aug-2015,05:30,01-Aug-2015,05:45,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.82,182.32,914.39,,,,32.47,4.4,8.47,6.24,888.89,,17.23,,0.11,0.22,,,,,0.02,,,11.11,,0.18,,,,,,,,
01-Aug-2015,05:45,01-Aug-2015,06:00,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.12,,,,60.82,183.24,914.47,,,,33.17,4.49,8.98,6.24,906.67,,17.27,,0.11,0.23,,,,,0.02,,,11.33,,0.18,,,,,,,,
01-Aug-2015,06:00,01-Aug-2015,06:15,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.12,,,,60.83,183.69,914.59,,,,34.27,5.0,9.0,6.24,803.56,,17.29,,0.1,0.2,,,,,0.02,,,10.04,,0.16,,,,,,,,
01-Aug-2015,06:15,01-Aug-2015,06:30,Uttar Pradesh,Lucknow,"Central School, Lucknow - CPCB",0.02,95.11,,,,60.83,185.44,914.71,,,,34.37,4.49,9.53,6.24,883.73,,17.36,,0.11,0.22,,,,,0.02,,,11.05,,0.18,,,,,,,,
