﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Oct-2015,00:00,01-Oct-2015,00:15,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,997.43,,57.91,52.91,186.47,31.72,,293.16,0.12,1512.01,,,,20.1,15.78,20.48,37.15,13.12
01-Oct-2015,00:15,01-Oct-2015,00:30,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,996.0,,79.93,54.09,185.12,31.36,,230.47,0.19,1379.67,,,,28.41,21.78,30.38,19.13,13.2
01-Oct-2015,00:30,01-Oct-2015,00:45,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,995.91,,24.52,55.68,185.04,31.34,,275.61,0.11,1334.11,,,,21.27,6.68,13.41,16.96,13.9
01-Oct-2015,00:45,01-Oct-2015,01:00,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,996.09,,66.13,55.31,185.21,31.38,,288.2,0.1,1319.76,,,,20.77,18.02,21.98,18.15,14.27
01-Oct-2015,01:00,01-Oct-2015,01:15,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,995.68,,52.67,59.33,184.83,31.28,,316.39,0.07,1429.89,,,,17.78,14.35,22.96,23.19,14.2
01-Oct-2015,01:15,01-Oct-2015,01:30,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,995.68,,54.85,56.22,184.83,31.28,,316.19,0.08,1324.79,,,,18.21,14.94,23.62,17.01,13.88
01-Oct-2015,01:30,01-Oct-2015,01:45,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,995.85,,56.67,55.33,184.98,31.32,,262.14,0.11,1271.5,,,,17.36,15.44,23.54,19.72,13.44
01-Oct-2015,01:45,01-Oct-2015,02:00,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,995.83,,34.52,54.05,184.96,31.32,,294.92,0.13,1333.75,,,,17.73,9.4,19.25,14.37,13.06
01-Oct-2015,02:00,01-Oct-2015,02:15,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.65,,38.14,59.74,183.85,31.02,,316.27,0.07,1464.59,,,,17.34,10.39,19.79,9.36,13.21
01-Oct-2015,02:15,01-Oct-2015,02:30,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.21,,36.81,62.12,183.44,30.91,,310.65,0.08,1446.8,,,,17.05,10.03,19.38,17.56,13.01
01-Oct-2015,02:30,01-Oct-2015,02:45,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.16,,33.72,63.52,183.39,30.9,,313.95,0.07,1402.42,,,,16.54,9.19,18.5,13.82,12.31
01-Oct-2015,02:45,01-Oct-2015,03:00,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.12,,35.3,64.86,183.34,30.89,,316.31,0.1,1534.55,,,,16.47,9.62,18.79,14.67,12.66
01-Oct-2015,03:00,01-Oct-2015,03:15,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.67,,41.97,64.4,183.86,31.03,,293.23,0.08,1532.05,,,,17.01,11.44,20.41,17.51,12.4
01-Oct-2015,03:15,01-Oct-2015,03:30,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.7,,51.13,64.87,183.9,31.04,,284.54,0.11,1254.23,,,,17.36,13.93,22.44,13.72,13.12
01-Oct-2015,03:30,01-Oct-2015,03:45,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.79,,47.57,64.76,183.98,31.06,,241.92,0.17,1249.31,,,,17.65,12.96,21.86,17.57,13.3
01-Oct-2015,03:45,01-Oct-2015,04:00,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.78,,42.12,63.67,183.97,31.06,,212.13,0.22,1184.77,,,,17.5,11.48,20.68,17.44,13.29
01-Oct-2015,04:00,01-Oct-2015,04:15,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.57,,39.08,63.18,183.77,31.0,,226.33,0.23,1282.88,,,,17.13,10.65,19.89,17.52,11.81
01-Oct-2015,04:15,01-Oct-2015,04:30,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.78,,36.82,62.61,183.96,31.05,,299.36,0.1,1229.29,,,,16.94,10.03,19.33,18.37,0.41
01-Oct-2015,04:30,01-Oct-2015,04:45,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.59,,40.74,64.63,183.79,31.01,,313.21,0.08,1313.67,,,,17.13,11.1,20.22,26.61,15.15
01-Oct-2015,04:45,01-Oct-2015,05:00,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,994.69,,54.28,65.98,183.88,31.03,,316.08,0.09,1428.41,,,,17.51,14.79,23.16,21.8,14.02
01-Oct-2015,05:00,01-Oct-2015,05:15,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,995.26,,52.56,65.37,184.42,31.17,,313.33,0.1,1348.62,,,,17.77,14.32,22.94,14.83,13.71
01-Oct-2015,05:15,01-Oct-2015,05:30,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",,995.38,,34.09,64.69,184.54,31.21,,302.44,0.11,1240.71,,,,16.79,9.29,18.7,15.37,13.59
