﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Nov-2015,00:00,01-Nov-2015,00:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",20.94,745.96,,176.0,66.94,13.56,20.94,28.01,243.44,0.27,1.98,6.75,,,43.65,84.19,127.84,6.5,1.58
01-Nov-2015,00:15,01-Nov-2015,00:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",20.93,745.96,,176.0,68.48,14.04,20.93,24.51,243.48,0.27,2.43,6.24,,,37.95,82.56,120.52,5.27,4.86
01-Nov-2015,00:30,01-Nov-2015,00:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",20.82,745.94,,234.67,69.36,15.15,20.82,22.8,243.56,0.27,2.46,6.36,,,34.72,82.84,117.57,5.62,6.91
01-Nov-2015,00:45,01-Nov-2015,01:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",20.62,745.91,,176.0,69.88,15.76,20.62,30.98,243.61,0.27,2.14,7.46,,,36.87,78.02,114.89,6.07,8.13
01-Nov-2015,01:00,01-Nov-2015,01:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",20.4,745.89,,176.0,70.7,16.0,20.4,35.62,243.67,0.27,1.93,7.91,,,35.8,59.24,95.05,6.22,7.93
01-Nov-2015,01:15,01-Nov-2015,01:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",20.25,745.87,,176.0,71.34,16.19,20.25,30.37,243.67,0.27,1.88,7.41,,,35.07,59.22,94.29,6.3,7.98
01-Nov-2015,01:30,01-Nov-2015,01:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",20.07,745.85,,176.0,71.81,16.1,20.07,30.14,243.62,0.27,1.6,6.94,,,33.89,45.9,79.79,6.69,7.28
01-Nov-2015,01:45,01-Nov-2015,02:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",20.03,745.85,,176.0,72.35,16.13,20.03,30.01,243.68,0.27,1.64,6.95,,,31.81,43.87,75.68,6.18,6.56
01-Nov-2015,02:00,01-Nov-2015,02:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",19.86,745.83,,169.0,71.69,16.1,19.86,30.02,243.63,0.27,1.24,6.61,,,35.95,44.07,80.02,6.59,6.4
01-Nov-2015,02:15,01-Nov-2015,02:30,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",19.81,745.83,,169.0,71.37,16.12,19.81,33.1,243.67,0.27,1.25,6.58,,,34.68,34.66,69.34,6.96,6.68
01-Nov-2015,02:30,01-Nov-2015,02:45,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",19.59,745.81,,169.0,70.73,16.07,19.59,24.24,243.63,0.27,1.14,5.56,,,36.04,28.27,64.31,6.89,6.01
01-Nov-2015,02:45,01-Nov-2015,03:00,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",19.41,745.79,,169.0,71.38,16.06,19.41,25.89,243.61,0.27,0.97,5.66,,,34.76,33.44,68.2,7.29,6.29
01-Nov-2015,03:00,01-Nov-2015,03:15,Uttar Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",19.48,745.8,,136.0,71.25,15.9,19.48,23.15,243.58,0.27,0.94,5.22,,,33.47,32.14,65.61,7.23,5.89
