From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2015,00:00,01-Dec-2015,00:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.04,191.21,,,20.39,98.68,42.15,1004.1,,,,144.13,14.1,57.88,42.75,391.3,,,,,,,,455.0,,,699.28,51.01,4.54,,,,,,,,,,
01-Dec-2015,00:15,01-Dec-2015,00:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.09,193.04,,,20.32,98.68,42.15,1004.1,,,,145.9,13.95,45.86,36.35,454.1,,,,,,,,494.93,,,760.72,50.33,5.71,,,,,,,,,,
01-Dec-2015,00:30,01-Dec-2015,00:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.08,196.06,,,20.19,98.68,42.15,1004.1,,,,145.9,13.68,44.88,35.62,267.4,,,,,,,,439.39,,,706.05,48.65,6.85,,,,,,,,,,
01-Dec-2015,00:45,01-Dec-2015,01:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.11,194.83,,,20.02,98.68,42.15,1004.0,,,,145.9,12.78,42.85,33.83,243.8,,,,,,,,412.52,,,678.38,48.81,7.17,,,,,,,,,,
01-Dec-2015,01:00,01-Dec-2015,01:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.1,193.04,,,19.9,98.68,42.15,1004.0,,,,135.27,12.85,41.39,33.13,243.0,,,,,,,,388.47,,,655.06,48.15,5.45,,,,,,,,,,
01-Dec-2015,01:15,01-Dec-2015,01:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.12,193.04,,,19.81,98.68,42.15,1003.9,,,,120.04,13.84,40.99,33.71,243.0,,,,,,,,357.98,,,623.64,48.61,5.54,,,,,,,,,,
01-Dec-2015,01:30,01-Dec-2015,01:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.1,203.01,,,19.65,98.68,42.15,1003.8,,,,120.04,14.63,42.94,35.36,243.0,,,,,,,,344.25,,,614.73,47.02,5.32,,,,,,,,,,
01-Dec-2015,01:45,01-Dec-2015,02:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.06,201.58,,,19.38,98.68,42.15,1003.6,,,,120.04,12.65,39.15,31.8,243.0,,,,,,,,349.47,,,618.08,48.29,6.83,,,,,,,,,,
01-Dec-2015,02:00,01-Dec-2015,02:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.05,208.8,,,19.21,98.68,42.15,1003.6,,,,112.06,12.44,37.48,30.75,640.5,,,,,,,,351.28,,,621.22,44.94,6.09,,,,,,,,,,
01-Dec-2015,02:15,01-Dec-2015,02:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.08,209.88,,,19.03,98.68,42.15,1003.8,,,,100.63,12.5,37.69,30.91,681.1,,,,,,,,345.92,,,616.6,42.51,5.79,,,,,,,,,,
01-Dec-2015,02:30,01-Dec-2015,02:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.1,200.75,,,18.97,98.68,42.15,1004.0,,,,100.63,13.7,37.63,31.84,737.8,,,,,,,,352.35,,,623.7,44.03,6.0,,,,,,,,,,
01-Dec-2015,02:45,01-Dec-2015,03:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.07,189.74,,,18.95,98.68,42.15,1004.1,,,,100.63,13.52,39.75,32.81,743.5,,,,,,,,329.31,,,595.7,43.65,8.36,,,,,,,,,,
01-Dec-2015,03:00,01-Dec-2015,03:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.01,217.13,,,18.79,98.68,42.15,1004.1,,,,104.22,13.45,37.9,31.78,649.6,,,,,,,,308.47,,,580.15,43.25,5.53,,,,,,,,,,
01-Dec-2015,03:15,01-Dec-2015,03:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.06,228.99,,,18.41,98.68,42.15,1003.7,,,,109.37,14.15,34.83,30.74,705.8,,,,,,,,304.18,,,573.12,43.14,6.33,,,,,,,,,,
01-Dec-2015,03:30,01-Dec-2015,03:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.11,209.67,,,18.36,98.68,42.15,1003.7,,,,109.37,12.19,35.57,29.56,690.3,,,,,,,,293.73,,,566.89,41.92,5.31,,,,,,,,,,
01-Dec-2015,03:45,01-Dec-2015,04:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.1,201.51,,,18.45,98.68,42.15,1003.8,,,,109.37,14.24,34.81,30.8,616.0,,,,,,,,297.08,,,566.82,44.97,4.76,,,,,,,,,,
01-Dec-2015,04:00,01-Dec-2015,04:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.09,209.16,,,18.46,98.68,42.15,1003.8,,,,107.15,14.75,36.1,31.88,682.0,,,,,,,,279.59,,,548.86,44.76,4.57,,,,,,,,,,
01-Dec-2015,04:15,01-Dec-2015,04:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.13,203.4,,,18.41,98.68,42.15,1003.7,,,,103.97,14.29,35.82,31.37,712.5,,,,,,,,258.08,,,524.81,45.95,5.12,,,,,,,,,,
01-Dec-2015,04:30,01-Dec-2015,04:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.1,208.31,,,18.27,98.68,42.15,1003.5,,,,103.97,12.69,34.55,29.42,698.6,,,,,,,,245.96,,,518.31,46.4,5.37,,,,,,,,,,
01-Dec-2015,04:45,01-Dec-2015,05:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.09,198.67,,,18.18,98.68,42.15,1003.3,,,,103.97,13.21,37.08,31.16,699.9,,,,,,,,262.24,,,535.0,47.73,5.2,,,,,,,,,,
01-Dec-2015,05:00,01-Dec-2015,05:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.08,201.64,,,18.16,98.68,42.15,1003.5,,,,104.0,14.33,38.76,32.94,754.8,,,,,,,,282.74,,,555.16,48.54,4.3,,,,,,,,,,
01-Dec-2015,05:15,01-Dec-2015,05:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.08,202.89,,,18.16,98.68,42.15,1003.8,,,,104.04,13.28,39.72,32.59,807.5,,,,,,,,309.41,,,583.97,47.86,4.92,,,,,,,,,,
01-Dec-2015,05:30,01-Dec-2015,05:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.07,209.43,,,18.05,98.68,42.15,1003.8,,,,104.04,13.75,38.63,32.4,876.2,,,,,,,,304.92,,,569.5,50.35,5.62,,,,,,,,,,
01-Dec-2015,05:45,01-Dec-2015,06:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.09,210.73,,,17.9,98.68,42.15,1003.7,,,,104.04,14.72,39.27,33.51,834.0,,,,,,,,295.4,,,571.78,48.67,5.67,,,,,,,,,,
01-Dec-2015,06:00,01-Dec-2015,06:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.06,226.88,,,17.78,98.68,42.15,1003.7,,,,107.3,17.38,43.59,37.9,637.3,,,,,,,,499.89,,,794.62,48.54,4.64,,,,,,,,,,
01-Dec-2015,06:15,01-Dec-2015,06:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.07,221.79,,,17.68,98.68,42.15,1003.2,,,,111.96,17.24,41.8,36.86,840.0,,,,,,,,524.61,,,800.38,51.2,4.69,,,,,,,,,,
01-Dec-2015,06:30,01-Dec-2015,06:45,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.08,223.25,,,17.67,98.68,42.39,1004.0,,,,111.96,16.58,43.56,37.25,858.7,,,,,,,,495.13,,,775.86,49.19,4.82,,,,,,,,,,
01-Dec-2015,06:45,01-Dec-2015,07:00,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.08,220.62,,,17.66,98.68,42.97,1004.1,,,,111.96,18.76,42.45,38.41,894.5,,,,,,,,489.7,,,774.92,48.97,5.46,,,,,,,,,,
01-Dec-2015,07:00,01-Dec-2015,07:15,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.09,210.4,,,17.81,98.68,44.42,1004.2,,,,113.28,24.14,48.98,46.13,968.0,,,,,,,,530.37,,,822.96,48.89,4.38,,,,,,,,,,
01-Dec-2015,07:15,01-Dec-2015,07:30,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",1.09,218.55,,,17.93,98.68,47.24,1004.2,,,,115.18,21.49,49.23,44.14,962.2,,,,,,,,586.18,,,864.84,54.8,5.27,,,,,,,,,,
