﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jan-2016,00:00,01-Jan-2016,00:15,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.39,51.0,,22.23,,27.11,,2.04,0.27,2.02,,,,39.57,8.3,47.87,52.5,16.78
01-Jan-2016,00:15,01-Jan-2016,00:30,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.37,46.87,,22.84,,26.7,,31.09,0.34,1.99,,,,39.38,7.88,47.24,52.77,18.47
01-Jan-2016,00:30,01-Jan-2016,00:45,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.38,54.81,,23.69,,26.35,,357.06,0.2,1.91,,,,39.14,7.21,46.35,52.62,18.0
01-Jan-2016,00:45,01-Jan-2016,01:00,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.27,68.8,6.88,24.63,,26.13,,12.06,0.2,1.87,,,,38.68,6.86,45.52,53.05,17.79
01-Jan-2016,01:00,01-Jan-2016,01:15,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.14,75.24,17.98,25.58,,25.72,,336.23,0.22,1.77,,,,38.63,6.32,44.95,52.78,18.38
01-Jan-2016,01:15,01-Jan-2016,01:30,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.11,73.71,13.17,26.12,,25.28,,338.57,0.26,1.78,,,,38.2,6.13,44.32,53.25,17.66
01-Jan-2016,01:30,01-Jan-2016,01:45,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.05,70.15,9.78,26.99,,25.08,,345.81,0.18,1.79,,,,37.58,5.59,43.16,53.73,19.13
01-Jan-2016,01:45,01-Jan-2016,02:00,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.03,62.5,9.16,28.09,,24.55,,314.15,0.22,1.76,,,,38.0,5.33,43.34,52.17,17.79
01-Jan-2016,02:00,01-Jan-2016,02:15,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.82,57.52,16.81,28.79,,24.38,,329.11,0.24,1.8,,,,37.83,5.39,43.2,52.01,19.02
01-Jan-2016,02:15,01-Jan-2016,02:30,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.51,56.48,22.57,29.59,,24.08,,308.59,0.21,1.81,,,,37.64,4.98,42.62,52.57,18.69
01-Jan-2016,02:30,01-Jan-2016,02:45,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.33,65.02,18.18,31.08,,23.95,,316.36,0.19,1.74,,,,37.55,4.89,42.45,52.5,17.24
01-Jan-2016,02:45,01-Jan-2016,03:00,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.43,62.8,6.81,31.93,,24.07,,342.32,0.26,1.72,,,,37.45,4.59,42.06,53.71,16.84
01-Jan-2016,03:00,01-Jan-2016,03:15,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.44,66.27,3.61,32.81,,23.63,,300.08,0.19,1.72,,,,37.21,4.38,41.56,52.38,17.23
01-Jan-2016,03:15,01-Jan-2016,03:30,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.43,68.53,6.9,33.8,,23.19,,306.48,0.2,1.72,,,,36.84,4.14,40.97,52.69,17.34
01-Jan-2016,03:30,01-Jan-2016,03:45,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.39,65.09,15.06,34.65,,22.75,,299.27,0.2,1.71,,,,36.95,3.95,40.9,52.3,19.07
01-Jan-2016,03:45,01-Jan-2016,04:00,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.39,60.82,14.15,35.99,,22.23,,296.78,0.2,1.66,,,,36.66,3.66,40.33,51.59,17.74
01-Jan-2016,04:00,01-Jan-2016,04:15,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.47,67.9,13.4,37.15,,22.3,,298.25,0.21,1.63,,,,36.76,3.53,40.28,52.27,18.44
01-Jan-2016,04:15,01-Jan-2016,04:30,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.7,78.93,11.49,38.51,,22.07,,299.78,0.2,1.57,,,,37.39,3.56,40.95,51.76,18.74
01-Jan-2016,04:30,01-Jan-2016,04:45,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.7,75.88,15.74,40.56,,21.16,,295.97,0.2,1.57,,,,37.93,3.88,41.82,51.34,19.19
01-Jan-2016,04:45,01-Jan-2016,05:00,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.73,70.8,24.57,41.51,,20.89,,295.07,0.2,1.56,,,,38.62,5.81,44.43,51.31,18.4
01-Jan-2016,05:00,01-Jan-2016,05:15,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,964.79,75.59,33.75,42.48,,20.73,,295.07,0.2,1.57,,,,38.5,5.17,43.67,51.29,19.35
01-Jan-2016,05:15,01-Jan-2016,05:30,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.08,85.4,38.36,44.57,,20.29,,295.27,0.2,1.52,,,,38.23,4.82,43.06,51.04,17.23
01-Jan-2016,05:30,01-Jan-2016,05:45,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.32,90.94,36.38,45.85,,20.15,,295.13,0.2,1.52,,,,38.52,4.54,43.06,51.46,17.81
01-Jan-2016,05:45,01-Jan-2016,06:00,Maharashtra,Solapur,"Solapur, Solapur - MPCB",,965.61,86.92,24.53,46.3,,20.14,,295.2,0.2,1.51,,,,39.08,6.98,46.05,51.21,18.67
