From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Mar-2016,00:00,01-Mar-2016,00:15,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,131.0,,,,70.5,,,,,110.32,50.75,,,57.27,1.89,,,,,,,,,,,,,45.38,26.5,,,,,,,,,
01-Mar-2016,00:15,01-Mar-2016,00:30,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,131.0,,,,70.5,,,,,108.63,49.76,,,57.04,1.83,,,,,,,,,,,,,45.3,26.5,,,,,,,,,
01-Mar-2016,00:30,01-Mar-2016,00:45,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,128.53,,,,71.1,,,,,107.08,49.53,,,57.39,1.74,,,,,,,,,,,,,45.25,26.25,,,,,,,,,
01-Mar-2016,00:45,01-Mar-2016,01:00,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,124.0,,,,72.2,,,,,107.14,49.2,,,59.07,1.76,,,,,,,,,,,,,45.28,25.8,,,,,,,,,
01-Mar-2016,01:00,01-Mar-2016,01:15,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,124.0,,,,72.2,,,,,106.35,49.88,,,61.05,2.04,,,,,,,,,,,,,45.56,25.8,,,,,,,,,
01-Mar-2016,01:15,01-Mar-2016,01:30,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,124.0,,,,72.2,,,,,106.93,49.92,,,62.06,1.83,,,,,,,,,,,,,45.35,25.8,,,,,,,,,
01-Mar-2016,01:30,01-Mar-2016,01:45,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,122.23,,,,71.67,,,,,107.06,49.28,,,62.24,1.96,,,,,,,,,,,,,45.47,25.73,,,,,,,,,
01-Mar-2016,01:45,01-Mar-2016,02:00,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,119.0,,,,70.7,,,,,106.48,49.68,,,62.88,2.09,,,,,,,,,,,,,45.58,25.6,,,,,,,,,
01-Mar-2016,02:00,01-Mar-2016,02:15,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,119.0,,,,70.7,,,,,107.05,50.45,,,62.91,1.8,,,,,,,,,,,,,45.32,25.6,,,,,,,,,
01-Mar-2016,02:15,01-Mar-2016,02:30,Maharashtra,Mumbai,"Airoli, Navi Mumbai - MPCB",0.15,119.0,,,,70.7,,,,,107.1,51.59,,,63.29,2.22,,,,,,,,,,,,,45.73,25.6,,,,,,,,,
