﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Apr-2016,00:00,01-Apr-2016,00:15,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,150.15,,5.35,40.86,29.93,0.18,,,,,,,,,,,,,15.78,,,,,,,,,,
01-Apr-2016,00:15,01-Apr-2016,00:30,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,150.15,,6.31,41.07,30.76,0.33,,,,,,,,,,,,,11.97,,,,,,,,,,
01-Apr-2016,00:30,01-Apr-2016,00:45,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,150.15,,6.25,40.93,30.64,0.4,,,,,,,,,,,,,11.33,,,,,,,,,,
01-Apr-2016,00:45,01-Apr-2016,01:00,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,141.96,,5.55,40.25,29.78,0.32,,,,,,,,,,,,,9.91,,,,,,,,,,
01-Apr-2016,01:00,01-Apr-2016,01:15,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,127.13,,7.07,39.63,30.62,0.15,,,,,,,,,,,,,5.69,,,,,,,,,,
01-Apr-2016,01:15,01-Apr-2016,01:30,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,127.13,,6.43,39.51,30.08,0.2,,,,,,,,,,,,,6.01,,,,,,,,,,
01-Apr-2016,01:30,01-Apr-2016,01:45,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,127.13,,5.61,40.05,29.6,0.13,,,,,,,,,,,,,9.4,,,,,,,,,,
01-Apr-2016,01:45,01-Apr-2016,02:00,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,121.43,,6.39,40.25,30.41,0.25,,,,,,,,,,,,,8.79,,,,,,,,,,
01-Apr-2016,02:00,01-Apr-2016,02:15,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,110.59,,6.87,40.03,30.67,0.47,,,,,,,,,,,,,9.21,,,,,,,,,,
01-Apr-2016,02:15,01-Apr-2016,02:30,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,110.59,,6.1,39.78,29.97,0.61,,,,,,,,,,,,,9.17,,,,,,,,,,
01-Apr-2016,02:30,01-Apr-2016,02:45,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,110.59,,5.78,40.58,30.12,0.56,,,,,,,,,,,,,8.24,,,,,,,,,,
01-Apr-2016,02:45,01-Apr-2016,03:00,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,100.69,,5.94,40.87,30.38,0.26,,,,,,,,,,,,,9.3,,,,,,,,,,
01-Apr-2016,03:00,01-Apr-2016,03:15,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,82.75,,5.23,40.58,29.71,0.09,,,,,,,,,,,,,7.78,,,,,,,,,,
01-Apr-2016,03:15,01-Apr-2016,03:30,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,82.75,,7.03,40.95,31.23,0.29,,,,,,,,,,,,,8.9,,,,,,,,,,
01-Apr-2016,03:30,01-Apr-2016,03:45,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,82.75,,7.33,40.09,31.03,0.53,,,,,,,,,,,,,7.73,,,,,,,,,,
01-Apr-2016,03:45,01-Apr-2016,04:00,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,74.65,,5.17,37.68,27.85,0.79,,,,,,,,,,,,,4.31,,,,,,,,,,
01-Apr-2016,04:00,01-Apr-2016,04:15,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,59.24,,5.23,40.62,29.73,0.96,,,,,,,,,,,,,1.14,,,,,,,,,,
01-Apr-2016,04:15,01-Apr-2016,04:30,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,59.24,,5.39,40.47,29.77,0.95,,,,,,,,,,,,,1.18,,,,,,,,,,
01-Apr-2016,04:30,01-Apr-2016,04:45,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,,,,,,,,,59.24,,5.99,40.88,30.42,0.78,,,,,,,,,,,,,4.28,,,,,,,,,,
