﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jun-2016,00:00,01-Jun-2016,00:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",,946.23,10.55,5.89,64.01,0.01,26.93,0.4,17.13,2.06,2.13,0.02,,,43.4,34.22,77.62,18.5,25.53
01-Jun-2016,00:15,01-Jun-2016,00:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",,946.04,8.95,5.0,64.5,0.01,26.77,0.37,17.38,1.98,2.12,0.02,,,44.27,35.07,79.34,18.95,26.04
01-Jun-2016,00:30,01-Jun-2016,00:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",,945.92,8.95,5.0,65.2,0.02,26.65,0.36,16.53,1.84,2.1,0.03,,,46.35,35.63,81.97,19.26,27.26
01-Jun-2016,00:45,01-Jun-2016,01:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",,,,,,,,,,,,,,,,,,,
01-Jun-2016,01:00,01-Jun-2016,01:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",,945.66,8.95,5.0,66.46,0.02,26.5,0.36,16.99,1.69,2.12,0.03,,,42.9,35.36,78.27,19.12,25.24
01-Jun-2016,01:15,01-Jun-2016,01:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",,945.52,8.95,5.0,67.43,0.04,26.3,0.35,17.27,1.17,2.13,0.03,,,43.94,36.67,80.61,19.82,25.85
01-Jun-2016,01:30,01-Jun-2016,01:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",,945.43,8.95,5.0,67.66,0.03,26.27,0.3,16.91,1.42,2.12,0.02,,,43.37,35.59,78.95,19.24,25.51
01-Jun-2016,01:45,01-Jun-2016,02:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",,,,,,,,,,,,,,,,,,,
01-Jun-2016,02:00,01-Jun-2016,02:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",,945.29,8.95,5.0,68.0,0.01,26.27,0.28,17.08,1.44,2.09,0.02,,,44.98,37.25,82.23,20.14,26.46
01-Jun-2016,02:15,01-Jun-2016,02:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",,945.2,8.95,5.0,69.04,,26.17,0.3,16.32,2.03,2.11,0.01,,,44.71,37.78,82.48,20.42,26.3
01-Jun-2016,02:30,01-Jun-2016,02:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",,945.02,8.95,5.0,68.65,,26.14,0.31,17.08,1.74,2.12,0.01,,,44.37,36.93,81.3,19.96,26.1
01-Jun-2016,02:45,01-Jun-2016,03:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",,,,,,,,,,,,,,,,,,,
01-Jun-2016,03:00,01-Jun-2016,03:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",,944.97,7.93,4.43,68.07,,26.03,0.29,17.41,1.55,2.11,0.02,,,45.65,36.55,82.2,19.75,26.85
01-Jun-2016,03:15,01-Jun-2016,03:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",,944.87,,,67.71,,25.95,0.28,17.55,1.35,2.07,0.02,,,45.64,36.5,82.14,19.73,26.85
01-Jun-2016,03:30,01-Jun-2016,03:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",,944.81,,,67.25,0.01,25.87,0.25,17.3,1.16,2.09,0.02,,,44.39,35.13,79.52,18.99,26.11
01-Jun-2016,03:45,01-Jun-2016,04:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",,,,,,,,,,,,,,,,,,,
01-Jun-2016,04:00,01-Jun-2016,04:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",,944.81,,,67.17,0.01,25.82,0.23,16.83,1.0,2.1,0.02,,,45.33,36.12,81.45,19.52,26.67
01-Jun-2016,04:15,01-Jun-2016,04:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",,944.98,,,67.35,0.01,25.74,0.23,17.2,1.01,2.09,0.02,,,45.01,35.4,80.41,19.13,26.48
01-Jun-2016,04:30,01-Jun-2016,04:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",,945.3,,,67.54,0.01,25.77,0.17,16.84,1.38,2.07,0.02,,,44.9,35.48,80.38,19.18,26.41
