﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Aug-2016,00:00,01-Aug-2016,00:15,Bihar,Gaya,"Collectorate, Gaya - BSPCB",32.08,745.24,,17.0,84.18,7.64,32.08,0.09,51.64,0.52,0.6,0.28,,,42.42,3.14,45.55,38.33,2.13
01-Aug-2016,00:15,01-Aug-2016,00:30,Bihar,Gaya,"Collectorate, Gaya - BSPCB",32.06,745.24,,17.0,84.11,7.64,32.06,0.08,63.87,0.31,0.5,0.31,,,42.0,3.47,45.47,-10.52,1.89
01-Aug-2016,00:30,01-Aug-2016,00:45,Bihar,Gaya,"Collectorate, Gaya - BSPCB",32.06,745.21,,17.0,84.26,7.63,32.06,0.06,67.71,0.49,0.58,0.29,,,43.03,2.48,45.51,11.63,1.77
01-Aug-2016,00:45,01-Aug-2016,01:00,Bihar,Gaya,"Collectorate, Gaya - BSPCB",32.03,745.21,,17.0,84.35,7.6,32.03,0.58,52.13,0.27,0.83,0.3,,,42.84,2.63,45.48,52.29,1.78
01-Aug-2016,01:00,01-Aug-2016,01:15,Bihar,Gaya,"Collectorate, Gaya - BSPCB",31.99,745.19,,19.0,84.66,7.61,31.99,0.25,59.09,0.57,0.57,0.31,,,41.23,4.56,45.79,39.53,1.67
01-Aug-2016,01:15,01-Aug-2016,01:30,Bihar,Gaya,"Collectorate, Gaya - BSPCB",31.98,745.19,,19.0,84.81,7.64,31.98,0.07,78.14,0.64,0.44,0.3,,,41.18,2.39,43.57,11.74,1.51
01-Aug-2016,01:30,01-Aug-2016,01:45,Bihar,Gaya,"Collectorate, Gaya - BSPCB",31.96,745.18,,19.0,84.86,7.54,31.96,0.48,89.04,0.27,0.71,0.29,,,41.87,3.04,44.91,-14.81,1.51
01-Aug-2016,01:45,01-Aug-2016,02:00,Bihar,Gaya,"Collectorate, Gaya - BSPCB",31.93,745.16,,19.0,85.07,7.62,31.93,0.55,89.05,0.28,0.77,0.29,,,43.06,2.83,45.89,-58.64,1.44
01-Aug-2016,02:00,01-Aug-2016,02:15,Bihar,Gaya,"Collectorate, Gaya - BSPCB",31.75,745.13,,19.0,85.11,7.61,31.75,0.21,81.0,0.3,0.8,0.31,,,42.92,4.01,46.92,-37.49,1.41
01-Aug-2016,02:15,01-Aug-2016,02:30,Bihar,Gaya,"Collectorate, Gaya - BSPCB",31.62,745.13,,19.0,85.29,7.58,31.62,0.24,76.88,0.3,0.87,0.32,,,39.85,6.09,45.94,-17.21,1.17
