From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2016,00:00,01-Aug-2016,00:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,24.15,,,,10.76,,4.55,23.09,27.64,0.87,,15.88,,,,,,,,,,,16.27,,,,,,,,,,
01-Aug-2016,00:15,01-Aug-2016,00:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,26.82,,,,10.71,,4.76,30.42,35.18,0.91,,11.93,,,,,,,,,,,60.31,,,,,,,,,,
01-Aug-2016,00:30,01-Aug-2016,00:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,27.77,,,,10.57,,10.59,64.19,74.78,0.85,,8.04,,,,,,,,,,,156.41,,,,,,,,,,
01-Aug-2016,00:45,01-Aug-2016,01:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,24.9,,,,12.19,,12.4,82.16,94.56,0.94,,7.62,,,,,,,,,,,135.67,,,,,,,,,,
01-Aug-2016,01:00,01-Aug-2016,01:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,25.16,,,,11.87,,5.13,82.32,87.45,0.85,,8.66,,,,,,,,,,,143.63,,,,,,,,,,
01-Aug-2016,01:15,01-Aug-2016,01:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,25.41,,,,11.95,,3.61,73.75,77.37,0.95,,9.32,,,,,,,,,,,122.05,,,,,,,,,,
01-Aug-2016,01:30,01-Aug-2016,01:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,23.82,,,,11.78,,6.8,70.08,76.88,0.99,,9.16,,,,,,,,,,,90.35,,,,,,,,,,
01-Aug-2016,01:45,01-Aug-2016,02:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,23.21,,,,40.05,,3.7,58.03,61.73,0.94,,10.27,,,,,,,,,,,57.55,,,,,,,,,,
01-Aug-2016,02:00,01-Aug-2016,02:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,24.51,,,,39.95,,3.94,55.3,59.24,0.94,,9.07,,,,,,,,,,,71.15,,,,,,,,,,
01-Aug-2016,02:15,01-Aug-2016,02:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,24.33,,,,39.99,,4.3,55.1,59.39,0.95,,9.06,,,,,,,,,,,69.05,,,,,,,,,,
01-Aug-2016,02:30,01-Aug-2016,02:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,23.65,,,,39.97,,4.06,52.04,56.1,1.09,,9.4,,,,,,,,,,,51.95,,,,,,,,,,
01-Aug-2016,02:45,01-Aug-2016,03:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,23.09,,,,21.75,,1.45,49.59,51.04,0.91,,9.5,,,,,,,,,,,41.19,,,,,,,,,,
01-Aug-2016,03:00,01-Aug-2016,03:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,22.4,,,,21.79,,3.0,48.87,51.88,1.08,,9.53,,,,,,,,,,,35.22,,,,,,,,,,
01-Aug-2016,03:15,01-Aug-2016,03:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,22.07,,,,21.94,,2.71,48.76,51.47,0.94,,9.4,,,,,,,,,,,31.23,,,,,,,,,,
01-Aug-2016,03:30,01-Aug-2016,03:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,21.36,,,,21.6,,1.73,45.79,47.52,0.84,,10.19,,,,,,,,,,,27.44,,,,,,,,,,
01-Aug-2016,03:45,01-Aug-2016,04:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.83,,,,39.17,,1.92,37.84,39.76,1.01,,11.81,,,,,,,,,,,22.93,,,,,,,,,,
01-Aug-2016,04:00,01-Aug-2016,04:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-2016,04:15,01-Aug-2016,04:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.95,,,,39.2,,2.34,30.48,32.82,0.82,,12.31,,,,,,,,,,,23.42,,,,,,,,,,
01-Aug-2016,04:30,01-Aug-2016,04:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.56,,,,39.5,,2.67,25.16,27.83,0.97,,13.37,,,,,,,,,,,21.73,,,,,,,,,,
01-Aug-2016,04:45,01-Aug-2016,05:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,21.34,,,,33.67,,1.83,19.5,21.33,0.79,,14.6,,,,,,,,,,,19.53,,,,,,,,,,
01-Aug-2016,05:00,01-Aug-2016,05:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,21.72,,,,33.65,,3.02,15.92,18.94,1.02,,13.94,,,,,,,,,,,19.93,,,,,,,,,,
01-Aug-2016,05:15,01-Aug-2016,05:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,25.36,,,,33.76,,2.87,17.03,19.91,0.84,,13.7,,,,,,,,,,,20.25,,,,,,,,,,
01-Aug-2016,05:30,01-Aug-2016,05:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,34.91,,,,33.51,,2.71,14.96,17.67,0.96,,14.78,,,,,,,,,,,19.58,,,,,,,,,,
01-Aug-2016,05:45,01-Aug-2016,06:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Aug-2016,06:00,01-Aug-2016,06:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Aug-2016,06:15,01-Aug-2016,06:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,80.72,,,,33.72,,1.16,13.51,14.67,0.99,,21.31,,,,,,,,,,,19.75,,,,,,,,,,
01-Aug-2016,06:30,01-Aug-2016,06:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Aug-2016,06:45,01-Aug-2016,07:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,100.3,,,,26.54,,3.3,9.16,12.46,0.94,,19.92,,,,,,,,,,,18.6,,,,,,,,,,
01-Aug-2016,07:00,01-Aug-2016,07:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,118.64,,,,26.32,,3.95,8.58,12.53,0.99,,20.32,,,,,,,,,,,19.58,,,,,,,,,,
01-Aug-2016,07:15,01-Aug-2016,07:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,130.67,,,,26.19,,2.78,13.69,16.48,0.99,,20.65,,,,,,,,,,,22.43,,,,,,,,,,
01-Aug-2016,07:30,01-Aug-2016,07:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,178.48,,,,26.35,,2.35,14.83,17.19,0.85,,21.84,,,,,,,,,,,20.27,,,,,,,,,,
01-Aug-2016,07:45,01-Aug-2016,08:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,236.61,,,,36.55,,3.56,13.12,16.68,0.92,,21.44,,,,,,,,,,,20.63,,,,,,,,,,
01-Aug-2016,08:00,01-Aug-2016,08:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,239.94,,,,37.01,,8.76,22.93,31.69,0.93,,19.78,,,,,,,,,,,39.02,,,,,,,,,,
01-Aug-2016,08:15,01-Aug-2016,08:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,343.9,,,,37.11,,10.98,25.39,36.37,0.94,,21.07,,,,,,,,,,,43.12,,,,,,,,,,
01-Aug-2016,08:30,01-Aug-2016,08:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,412.0,,,,36.95,,6.41,23.66,30.08,0.9,,23.9,,,,,,,,,,,31.2,,,,,,,,,,
01-Aug-2016,08:45,01-Aug-2016,09:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,441.31,,,,68.19,,4.36,20.61,24.97,1.01,,24.03,,,,,,,,,,,28.39,,,,,,,,,,
01-Aug-2016,09:00,01-Aug-2016,09:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,630.22,,,,68.41,,3.09,15.26,18.35,1.06,,28.7,,,,,,,,,,,21.04,,,,,,,,,,
01-Aug-2016,09:15,01-Aug-2016,09:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,495.7,,,,68.25,,4.1,11.11,15.21,1.11,,29.19,,,,,,,,,,,17.37,,,,,,,,,,
01-Aug-2016,09:30,01-Aug-2016,09:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,461.83,,,,68.41,,2.69,10.86,13.54,0.94,,29.62,,,,,,,,,,,15.55,,,,,,,,,,
01-Aug-2016,09:45,01-Aug-2016,10:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,294.44,,,,37.57,,3.45,8.59,12.04,0.81,,32.56,,,,,,,,,,,14.18,,,,,,,,,,
01-Aug-2016,10:00,01-Aug-2016,10:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,380.41,,,,37.32,,2.88,8.43,11.31,0.78,,32.83,,,,,,,,,,,14.64,,,,,,,,,,
01-Aug-2016,10:15,01-Aug-2016,10:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,388.45,,,,37.07,,2.69,11.53,14.23,0.94,,32.94,,,,,,,,,,,22.1,,,,,,,,,,
01-Aug-2016,10:30,01-Aug-2016,10:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,433.47,,,,37.22,,7.13,29.79,36.92,1.0,,30.51,,,,,,,,,,,44.87,,,,,,,,,,
01-Aug-2016,10:45,01-Aug-2016,11:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,360.08,,,,58.09,,7.19,39.88,47.07,0.94,,33.47,,,,,,,,,,,45.09,,,,,,,,,,
01-Aug-2016,11:00,01-Aug-2016,11:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,555.66,,,,58.27,,5.78,32.63,38.42,0.97,,39.92,,,,,,,,,,,36.64,,,,,,,,,,
01-Aug-2016,11:15,01-Aug-2016,11:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,608.11,,,,58.12,,3.12,25.45,28.57,0.9,,43.12,,,,,,,,,,,32.52,,,,,,,,,,
01-Aug-2016,11:30,01-Aug-2016,11:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,653.66,,,,58.13,,4.04,22.34,26.38,0.95,,46.88,,,,,,,,,,,32.75,,,,,,,,,,
01-Aug-2016,11:45,01-Aug-2016,12:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,496.04,,,,32.22,,4.41,19.75,24.16,1.07,,47.18,,,,,,,,,,,29.3,,,,,,,,,,
01-Aug-2016,12:00,01-Aug-2016,12:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,284.38,,,,31.87,,2.42,18.4,20.81,0.96,,45.48,,,,,,,,,,,20.02,,,,,,,,,,
01-Aug-2016,12:15,01-Aug-2016,12:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,194.66,,,,31.78,,0.8,16.74,17.47,1.14,,45.53,,,,,,,,,,,18.17,,,,,,,,,,
01-Aug-2016,12:30,01-Aug-2016,12:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,206.37,,,,31.59,,2.0,14.89,16.88,1.01,,40.77,,,,,,,,,,,21.35,,,,,,,,,,
01-Aug-2016,12:45,01-Aug-2016,13:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Aug-2016,13:00,01-Aug-2016,13:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,203.72,,,,34.88,,3.3,11.53,14.83,0.98,,39.64,,,,,,,,,,,21.15,,,,,,,,,,
01-Aug-2016,13:15,01-Aug-2016,13:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,181.92,,,,34.99,,2.88,11.82,14.7,0.92,,38.55,,,,,,,,,,,21.85,,,,,,,,,,
01-Aug-2016,13:30,01-Aug-2016,13:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,169.83,,,,35.04,,3.03,13.9,16.94,1.24,,36.56,,,,,,,,,,,21.19,,,,,,,,,,
01-Aug-2016,13:45,01-Aug-2016,14:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,119.31,,,,45.35,,2.58,14.96,17.54,0.98,,29.54,,,,,,,,,,,19.27,,,,,,,,,,
01-Aug-2016,14:00,01-Aug-2016,14:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,167.16,,,,45.41,,4.33,10.6,14.93,0.92,,30.5,,,,,,,,,,,17.74,,,,,,,,,,
01-Aug-2016,14:15,01-Aug-2016,14:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Aug-2016,14:30,01-Aug-2016,14:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,212.78,,,,17.87,,2.81,15.13,17.94,0.67,,31.8,,,,,,,,,,,12.65,,,,,,,,,,
01-Aug-2016,14:45,01-Aug-2016,15:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,238.22,,,,3.25,,4.56,12.91,17.47,0.94,,30.68,,,,,,,,,,,9.06,,,,,,,,,,
01-Aug-2016,15:00,01-Aug-2016,15:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,247.37,,,,3.34,,3.17,13.04,16.21,0.99,,31.28,,,,,,,,,,,14.28,,,,,,,,,,
