From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2016,00:00,01-Aug-2016,00:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,24.9,83.0,5.0,739.0,,,94.0,52.0,81.0,56.1,87.8,2.24,,4.4,,12.3,21.5,,26.7,,,-0.1,,11.1,34.7,,,0.0,,,,,,,
01-Aug-2016,00:15,01-Aug-2016,00:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,24.6,83.0,5.0,739.0,,,94.0,52.0,75.7,51.5,81.6,2.05,,3.6,,12.5,20.4,,24.9,,,-0.1,,15.4,31.7,,,0.0,,,,,,,
01-Aug-2016,00:30,01-Aug-2016,00:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,24.4,83.0,5.0,738.0,,,94.0,52.0,39.2,51.9,54.5,1.77,,5.7,,12.3,17.9,,20.8,,,-0.1,,16.8,29.5,,,0.0,,,,,,,
01-Aug-2016,00:45,01-Aug-2016,01:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,24.5,83.0,5.0,738.0,,,121.0,32.0,14.8,39.2,30.1,1.56,,9.3,,12.3,16.0,,17.8,,,-0.1,,15.4,31.1,,,0.0,,,,,,,
01-Aug-2016,01:00,01-Aug-2016,01:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,24.7,83.0,5.0,738.0,,,121.0,32.0,12.0,40.5,28.7,1.44,,9.9,,11.9,13.3,,13.8,,,-0.1,,12.3,28.6,,,0.0,,,,,,,
01-Aug-2016,01:15,01-Aug-2016,01:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,24.6,83.0,5.0,737.0,,,121.0,32.0,10.4,37.4,26.0,1.33,,7.1,,9.3,13.9,,9.8,,,-0.1,,13.7,27.2,,,0.0,,,,,,,
01-Aug-2016,01:30,01-Aug-2016,01:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,24.6,83.0,5.0,737.0,,,121.0,32.0,9.1,37.5,25.1,1.21,,8.2,,7.9,15.6,,7.4,,,-0.1,,11.6,27.2,,,0.0,,,,,,,
01-Aug-2016,01:45,01-Aug-2016,02:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,24.5,83.0,5.0,737.0,,,75.0,17.0,12.1,41.9,29.4,1.27,,6.6,,6.6,14.3,,6.3,,,-0.1,,11.0,25.9,,,0.0,,,,,,,
01-Aug-2016,02:00,01-Aug-2016,02:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-2016,02:15,01-Aug-2016,02:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,24.5,84.0,5.0,736.0,,,75.0,17.0,12.6,38.1,27.9,1.16,,7.7,,5.1,11.3,,4.7,,,-0.1,,13.3,22.1,,,0.0,,,,,,,
