﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Sep-2016,00:00,01-Sep-2016,00:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,36.3,15.67,97.44,,26.15,56.81,197.34,0.83,0.28,0.63,,,22.6,0.6,,29.7,3.42
01-Sep-2016,00:15,01-Sep-2016,00:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,36.3,15.67,97.58,,26.11,54.75,210.92,1.37,0.27,0.62,,,23.81,0.28,,20.69,4.98
01-Sep-2016,00:30,01-Sep-2016,00:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,39.52,17.32,97.69,,26.07,52.7,228.84,1.72,0.28,0.59,,,25.07,0.72,,18.7,5.68
01-Sep-2016,00:45,01-Sep-2016,01:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,45.64,20.46,97.49,,26.07,57.7,232.72,1.55,0.3,0.61,,,26.11,0.5,,23.31,5.91
01-Sep-2016,01:00,01-Sep-2016,01:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,45.64,20.46,97.35,,26.09,63.99,240.49,1.59,0.36,0.65,,,26.25,0.79,,24.88,5.73
01-Sep-2016,01:15,01-Sep-2016,01:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,45.64,20.46,96.51,,26.13,65.03,234.03,1.56,0.33,0.68,,,26.5,0.11,,27.65,5.12
01-Sep-2016,01:30,01-Sep-2016,01:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,40.74,17.6,96.28,,26.11,63.56,233.62,1.52,0.31,0.76,,,26.32,0.02,,27.93,5.07
01-Sep-2016,01:45,01-Sep-2016,02:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,31.43,12.17,96.93,,26.08,61.5,231.95,1.33,0.31,0.77,,,25.33,1.1,,25.37,5.31
01-Sep-2016,02:00,01-Sep-2016,02:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,31.43,12.17,97.27,,26.02,60.73,228.57,1.79,0.3,0.76,,,26.66,0.63,,25.68,4.57
01-Sep-2016,02:15,01-Sep-2016,02:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,31.43,12.17,97.75,,25.97,60.48,237.07,1.51,0.29,0.77,,,26.3,0.55,,23.66,5.21
01-Sep-2016,02:30,01-Sep-2016,02:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,27.91,12.0,97.95,,25.95,61.71,230.79,1.41,0.29,0.8,,,26.18,0.55,,22.5,4.67
01-Sep-2016,02:45,01-Sep-2016,03:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,,11.69,97.72,,25.94,61.21,,1.62,,0.85,,,25.72,,,,
01-Sep-2016,03:00,01-Sep-2016,03:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,21.2,11.69,97.74,,25.93,60.21,230.39,1.38,0.3,0.9,,,25.12,0.49,,22.2,4.58
01-Sep-2016,03:15,01-Sep-2016,03:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,21.2,11.69,97.95,,25.95,60.22,228.78,1.63,0.27,0.9,,,24.4,1.05,,22.63,4.24
01-Sep-2016,03:30,01-Sep-2016,03:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,19.7,9.84,98.03,,25.98,59.2,219.36,1.13,0.25,0.87,,,24.19,0.54,,20.22,4.53
01-Sep-2016,03:45,01-Sep-2016,04:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,16.84,6.31,98.17,,26.0,58.81,232.63,0.41,0.23,0.83,,,21.47,0.84,,19.57,4.72
01-Sep-2016,04:00,01-Sep-2016,04:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,16.84,6.31,98.08,,26.01,55.44,234.2,0.62,0.28,0.75,,,20.78,0.94,,18.22,4.8
01-Sep-2016,04:15,01-Sep-2016,04:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,16.84,6.31,97.93,,26.05,51.1,225.75,1.1,0.31,0.68,,,21.59,0.88,,18.96,4.06
01-Sep-2016,04:30,01-Sep-2016,04:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,17.62,7.7,97.91,,26.05,50.94,220.76,1.07,0.32,0.65,,,21.91,0.99,,16.52,4.67
01-Sep-2016,04:45,01-Sep-2016,05:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,19.12,10.33,98.16,,26.08,55.24,211.63,0.64,0.28,0.67,,,21.49,0.65,,14.73,4.97
01-Sep-2016,05:00,01-Sep-2016,05:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,19.12,10.33,98.01,,26.09,56.47,199.1,1.05,0.32,0.66,,,20.74,1.09,,15.76,4.69
01-Sep-2016,05:15,01-Sep-2016,05:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,19.12,10.33,98.04,,26.08,53.43,198.31,1.1,0.34,0.67,,,20.18,1.79,,15.13,5.07
01-Sep-2016,05:30,01-Sep-2016,05:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,17.56,11.7,97.84,,26.07,55.16,194.74,1.11,0.33,0.74,,,20.3,1.49,,13.61,4.72
01-Sep-2016,05:45,01-Sep-2016,06:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,14.6,14.31,97.27,,26.09,57.64,218.07,1.16,0.34,0.82,,,21.1,1.18,,13.63,4.33
01-Sep-2016,06:00,01-Sep-2016,06:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,14.6,14.31,97.06,,26.09,58.72,209.59,1.28,0.32,0.84,,,21.33,1.13,,16.47,4.14
01-Sep-2016,06:15,01-Sep-2016,06:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,14.6,14.31,97.02,,26.13,61.25,193.23,1.16,0.3,0.82,,,20.77,0.92,,12.85,4.51
01-Sep-2016,06:30,01-Sep-2016,06:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",,,18.77,12.52,97.13,,26.17,61.55,181.72,1.3,0.3,0.81,,,20.99,0.7,,6.73,3.73
