﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Oct-2016,00:00,01-Oct-2016,00:15,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,126.77,,,,,,,,0.31,,,,11.65,3.18,,,8.46
01-Oct-2016,00:15,01-Oct-2016,00:30,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,105.95,,,,,,,,0.49,,,,12.62,3.89,,,9.77
01-Oct-2016,00:30,01-Oct-2016,00:45,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,86.9,,,,,,,,0.42,,,,11.62,3.24,,,8.87
01-Oct-2016,00:45,01-Oct-2016,01:00,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,86.9,,,,,,,,0.3,,,,10.61,2.44,,,8.56
01-Oct-2016,01:00,01-Oct-2016,01:15,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,86.9,,,,,,,,0.32,,,,8.92,1.56,,,6.62
01-Oct-2016,01:15,01-Oct-2016,01:30,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,86.9,,,,,,,,0.33,,,,8.9,1.71,,,7.5
01-Oct-2016,01:30,01-Oct-2016,01:45,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,86.9,,,,,,,,0.33,,,,10.42,3.1,,,7.63
01-Oct-2016,01:45,01-Oct-2016,02:00,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,86.9,,,,,,,,0.3,,,,10.34,2.92,,,7.26
01-Oct-2016,02:00,01-Oct-2016,02:15,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,86.9,,,,,,,,0.23,,,,8.32,1.91,,,0.87
01-Oct-2016,02:15,01-Oct-2016,02:30,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,,68.27,,,,,,,,0.28,,,,8.49,1.71,,,1.28
