﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Oct-2016,00:00,01-Oct-2016,00:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,00:15,01-Oct-2016,00:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,00:30,01-Oct-2016,00:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,00:45,01-Oct-2016,01:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",21.83,,30.62,,74.55,41.89,,,224.44,1.18,0.28,,,,20.48,7.51,15.38,,3.6
01-Oct-2016,01:00,01-Oct-2016,01:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,01:15,01-Oct-2016,01:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",21.56,,32.32,,75.91,42.07,,,109.25,1.98,0.24,,,,19.09,7.75,14.89,,3.53
01-Oct-2016,01:30,01-Oct-2016,01:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",21.38,,32.32,,76.67,38.8,,,141.89,2.14,0.33,,,,19.0,7.54,14.69,,3.54
01-Oct-2016,01:45,01-Oct-2016,02:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,02:00,01-Oct-2016,02:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",21.12,,31.73,,77.46,40.93,,,339.51,1.51,0.21,,,,19.12,7.68,14.85,,3.63
01-Oct-2016,02:15,01-Oct-2016,02:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,02:30,01-Oct-2016,02:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",20.87,,31.73,,78.11,40.59,,,148.57,2.59,0.24,,,,19.79,8.34,15.67,,3.63
01-Oct-2016,02:45,01-Oct-2016,03:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",20.78,,27.36,,78.58,42.12,,,315.09,1.46,0.19,,,,20.09,8.52,15.95,,3.63
01-Oct-2016,03:00,01-Oct-2016,03:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,03:15,01-Oct-2016,03:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,03:30,01-Oct-2016,03:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,03:45,01-Oct-2016,04:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,04:00,01-Oct-2016,04:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",20.29,,24.08,,80.46,41.03,,,196.75,2.65,0.21,,,,19.43,8.1,15.31,,3.36
01-Oct-2016,04:15,01-Oct-2016,04:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,04:30,01-Oct-2016,04:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,04:45,01-Oct-2016,05:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,05:00,01-Oct-2016,05:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",19.95,,24.84,,82.63,42.61,,,309.66,1.67,0.17,,,,20.11,8.06,15.61,,3.38
