﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Oct-2016,00:00,01-Oct-2016,00:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",2.9,285.0,,,22.1,80.0,2.0,697.0,,,24.0,13.0,5.2,62.2,34.2,0.45,,42.3,,0.1,1.0,,3.1,,,0.01,,20.2,0.1,40.8,,0.0,,,,,,,
01-Oct-2016,00:15,01-Oct-2016,00:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",2.5,267.0,,,22.1,80.0,2.0,696.0,,,24.0,13.0,4.6,70.0,37.5,0.91,,39.6,,0.2,0.9,,2.9,,,-0.1,,25.0,0.0,42.1,,2.5,,,,,,,
01-Oct-2016,00:30,01-Oct-2016,00:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",1.3,278.0,,,22.1,80.0,2.0,696.0,,,24.0,13.0,7.6,73.6,41.5,0.96,,38.2,,0.2,0.9,,1.7,,,-0.1,,31.0,1.1,43.5,,0.0,,,,,,,
01-Oct-2016,00:45,01-Oct-2016,01:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",1.1,265.0,,,22.3,80.0,2.0,696.0,,,3.0,10.0,8.3,77.6,44.0,1.04,,36.9,,0.1,0.8,,0.1,,,-0.1,,34.1,1.7,44.9,,1.0,,,,,,,
01-Oct-2016,01:00,01-Oct-2016,01:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",1.2,268.0,,,22.3,81.0,32.0,711.0,,,3.0,10.0,3.7,81.4,42.4,0.11,,35.4,,0.1,0.8,,1.2,,,-0.1,,35.3,1.7,49.2,,0.0,,,,,,,
01-Oct-2016,01:15,01-Oct-2016,01:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",1.3,272.0,,,22.3,80.0,2.0,695.0,,,3.0,10.0,10.2,72.1,42.7,0.11,,34.3,,0.1,0.8,,3.1,,,-0.1,,40.8,1.5,47.0,,0.0,,,,,,,
01-Oct-2016,01:30,01-Oct-2016,01:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",1.3,267.0,,,22.3,80.0,2.0,695.0,,,3.0,10.0,5.2,72.7,39.3,0.16,,32.4,,0.1,0.7,,3.0,,,-0.1,,45.6,0.9,48.0,,1.5,,,,,,,
01-Oct-2016,01:45,01-Oct-2016,02:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",1.0,262.0,,,22.4,81.0,2.0,695.0,,,16.0,13.0,5.4,75.0,40.6,0.14,,30.6,,0.2,0.7,,2.8,,,-0.1,,46.2,0.1,49.0,,1.0,,,,,,,
01-Oct-2016,02:00,01-Oct-2016,02:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",1.9,281.0,,,22.4,81.0,2.0,694.0,,,16.0,13.0,9.5,77.9,45.0,0.02,,28.8,,0.1,0.7,,2.7,,,-0.1,,48.5,0.1,49.6,,2.0,,,,,,,
01-Oct-2016,02:15,01-Oct-2016,02:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",2.6,272.0,,,22.3,81.0,2.0,694.0,,,16.0,13.0,12.2,70.2,43.3,0.18,,28.4,,0.1,0.7,,2.6,,,0.01,,49.1,0.1,50.3,,3.5,,,,,,,
01-Oct-2016,02:30,01-Oct-2016,02:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",2.2,298.0,,,22.4,81.0,2.0,694.0,,,16.0,13.0,11.1,70.2,42.5,0.02,,24.6,,0.1,0.7,,2.5,,,0.01,,48.9,0.1,51.0,,4.5,,,,,,,
01-Oct-2016,02:45,01-Oct-2016,03:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",1.3,288.0,,,22.4,80.0,2.0,693.0,,,43.0,27.0,10.7,69.0,41.6,0.12,,270.9,,0.1,0.7,,2.5,,,-0.1,,56.8,1.0,51.7,,2.0,,,,,,,
01-Oct-2016,03:00,01-Oct-2016,03:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",1.6,276.0,,,22.3,80.0,950.0,694.0,,,43.0,27.0,8.3,64.0,37.4,0.35,,42.9,,0.1,0.7,,4.2,,,-0.1,,56.7,1.8,52.2,,0.0,,,,,,,
01-Oct-2016,03:15,01-Oct-2016,03:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",0.9,260.0,,,18.6,78.0,78.0,674.0,,,43.0,27.0,9.6,71.0,41.8,0.44,,17.4,,0.1,1.1,,12.0,,,-0.1,,53.3,0.1,1.0,,0.0,,,,,,,
01-Oct-2016,03:30,01-Oct-2016,03:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",0.6,227.0,,,,66.0,1.0,694.0,,,43.0,27.0,13.3,64.9,41.5,0.55,,15.3,,0.1,1.3,,17.1,,,-0.1,,57.1,0.1,,,0.0,,,,,,,
01-Oct-2016,03:45,01-Oct-2016,04:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",2.5,152.0,,,,88.0,4.0,,,,44.0,21.0,13.6,63.7,41.2,0.03,,12.8,,0.1,1.1,,12.4,,,-0.1,,58.1,0.1,,,0.0,,,,,,,
01-Oct-2016,04:00,01-Oct-2016,04:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,44.0,21.0,18.1,66.5,45.9,0.6,,13.0,,0.1,1.0,,9.8,,,,,57.2,0.1,,,0.0,,,,,,,
01-Oct-2016,04:15,01-Oct-2016,04:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,44.0,21.0,13.6,66.5,42.5,0.66,,9.9,,0.1,0.6,,7.7,,,,,59.9,0.1,,,0.0,,,,,,,
01-Oct-2016,04:30,01-Oct-2016,04:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,44.0,21.0,9.0,70.5,41.0,0.69,,10.2,,0.1,0.2,,6.3,,,,,62.4,0.1,,,0.0,,,,,,,
01-Oct-2016,04:45,01-Oct-2016,05:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,24.0,15.0,20.7,57.4,43.4,0.53,,8.8,,0.1,0.3,,4.6,,,,,65.5,0.1,,,0.0,,,,,,,
01-Oct-2016,05:00,01-Oct-2016,05:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,24.0,15.0,13.9,64.4,41.8,1.09,,13.7,,0.1,0.3,,3.1,,,,,62.7,0.1,,,0.0,,,,,,,
01-Oct-2016,05:15,01-Oct-2016,05:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,24.0,15.0,11.4,63.3,39.3,1.26,,13.0,,0.1,0.3,,2.9,,,,,65.4,0.1,,,0.0,,,,,,,
01-Oct-2016,05:30,01-Oct-2016,05:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,05:45,01-Oct-2016,06:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,06:00,01-Oct-2016,06:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,06:15,01-Oct-2016,06:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,06:30,01-Oct-2016,06:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,06:45,01-Oct-2016,07:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,07:00,01-Oct-2016,07:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,07:15,01-Oct-2016,07:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,07:30,01-Oct-2016,07:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,07:45,01-Oct-2016,08:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,08:00,01-Oct-2016,08:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,08:15,01-Oct-2016,08:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,08:30,01-Oct-2016,08:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,08:45,01-Oct-2016,09:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,09:00,01-Oct-2016,09:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,09:15,01-Oct-2016,09:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,09:30,01-Oct-2016,09:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,09:45,01-Oct-2016,10:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,10:00,01-Oct-2016,10:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Oct-2016,10:15,01-Oct-2016,10:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",3.4,298.0,,,27.1,67.0,501.0,696.0,,,,,3.6,16.0,10.5,0.02,,11.8,,0.1,0.8,,2.1,,,0.02,,36.6,4.9,47.3,,0.0,,,,,,,
01-Oct-2016,10:30,01-Oct-2016,10:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",3.3,280.0,,,26.6,69.0,226.0,697.0,,,,,11.5,8.4,12.7,0.3,,52.4,,0.1,0.7,,1.9,,,0.01,,31.3,4.8,47.5,,0.0,,,,,,,
01-Oct-2016,10:45,01-Oct-2016,11:00,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",3.1,270.0,,,26.2,71.0,223.0,697.0,,,9.0,10.0,9.4,13.7,13.7,,,80.8,,0.0,0.9,,1.9,,,-0.1,,19.8,5.5,43.7,,0.0,,,,,,,
01-Oct-2016,11:00,01-Oct-2016,11:15,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",2.1,278.0,,,26.4,70.0,326.0,692.0,,,9.0,10.0,9.3,12.8,13.2,,,43.7,,0.1,0.2,,0.4,,,0.03,,15.7,79.9,38.1,,0.0,,,,,,,
01-Oct-2016,11:15,01-Oct-2016,11:30,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",1.6,290.0,,,26.5,68.0,321.0,682.0,,,9.0,10.0,11.2,16.9,16.6,,,33.9,,0.1,0.3,,0.1,,,0.05,,11.6,10.7,33.0,,0.0,,,,,,,
01-Oct-2016,11:30,01-Oct-2016,11:45,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",2.2,305.0,,,27.0,68.0,297.0,696.0,,,9.0,10.0,10.0,14.4,14.4,,,36.1,,0.1,0.3,,0.1,,,0.01,,11.2,11.0,34.4,,0.0,,,,,,,
