﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2017,00:00,01-Dec-2017,00:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",1.02,21.6,,,,54.79,,,,,115.09,,,,33.19,0.69,,,,,,,,,,,,,20.83,26.25,,,,,,,,,
01-Dec-2017,00:15,01-Dec-2017,00:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.61,21.84,,,,55.93,,,,,103.64,,,,32.66,0.74,,,,,,,,,,,,,20.3,25.94,,,,,,,,,
01-Dec-2017,00:30,01-Dec-2017,00:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.65,25.62,,,,55.81,,,,,100.37,,,,32.4,0.75,,,,,,,,,,,,,20.04,25.79,,,,,,,,,
01-Dec-2017,00:45,01-Dec-2017,01:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.67,20.99,,,,54.57,,,,,94.81,,,,32.91,0.73,,,,,,,,,,,,,20.55,25.84,,,,,,,,,
01-Dec-2017,01:00,01-Dec-2017,01:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.3,9.68,,,,54.16,,,,,94.33,,,,31.79,0.74,,,,,,,,,,,,,19.43,25.96,,,,,,,,,
01-Dec-2017,01:15,01-Dec-2017,01:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.13,6.13,,,,55.17,,,,,84.23,,,,31.89,0.74,,,,,,,,,,,,,19.53,25.73,,,,,,,,,
01-Dec-2017,01:30,01-Dec-2017,01:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.21,332.47,,,,55.93,,,,,82.2,,,,32.02,0.72,,,,,,,,,,,,,19.66,25.74,,,,,,,,,
01-Dec-2017,01:45,01-Dec-2017,02:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.52,354.43,,,,56.96,,,,,87.21,,,,31.53,0.72,,,,,,,,,,,,,19.17,25.6,,,,,,,,,
01-Dec-2017,02:00,01-Dec-2017,02:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.63,17.39,,,,58.11,,,,,88.59,,,,30.92,0.73,,,,,,,,,,,,,18.56,25.32,,,,,,,,,
01-Dec-2017,02:15,01-Dec-2017,02:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,0.0,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2017,02:30,01-Dec-2017,02:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,0.0,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2017,02:45,01-Dec-2017,03:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",,0.0,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
01-Dec-2017,03:00,01-Dec-2017,03:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.13,290.4,,,,61.12,,,,,81.42,,,,30.96,0.74,,,,,,,,,,,,,18.6,24.92,,,,,,,,,
01-Dec-2017,03:15,01-Dec-2017,03:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.22,295.75,,,,61.79,,,,,79.93,,,,30.81,0.64,,,,,,,,,,,,,18.45,24.8,,,,,,,,,
01-Dec-2017,03:30,01-Dec-2017,03:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.26,309.36,,,,62.69,,,,,81.72,,,,31.2,0.71,,,,,,,,,,,,,18.84,24.6,,,,,,,,,
01-Dec-2017,03:45,01-Dec-2017,04:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.17,295.34,,,,63.24,,,,,74.16,,,,31.54,0.68,,,,,,,,,,,,,19.18,24.34,,,,,,,,,
01-Dec-2017,04:00,01-Dec-2017,04:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.08,292.54,,,,65.43,,,,,71.82,,,,31.52,0.72,,,,,,,,,,,,,19.16,24.02,,,,,,,,,
01-Dec-2017,04:15,01-Dec-2017,04:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.4,328.74,,,,66.48,,,,,75.68,,,,31.36,0.7,,,,,,,,,,,,,19.0,23.8,,,,,,,,,
01-Dec-2017,04:30,01-Dec-2017,04:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.26,46.82,,,,63.21,,,,,77.77,,,,31.48,0.69,,,,,,,,,,,,,19.12,24.0,,,,,,,,,
01-Dec-2017,04:45,01-Dec-2017,05:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.43,265.19,,,,62.12,,,,,76.39,,,,31.2,0.72,,,,,,,,,,,,,18.84,24.15,,,,,,,,,
01-Dec-2017,05:00,01-Dec-2017,05:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.56,267.94,,,,65.98,,,,,71.52,,,,30.78,0.7,,,,,,,,,,,,,18.42,23.47,,,,,,,,,
01-Dec-2017,05:15,01-Dec-2017,05:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.2,305.53,,,,66.89,,,,,86.84,,,,30.75,0.69,,,,,,,,,,,,,18.39,23.27,,,,,,,,,
01-Dec-2017,05:30,01-Dec-2017,05:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.43,260.17,,,,67.91,,,,,93.03,,,,31.35,0.78,,,,,,,,,,,,,18.99,23.17,,,,,,,,,
01-Dec-2017,05:45,01-Dec-2017,06:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.59,268.79,,,,68.63,,,,,100.6,,,,31.27,0.74,,,,,,,,,,,,,18.91,22.84,,,,,,,,,
01-Dec-2017,06:00,01-Dec-2017,06:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.58,267.52,,,,70.18,,,,,93.19,,,,31.6,0.72,,,,,,,,,,,,,19.24,22.6,,,,,,,,,
01-Dec-2017,06:15,01-Dec-2017,06:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.44,237.08,,,,70.67,,,,,97.34,,,,30.76,0.73,,,,,,,,,,,,,18.4,22.52,,,,,,,,,
01-Dec-2017,06:30,01-Dec-2017,06:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.04,307.27,,,,71.07,,,,,91.5,,,,31.24,0.73,,,,,,,,,,,,,18.88,22.29,,,,,,,,,
01-Dec-2017,06:45,01-Dec-2017,07:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.28,349.99,,,,67.49,,,,,98.29,,,,31.3,0.71,,,,,,,,,,,,,18.94,22.79,,,,,,,,,
01-Dec-2017,07:00,01-Dec-2017,07:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.21,8.43,,,,64.49,,,,,107.05,,,,31.18,0.71,,,,,,,,,,,,,18.82,23.36,,,,,,,,,
01-Dec-2017,07:15,01-Dec-2017,07:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.11,11.55,,,,67.19,,,,,110.77,,,,31.91,0.72,,,,,,,,,,,,,19.55,22.82,,,,,,,,,
01-Dec-2017,07:30,01-Dec-2017,07:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.14,10.12,,,,66.92,,,,,108.23,,,,31.79,0.68,,,,,,,,,,,,,19.43,22.94,,,,,,,,,
01-Dec-2017,07:45,01-Dec-2017,08:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.14,13.21,,,,65.58,,,,,111.1,,,,32.08,0.74,,,,,,,,,,,,,19.72,23.06,,,,,,,,,
01-Dec-2017,08:00,01-Dec-2017,08:15,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.37,57.24,,,,63.61,,,,,117.42,,,,32.17,0.75,,,,,,,,,,,,,19.81,23.2,,,,,,,,,
01-Dec-2017,08:15,01-Dec-2017,08:30,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.29,32.08,,,,61.67,6.81,,,,122.04,,,,32.23,0.71,,,,,,,,,,,,,19.87,23.65,,,,,,,,,
01-Dec-2017,08:30,01-Dec-2017,08:45,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.51,23.4,,,,56.62,12.58,,,,118.9,,,,32.04,0.74,,,,,,,,,,,,,19.68,24.36,,,,,,,,,
01-Dec-2017,08:45,01-Dec-2017,09:00,Maharashtra,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",0.39,33.75,,,,54.94,16.1,,,,112.3,,,,32.2,0.73,,,,,,,,,,,,,19.84,24.76,,,,,,,,,
