﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Oct-2016,00:00,01-Oct-2016,00:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",22.6,743.0,61.0,30.0,88.0,7.0,31.0,26.2,313.0,1.3,0.83,9.4,,13.2,41.4,21.7,36.4,2.1,19.3
01-Oct-2016,00:15,01-Oct-2016,00:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",22.4,742.0,61.0,30.0,88.0,10.0,31.1,27.3,309.0,1.8,0.72,9.1,,11.2,47.0,16.7,35.3,8.3,25.7
01-Oct-2016,00:30,01-Oct-2016,00:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",22.1,742.0,61.0,30.0,88.0,14.0,31.5,25.7,265.0,1.1,0.58,8.6,,9.9,40.3,8.6,26.0,3.3,30.4
01-Oct-2016,00:45,01-Oct-2016,01:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,,,,,,,,,,,,,,,
01-Oct-2016,01:00,01-Oct-2016,01:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.7,741.0,63.0,48.0,88.0,8.0,30.1,18.6,295.0,2.0,0.33,6.7,,8.8,41.7,5.2,24.2,23.7,28.4
01-Oct-2016,01:15,01-Oct-2016,01:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.6,741.0,63.0,48.0,88.0,7.0,29.8,15.7,298.0,2.4,0.28,6.0,,8.7,37.2,4.8,21.6,0.1,25.6
01-Oct-2016,01:30,01-Oct-2016,01:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.5,741.0,63.0,48.0,88.0,6.0,29.6,13.6,289.0,1.9,0.29,5.3,,7.0,35.6,10.7,25.3,0.1,21.0
01-Oct-2016,01:45,01-Oct-2016,02:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.8,741.0,60.0,41.0,88.0,6.0,29.4,11.9,258.0,0.9,0.3,4.5,,19.6,40.7,16.9,32.4,155.2,20.4
01-Oct-2016,02:00,01-Oct-2016,02:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.8,741.0,60.0,41.0,88.0,6.0,29.0,12.4,280.0,1.2,0.3,4.5,,24.3,26.9,6.6,18.0,0.1,27.7
01-Oct-2016,02:15,01-Oct-2016,02:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.6,740.0,60.0,41.0,88.0,6.0,29.0,15.8,279.0,0.8,0.25,5.2,,12.7,31.0,2.9,17.3,4.3,40.3
01-Oct-2016,02:30,01-Oct-2016,02:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.6,740.0,60.0,41.0,88.0,6.0,29.3,21.4,314.0,0.8,0.26,6.1,,8.3,35.2,6.8,22.2,-21.0,38.8
01-Oct-2016,02:45,01-Oct-2016,03:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.6,740.0,83.0,35.0,88.0,6.0,29.4,24.6,319.0,0.3,0.3,6.7,,8.2,38.7,11.3,27.3,-20.0,29.1
01-Oct-2016,03:00,01-Oct-2016,03:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.4,740.0,83.0,35.0,88.0,6.0,29.4,24.4,318.0,0.5,0.3,6.7,,9.2,29.2,5.1,18.1,-73.4,18.6
01-Oct-2016,03:15,01-Oct-2016,03:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.4,740.0,83.0,35.0,88.0,6.0,29.3,23.1,284.0,0.3,0.28,6.0,,8.4,25.1,2.8,14.3,76.7,14.8
01-Oct-2016,03:30,01-Oct-2016,03:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.4,741.0,83.0,35.0,88.0,6.0,29.3,21.7,245.0,0.3,0.3,5.2,,8.8,25.8,4.8,16.2,31.4,13.0
01-Oct-2016,03:45,01-Oct-2016,04:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.6,740.0,57.0,36.0,88.0,6.0,29.2,20.8,220.0,0.3,0.26,4.7,,9.1,28.4,7.0,19.1,0.1,11.2
01-Oct-2016,04:00,01-Oct-2016,04:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.6,740.0,57.0,36.0,88.0,6.0,29.2,19.9,234.0,0.3,0.35,4.5,,10.5,30.8,5.8,19.4,0.1,9.5
01-Oct-2016,04:15,01-Oct-2016,04:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.6,740.0,57.0,36.0,88.0,5.0,29.7,18.2,238.0,0.3,0.28,4.3,,14.5,29.8,4.9,18.2,7.4,9.4
01-Oct-2016,04:30,01-Oct-2016,04:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.7,740.0,57.0,36.0,88.0,5.0,29.4,17.4,273.0,0.3,0.3,4.4,,15.1,28.1,5.7,17.9,0.1,8.3
01-Oct-2016,04:45,01-Oct-2016,05:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.8,740.0,52.0,32.0,88.0,5.0,29.2,17.2,338.0,0.3,0.41,4.6,,14.3,34.5,10.8,24.9,0.1,7.7
01-Oct-2016,05:00,01-Oct-2016,05:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.9,741.0,52.0,32.0,88.0,5.0,29.1,17.5,338.0,0.3,0.39,5.1,,14.3,30.6,8.6,21.3,69.8,6.1
01-Oct-2016,05:15,01-Oct-2016,05:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.9,741.0,52.0,32.0,88.0,5.0,29.0,18.3,338.0,0.3,0.46,5.6,,14.2,27.2,14.9,24.4,0.1,5.9
01-Oct-2016,05:30,01-Oct-2016,05:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",22.0,741.0,52.0,32.0,88.0,5.0,29.0,18.7,333.0,0.3,0.64,5.8,,16.0,30.2,29.9,36.9,0.1,6.9
01-Oct-2016,05:45,01-Oct-2016,06:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21.9,742.0,67.0,44.0,88.0,6.0,28.9,18.4,301.0,0.3,0.65,6.2,,15.5,34.5,23.4,34.3,0.1,7.2
01-Oct-2016,06:00,01-Oct-2016,06:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",22.0,742.0,67.0,44.0,88.0,10.0,28.7,18.8,202.0,0.5,1.01,6.6,,13.4,42.0,40.5,50.7,0.1,7.5
01-Oct-2016,06:15,01-Oct-2016,06:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",22.1,743.0,67.0,44.0,88.0,18.0,28.7,20.0,35.0,0.3,0.9,7.4,,15.1,37.7,27.1,38.6,0.1,7.6
01-Oct-2016,06:30,01-Oct-2016,06:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",22.3,743.0,67.0,44.0,88.0,21.0,28.8,20.7,52.0,0.3,0.9,8.0,,15.0,36.4,26.8,37.8,45.9,7.1
01-Oct-2016,06:45,01-Oct-2016,07:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",22.1,743.0,66.0,42.0,88.0,25.0,28.8,20.5,106.0,0.3,0.88,7.8,,16.5,37.1,15.8,29.8,23.4,7.3
