﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2016,00:00,01-Dec-2016,00:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.76,277.28,,,,94.81,632.6,,,,157.48,78.91,2.93,67.25,,0.37,,3.18,,12.97,71.8,,,,,,,,2.49,18.65,,,,,5.0,,,,
01-Dec-2016,00:15,01-Dec-2016,00:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.34,283.96,,,,90.37,609.2,,,,147.63,80.42,3.72,66.24,,0.33,,1.4,,13.2,73.74,,,,,,,,4.7,19.21,,,,,5.0,,,,
01-Dec-2016,00:30,01-Dec-2016,00:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.2,254.59,,,,91.83,616.5,,,,147.63,80.42,4.26,64.18,,0.35,,0.44,,12.73,74.88,,,,,,,,4.01,18.64,,,,,4.98,,,,
01-Dec-2016,00:45,01-Dec-2016,01:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.49,325.81,,,,90.44,610.4,,,,147.63,80.42,3.34,64.28,,0.35,,0.22,,12.19,72.56,,,,,,,,2.85,19.06,,,,,4.78,,,,
01-Dec-2016,01:00,01-Dec-2016,01:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.38,99.99,,,,86.58,587.3,,,,149.78,77.75,2.41,63.51,,0.38,,0.07,,11.94,71.09,,,,,,,,2.13,19.35,,,,,4.61,,,,
01-Dec-2016,01:15,01-Dec-2016,01:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.72,125.52,,,,93.17,622.4,,,,150.56,76.78,2.21,61.63,,0.41,,,,11.66,70.32,,,,,,,,1.36,18.18,,,,,4.61,,,,
01-Dec-2016,01:30,01-Dec-2016,01:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.45,265.03,,,,96.11,639.1,,,,150.56,76.78,4.22,60.29,,0.45,,,,11.87,70.39,,,,,,,,0.65,17.89,,,,,4.79,,,,
01-Dec-2016,01:45,01-Dec-2016,02:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.62,252.37,,,,97.03,642.6,,,,150.56,76.78,2.92,60.21,,0.44,,,,12.01,70.81,,,,,,,,0.27,17.82,,,,,4.8,,,,
01-Dec-2016,02:00,01-Dec-2016,02:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.71,273.86,,,,96.52,641.1,,,,133.92,66.97,2.99,59.09,,0.4,,,,12.02,73.25,,,,,,,,,17.91,,,,,4.86,,,,
01-Dec-2016,02:15,01-Dec-2016,02:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.55,270.94,,,,96.08,639.2,,,,127.87,63.4,3.42,58.77,,0.39,,,,12.02,73.84,,,,,,,,,18.12,,,,,4.91,,,,
01-Dec-2016,02:30,01-Dec-2016,02:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.59,274.25,,,,96.37,639.9,,,,127.87,63.4,3.21,59.12,,0.37,,,,12.02,71.27,,,,,,,,,18.09,,,,,4.76,,,,
01-Dec-2016,02:45,01-Dec-2016,03:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.82,277.39,,,,97.6,646.2,,,,127.87,63.4,3.24,61.12,,0.27,,,,12.14,70.1,,,,,,,,,18.38,,,,,4.67,,,,
01-Dec-2016,03:00,01-Dec-2016,03:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.47,244.68,,,,97.6,644.7,,,,121.2,63.99,2.71,61.37,,0.23,,,,11.91,71.76,,,,,,,,0.25,18.16,,,,,4.69,,,,
01-Dec-2016,03:15,01-Dec-2016,03:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.31,141.08,,,,97.55,643.3,,,,118.78,64.21,2.65,59.69,,0.12,,,,11.6,74.41,,,,,,,,0.98,17.54,,,,,4.75,,,,
01-Dec-2016,03:30,01-Dec-2016,03:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.52,166.21,,,,97.4,641.4,,,,118.78,64.21,3.31,59.62,,0.09,,,,11.42,71.92,,,,,,,,1.61,17.24,,,,,4.61,,,,
01-Dec-2016,03:45,01-Dec-2016,04:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.35,237.8,,,,97.81,644.5,,,,118.78,64.21,2.9,58.43,,0.09,,,,11.2,69.12,,,,,,,,2.42,17.08,,,,,4.47,,,,
01-Dec-2016,04:00,01-Dec-2016,04:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.77,136.07,,,,97.5,642.6,,,,109.78,45.08,2.06,58.05,,0.28,,,,11.05,68.4,,,,,,,,2.71,17.0,,,,,4.37,,,,
01-Dec-2016,04:15,01-Dec-2016,04:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.35,109.34,,,,98.11,646.0,,,,106.51,45.08,3.65,54.94,,0.44,,,,10.87,66.24,,,,,,,,3.14,17.0,,,,,4.12,,,,
01-Dec-2016,04:30,01-Dec-2016,04:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.84,268.8,,,,98.74,652.6,,,,106.51,45.08,3.69,58.46,,0.4,,,,10.63,64.21,,,,,,,,3.32,17.19,,,,,3.89,,,,
01-Dec-2016,04:45,01-Dec-2016,05:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.27,304.17,,,,98.92,652.1,,,,106.51,45.08,3.11,56.28,,0.36,,,,10.46,63.47,,,,,,,,4.46,17.4,,,,,3.74,,,,
01-Dec-2016,05:00,01-Dec-2016,05:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.22,326.27,,,,98.96,652.3,,,,89.81,43.95,3.41,54.83,,0.44,,,,10.11,63.75,,,,,,,,4.56,17.4,,,,,3.66,,,,
01-Dec-2016,05:15,01-Dec-2016,05:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.37,245.91,,,,98.64,651.4,,,,89.81,43.54,2.38,55.75,,0.52,,,,9.61,61.6,,,,,,,,4.1,17.4,,,,,3.51,,,,
01-Dec-2016,05:30,01-Dec-2016,05:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.44,223.1,,,,98.87,652.6,,,,89.81,43.54,2.77,54.6,,0.52,,,,9.4,61.19,,,,,,,,4.3,17.14,,,,,3.44,,,,
01-Dec-2016,05:45,01-Dec-2016,06:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.76,251.33,,,,99.04,653.9,,,,89.81,43.54,2.22,54.22,,0.51,,0.15,,9.08,61.47,,,,,,,,4.15,17.05,,,,,3.13,,,,
01-Dec-2016,06:00,01-Dec-2016,06:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.37,262.75,,,,98.89,653.2,,,,89.81,53.45,2.38,54.37,,0.44,,,,8.73,61.08,,,,,,,,3.24,17.03,,,,,3.09,,,,
01-Dec-2016,06:15,01-Dec-2016,06:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.54,217.32,,,,98.86,651.4,,,,100.69,57.05,3.39,51.16,,0.37,,,,8.59,63.45,,,,,,,,2.89,16.59,,,,,3.38,,,,
