﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2016,00:00,01-Dec-2016,00:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.69,,,,239.39,,7.11,46.07,53.18,0.35,,7.39,,,,,,,,,,,9.37,,,,,,,,,,
01-Dec-2016,00:15,01-Dec-2016,00:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,21.69,,,,239.7,,13.46,63.69,77.16,0.58,,5.93,,,,,,,,,,,9.72,,,,,,,,,,
01-Dec-2016,00:30,01-Dec-2016,00:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,21.8,,,,239.3,,16.53,63.63,80.16,0.61,,5.9,,,,,,,,,,,9.14,,,,,,,,,,
01-Dec-2016,00:45,01-Dec-2016,01:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.89,,,,219.04,,9.74,56.39,66.13,0.49,,6.15,,,,,,,,,,,9.18,,,,,,,,,,
01-Dec-2016,01:00,01-Dec-2016,01:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.38,,,,211.51,,6.67,43.21,49.88,0.56,,7.43,,,,,,,,,,,9.8,,,,,,,,,,
01-Dec-2016,01:15,01-Dec-2016,01:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.73,,,,211.48,,6.7,38.92,45.62,0.41,,7.56,,,,,,,,,,,12.91,,,,,,,,,,
01-Dec-2016,01:30,01-Dec-2016,01:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,21.2,,,,211.98,,7.16,35.3,42.47,0.49,,7.85,,,,,,,,,,,13.09,,,,,,,,,,
01-Dec-2016,01:45,01-Dec-2016,02:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Dec-2016,02:00,01-Dec-2016,02:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.53,,,,189.35,,13.27,35.26,48.54,0.48,,5.41,,,,,,,,,,,12.23,,,,,,,,,,
01-Dec-2016,02:15,01-Dec-2016,02:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,21.14,,,,189.44,,8.9,34.92,43.82,0.46,,5.9,,,,,,,,,,,12.63,,,,,,,,,,
01-Dec-2016,02:30,01-Dec-2016,02:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.67,,,,189.34,,8.63,31.72,40.35,0.46,,8.81,,,,,,,,,,,13.32,,,,,,,,,,
01-Dec-2016,02:45,01-Dec-2016,03:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.55,,,,163.59,,6.84,32.19,39.04,0.38,,10.89,,,,,,,,,,,12.82,,,,,,,,,,
01-Dec-2016,03:00,01-Dec-2016,03:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.46,,,,154.25,,9.67,27.14,36.8,0.69,,11.44,,,,,,,,,,,11.43,,,,,,,,,,
01-Dec-2016,03:15,01-Dec-2016,03:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.42,,,,154.26,,8.41,26.73,35.14,0.54,,12.08,,,,,,,,,,,11.94,,,,,,,,,,
01-Dec-2016,03:30,01-Dec-2016,03:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,20.97,,,,154.11,,6.54,35.06,41.6,0.53,,11.92,,,,,,,,,,,13.63,,,,,,,,,,
01-Dec-2016,03:45,01-Dec-2016,04:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,22.88,,,,121.37,,8.56,33.89,42.45,0.43,,10.82,,,,,,,,,,,12.87,,,,,,,,,,
01-Dec-2016,04:00,01-Dec-2016,04:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,23.84,,,,109.16,,8.15,31.57,39.71,0.35,,10.27,,,,,,,,,,,9.59,,,,,,,,,,
01-Dec-2016,04:15,01-Dec-2016,04:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,23.11,,,,109.1,,8.67,27.32,35.99,0.51,,11.08,,,,,,,,,,,9.72,,,,,,,,,,
01-Dec-2016,04:30,01-Dec-2016,04:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,22.87,,,,108.99,,7.35,26.92,34.27,0.5,,10.95,,,,,,,,,,,9.17,,,,,,,,,,
01-Dec-2016,04:45,01-Dec-2016,05:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Dec-2016,05:00,01-Dec-2016,05:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Dec-2016,05:15,01-Dec-2016,05:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,23.26,,,,64.84,,8.71,23.91,32.62,0.42,,11.84,,,,,,,,,,,10.91,,,,,,,,,,
01-Dec-2016,05:30,01-Dec-2016,05:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,21.67,,,,64.54,,7.57,26.04,33.62,0.62,,10.67,,,,,,,,,,,12.0,,,,,,,,,,
01-Dec-2016,05:45,01-Dec-2016,06:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,21.24,,,,59.7,,8.69,25.0,33.69,0.47,,9.49,,,,,,,,,,,12.38,,,,,,,,,,
01-Dec-2016,06:00,01-Dec-2016,06:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,23.59,,,,57.57,,7.31,27.8,35.11,0.44,,9.47,,,,,,,,,,,12.07,,,,,,,,,,
01-Dec-2016,06:15,01-Dec-2016,06:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,30.58,,,,57.55,,6.79,28.41,35.2,0.62,,10.79,,,,,,,,,,,14.07,,,,,,,,,,
01-Dec-2016,06:30,01-Dec-2016,06:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,48.18,,,,57.72,,6.53,29.19,35.72,0.41,,11.81,,,,,,,,,,,12.75,,,,,,,,,,
01-Dec-2016,06:45,01-Dec-2016,07:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,63.45,,,,67.61,,6.32,28.86,35.18,0.52,,11.92,,,,,,,,,,,13.57,,,,,,,,,,
01-Dec-2016,07:00,01-Dec-2016,07:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,94.66,,,,71.68,,7.18,32.65,39.83,0.41,,12.35,,,,,,,,,,,11.17,,,,,,,,,,
01-Dec-2016,07:15,01-Dec-2016,07:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,124.12,,,,71.54,,9.54,31.64,41.18,0.55,,12.41,,,,,,,,,,,12.71,,,,,,,,,,
01-Dec-2016,07:30,01-Dec-2016,07:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,159.2,,,,71.36,,7.92,34.21,42.14,0.4,,12.47,,,,,,,,,,,13.72,,,,,,,,,,
01-Dec-2016,07:45,01-Dec-2016,08:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,200.3,,,,103.96,,7.21,34.13,41.34,0.5,,13.78,,,,,,,,,,,15.87,,,,,,,,,,
01-Dec-2016,08:00,01-Dec-2016,08:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,236.68,,,,116.49,,7.14,32.84,39.98,0.55,,15.75,,,,,,,,,,,11.2,,,,,,,,,,
01-Dec-2016,08:15,01-Dec-2016,08:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,259.87,,,,116.29,,4.36,32.45,36.82,0.67,,20.24,,,,,,,,,,,12.05,,,,,,,,,,
01-Dec-2016,08:30,01-Dec-2016,08:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,298.11,,,,116.56,,8.21,38.41,46.61,0.37,,20.91,,,,,,,,,,,11.13,,,,,,,,,,
01-Dec-2016,08:45,01-Dec-2016,09:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Dec-2016,09:00,01-Dec-2016,09:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,346.05,,,,69.96,,5.28,18.24,21.51,0.29,,19.95,,,,,,,,,,,10.0,,,,,,,,,,
01-Dec-2016,09:15,01-Dec-2016,09:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,333.19,,,,98.83,,6.45,22.31,28.77,0.57,,27.19,,,,,,,,,,,13.46,,,,,,,,,,
01-Dec-2016,09:30,01-Dec-2016,09:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,250.19,,,,98.42,,5.3,22.67,27.97,0.5,,29.47,,,,,,,,,,,17.65,,,,,,,,,,
01-Dec-2016,09:45,01-Dec-2016,10:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,342.19,,,,47.1,,6.45,22.34,28.79,0.47,,30.51,,,,,,,,,,,15.73,,,,,,,,,,
01-Dec-2016,10:00,01-Dec-2016,10:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,483.6,,,,27.32,,6.0,22.55,28.55,0.57,,33.06,,,,,,,,,,,14.92,,,,,,,,,,
01-Dec-2016,10:15,01-Dec-2016,10:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,484.56,,,,27.29,,6.73,23.43,30.17,0.62,,33.88,,,,,,,,,,,15.54,,,,,,,,,,
01-Dec-2016,10:30,01-Dec-2016,10:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,509.0,,,,27.49,,10.28,43.99,54.27,0.94,,33.26,,,,,,,,,,,21.07,,,,,,,,,,
01-Dec-2016,10:45,01-Dec-2016,11:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,504.55,,,,48.81,,8.55,36.98,45.54,1.03,,36.75,,,,,,,,,,,16.44,,,,,,,,,,
01-Dec-2016,11:00,01-Dec-2016,11:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,500.51,,,,57.01,,5.3,20.04,25.34,1.31,,38.31,,,,,,,,,,,15.14,,,,,,,,,,
01-Dec-2016,11:15,01-Dec-2016,11:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Dec-2016,11:30,01-Dec-2016,11:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,495.25,,,,39.34,,4.84,21.69,24.49,0.3,,31.47,,,,,,,,,,,10.0,,,,,,,,,,
01-Dec-2016,11:45,01-Dec-2016,12:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,483.38,,,,18.83,,3.53,28.16,31.7,0.82,,37.05,,,,,,,,,,,12.85,,,,,,,,,,
01-Dec-2016,12:00,01-Dec-2016,12:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,478.66,,,,4.0,,4.13,24.83,28.97,0.85,,40.21,,,,,,,,,,,17.63,,,,,,,,,,
01-Dec-2016,12:15,01-Dec-2016,12:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,425.28,,,,4.21,,5.41,23.25,28.66,0.94,,40.38,,,,,,,,,,,17.31,,,,,,,,,,
01-Dec-2016,12:30,01-Dec-2016,12:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
01-Dec-2016,12:45,01-Dec-2016,13:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,436.07,,,,40.87,,5.8,21.75,27.56,0.58,,40.6,,,,,,,,,,,8.54,,,,,,,,,,
01-Dec-2016,13:00,01-Dec-2016,13:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,410.52,,,,55.26,,6.06,21.38,27.44,0.93,,40.46,,,,,,,,,,,6.94,,,,,,,,,,
01-Dec-2016,13:15,01-Dec-2016,13:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,281.69,,,,55.46,,6.33,21.68,28.02,0.94,,40.11,,,,,,,,,,,8.16,,,,,,,,,,
01-Dec-2016,13:30,01-Dec-2016,13:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,294.98,,,,55.2,,7.25,20.44,27.69,1.01,,39.98,,,,,,,,,,,8.19,,,,,,,,,,
01-Dec-2016,13:45,01-Dec-2016,14:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,284.19,,,,61.82,,5.37,20.18,25.56,1.26,,40.01,,,,,,,,,,,4.95,,,,,,,,,,
01-Dec-2016,14:00,01-Dec-2016,14:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,356.37,,,,64.42,,5.42,19.67,25.09,1.13,,42.31,,,,,,,,,,,3.07,,,,,,,,,,
01-Dec-2016,14:15,01-Dec-2016,14:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,242.58,,,,64.22,,4.21,21.96,26.17,1.06,,41.39,,,,,,,,,,,3.51,,,,,,,,,,
01-Dec-2016,14:30,01-Dec-2016,14:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,181.04,,,,64.4,,4.51,22.33,26.85,0.73,,42.65,,,,,,,,,,,14.35,,,,,,,,,,
01-Dec-2016,14:45,01-Dec-2016,15:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,,,,,228.14,,,,77.19,,6.79,20.86,27.65,0.69,,43.79,,,,,,,,,,,15.67,,,,,,,,,,
