﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jan-2017,00:00,01-Jan-2017,00:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1.58,75.21,,,,96.1,9.77,749.8,,,,128.0,10.96,19.53,30.49,1.16,,5.18,,0.15,0.12,,0.03,,,-0.02,,,1.4,,,0.0,,,,,,,
01-Jan-2017,00:15,01-Jan-2017,00:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1.63,97.9,,,,96.1,9.77,749.8,,,,128.0,10.56,20.03,30.6,1.25,,4.28,,0.15,0.1,,0.04,,,-0.01,,,3.94,,,0.0,,,,,,,
01-Jan-2017,00:30,01-Jan-2017,00:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1.14,86.55,,,,96.1,9.84,749.8,,,,128.0,10.3,22.58,32.88,1.25,,4.79,,0.15,0.1,,0.03,,,-0.01,,,2.81,,,0.0,,,,,,,
01-Jan-2017,00:45,01-Jan-2017,01:00,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1.62,106.22,,,,96.1,9.88,749.8,,,,128.0,8.82,20.14,28.97,1.26,,6.88,,0.15,0.1,,0.03,,,-0.02,,,4.58,,,0.0,,,,,,,
01-Jan-2017,01:00,01-Jan-2017,01:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1.56,118.37,,,,96.09,10.05,749.79,,,,121.0,7.93,19.3,27.23,1.26,,3.96,,0.15,0.09,,0.03,,,-0.02,,,2.71,,,0.0,,,,,,,
01-Jan-2017,01:15,01-Jan-2017,01:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1.53,107.38,,,,96.08,10.26,749.79,,,,121.0,6.72,20.49,27.22,1.14,,5.16,,0.14,0.09,,0.03,,,-0.02,,,2.94,,,0.0,,,,,,,
01-Jan-2017,01:30,01-Jan-2017,01:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1.53,67.55,,,,96.07,10.24,749.79,,,,121.0,6.38,19.13,25.51,1.21,,4.73,,0.15,0.08,,0.03,,,-0.02,,,1.95,,,0.0,,,,,,,
01-Jan-2017,01:45,01-Jan-2017,02:00,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1.48,86.82,,,,96.07,10.27,749.79,,,,121.0,6.66,20.17,26.84,1.16,,4.4,,0.14,0.09,,0.03,,,-0.01,,,2.43,,,0.0,,,,,,,
01-Jan-2017,02:00,01-Jan-2017,02:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1.32,74.61,,,,96.07,10.27,749.79,,,,111.0,5.33,19.97,25.29,1.11,,3.98,,0.14,0.09,,0.03,,,-0.01,,,1.96,,,0.0,,,,,,,
01-Jan-2017,02:15,01-Jan-2017,02:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",1.09,158.31,,,,96.08,10.06,749.79,,,,111.0,5.43,19.47,24.9,1.08,,4.04,,0.15,0.08,,0.02,,,-0.01,,,1.24,,,0.0,,,,,,,
