﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Feb-2017,00:00,01-Feb-2017,00:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,00:15,01-Feb-2017,00:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,00:30,01-Feb-2017,00:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,00:45,01-Feb-2017,01:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,01:00,01-Feb-2017,01:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,01:15,01-Feb-2017,01:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,01:30,01-Feb-2017,01:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,01:45,01-Feb-2017,02:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,02:00,01-Feb-2017,02:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,02:15,01-Feb-2017,02:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,02:30,01-Feb-2017,02:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,02:45,01-Feb-2017,03:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,03:00,01-Feb-2017,03:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,03:15,01-Feb-2017,03:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,03:30,01-Feb-2017,03:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,03:45,01-Feb-2017,04:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,04:00,01-Feb-2017,04:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,04:15,01-Feb-2017,04:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,04:30,01-Feb-2017,04:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,04:45,01-Feb-2017,05:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,05:00,01-Feb-2017,05:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,05:15,01-Feb-2017,05:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,05:30,01-Feb-2017,05:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,05:45,01-Feb-2017,06:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,06:00,01-Feb-2017,06:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,06:15,01-Feb-2017,06:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,06:30,01-Feb-2017,06:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,06:45,01-Feb-2017,07:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,07:00,01-Feb-2017,07:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,07:15,01-Feb-2017,07:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,07:30,01-Feb-2017,07:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,07:45,01-Feb-2017,08:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,08:00,01-Feb-2017,08:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,08:15,01-Feb-2017,08:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,08:30,01-Feb-2017,08:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,08:45,01-Feb-2017,09:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,09:00,01-Feb-2017,09:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,09:15,01-Feb-2017,09:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,09:30,01-Feb-2017,09:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,09:45,01-Feb-2017,10:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,10:00,01-Feb-2017,10:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,,,,,,,,,,,,,,,,,,
01-Feb-2017,10:15,01-Feb-2017,10:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,,14.62,567.17,,,,0.97,510.0,,,,,,,,25.9
01-Feb-2017,10:30,01-Feb-2017,10:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,42.89,14.32,600.24,,,113.98,0.68,600.0,,,22.85,58.46,9.72,,,7.42
01-Feb-2017,10:45,01-Feb-2017,11:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,42.89,12.09,652.17,,,109.95,0.75,535.9,,,23.26,51.82,13.44,,,7.08
01-Feb-2017,11:00,01-Feb-2017,11:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,43.13,9.82,684.03,,,120.16,0.73,433.0,,,22.0,60.91,24.78,,,3.04
01-Feb-2017,11:15,01-Feb-2017,11:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,48.38,9.48,709.29,,,97.54,0.34,557.3,,,31.15,56.42,17.01,,,3.55
01-Feb-2017,11:30,01-Feb-2017,11:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,48.38,7.43,717.59,,,113.03,0.51,509.0,,,26.66,68.09,40.62,,,2.92
01-Feb-2017,11:45,01-Feb-2017,12:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,48.38,5.64,717.27,,,94.19,0.42,502.2,,,27.84,58.11,29.42,,,5.77
01-Feb-2017,12:00,01-Feb-2017,12:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,47.51,4.41,733.6,,,111.14,0.46,398.3,,,26.59,59.44,19.43,,,4.31
01-Feb-2017,12:15,01-Feb-2017,12:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,28.79,4.06,746.04,,,109.01,0.43,397.0,,,26.18,62.67,26.5,,,3.47
01-Feb-2017,12:30,01-Feb-2017,12:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,28.79,4.76,741.85,,,74.35,0.29,382.3,,,27.66,68.32,33.24,,,4.2
01-Feb-2017,12:45,01-Feb-2017,13:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,28.79,5.15,731.35,,,90.03,0.44,335.7,,,28.79,47.68,6.94,,,3.54
01-Feb-2017,13:00,01-Feb-2017,13:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,28.46,4.48,718.52,,,109.96,0.44,422.0,,,28.01,69.92,15.09,,,3.19
01-Feb-2017,13:15,01-Feb-2017,13:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,19.0,1.08,711.47,,,124.09,0.55,429.3,,,28.49,40.95,3.74,,,4.57
01-Feb-2017,13:30,01-Feb-2017,13:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,19.0,1.2,696.63,,,86.79,0.19,421.8,,,28.39,22.45,0.0,,,3.89
01-Feb-2017,13:45,01-Feb-2017,14:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,13.06,-0.13,674.88,,,100.26,0.28,369.5,,,26.68,22.77,0.31,,,3.93
01-Feb-2017,14:00,01-Feb-2017,14:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,9.21,-0.08,650.13,,,122.56,0.47,333.9,,,25.34,28.12,0.37,,,3.99
01-Feb-2017,14:15,01-Feb-2017,14:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.2,,9.21,0.51,607.48,,,111.33,0.13,359.2,,,25.1,26.96,0.21,,,3.81
01-Feb-2017,14:30,01-Feb-2017,14:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.2,,9.21,0.13,574.8,,,121.85,0.21,422.6,,,25.1,23.03,1.2,,,0.0
01-Feb-2017,14:45,01-Feb-2017,15:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.2,,59.22,0.44,537.03,,,123.52,0.13,691.3,,,24.67,25.88,0.8,,,0.0
01-Feb-2017,15:00,01-Feb-2017,15:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.2,,94.13,0.54,498.65,,,123.79,0.24,314.8,,,25.96,45.76,4.98,,,0.0
01-Feb-2017,15:15,01-Feb-2017,15:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,94.13,-0.16,450.73,,,134.91,0.34,332.5,,,26.57,41.53,4.91,,,0.0
01-Feb-2017,15:30,01-Feb-2017,15:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,94.13,-0.33,410.45,,,112.26,0.4,390.5,,,24.68,59.83,22.16,,,6.23
01-Feb-2017,15:45,01-Feb-2017,16:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,99.42,-1.21,368.68,,,107.13,0.22,356.7,,,26.34,34.35,1.41,,,5.31
01-Feb-2017,16:00,01-Feb-2017,16:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,103.12,-2.53,317.43,,,306.52,0.06,422.6,,,24.97,33.62,8.1,,,5.32
01-Feb-2017,16:15,01-Feb-2017,16:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,103.12,-2.98,278.96,,,32.08,0.19,388.2,,,24.11,30.45,7.5,,,5.97
01-Feb-2017,16:30,01-Feb-2017,16:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,103.12,-2.54,238.22,,,105.07,0.16,369.2,,,21.88,46.57,19.67,,,4.33
01-Feb-2017,16:45,01-Feb-2017,17:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,95.54,-1.86,192.25,,,93.34,0.19,428.2,,,22.48,53.24,14.89,,,6.28
01-Feb-2017,17:00,01-Feb-2017,17:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,90.24,-2.32,148.76,,,122.53,0.38,461.2,,,19.15,80.79,39.53,,,7.35
01-Feb-2017,17:15,01-Feb-2017,17:30,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,90.24,-1.12,88.92,,,104.26,0.37,418.0,,,25.12,67.75,29.2,,,4.41
01-Feb-2017,17:30,01-Feb-2017,17:45,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,90.24,-0.79,58.95,,,119.07,0.45,501.8,,,22.33,72.25,28.23,,,4.62
01-Feb-2017,17:45,01-Feb-2017,18:00,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,84.1,0.47,3.05,,,354.5,0.06,401.7,,,25.93,48.18,2.4,,,5.51
01-Feb-2017,18:00,01-Feb-2017,18:15,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,1012.3,,79.81,0.72,2.91,,,114.94,0.35,475.2,,,23.11,83.7,37.55,,,9.12
