From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Feb-2017,00:00,01-Feb-2017,00:15,Delhi,Delhi,"DTU, Delhi - CPCB",0.15,347.0,,,,88.6,8.5,,,,,251.0,73.7,42.9,82.2,,,,,,,,,,,,,,,15.2,,,,,,,,,
01-Feb-2017,00:15,01-Feb-2017,00:30,Delhi,Delhi,"DTU, Delhi - CPCB",0.23,21.0,,,,88.6,8.5,,,,,254.0,62.2,39.0,70.8,,,,,,,,,,,,,,,15.0,,,,,,,,,
01-Feb-2017,00:30,01-Feb-2017,00:45,Delhi,Delhi,"DTU, Delhi - CPCB",0.22,39.0,,,,88.6,8.4,,,,,254.0,63.2,37.8,70.9,,,,,,,,,,,,,,,15.3,,,,,,,,,
01-Feb-2017,00:45,01-Feb-2017,01:00,Delhi,Delhi,"DTU, Delhi - CPCB",0.05,104.0,,,,88.6,8.6,,,,,254.0,47.9,36.6,57.9,,,,,,,,,,,,,,,14.8,,,,,,,,,
01-Feb-2017,01:00,01-Feb-2017,01:15,Delhi,Delhi,"DTU, Delhi - CPCB",0.12,290.0,,,,88.6,8.3,,,,,270.0,43.3,38.9,55.3,,,,,,,,,,,,,,,15.2,,,,,,,,,
01-Feb-2017,01:15,01-Feb-2017,01:30,Delhi,Delhi,"DTU, Delhi - CPCB",0.27,307.0,,,,88.6,8.6,,,,,272.0,40.9,36.8,52.3,,,,,,,,,,,,,,,15.0,,,,,,,,,
01-Feb-2017,01:30,01-Feb-2017,01:45,Delhi,Delhi,"DTU, Delhi - CPCB",0.26,266.0,,,,88.6,8.9,,,,,272.0,42.7,38.9,54.8,,,,,,,,,,,,,,,15.1,,,,,,,,,
01-Feb-2017,01:45,01-Feb-2017,02:00,Delhi,Delhi,"DTU, Delhi - CPCB",0.22,250.0,,,,88.5,8.0,,,,,272.0,52.3,36.9,61.6,,,,,,,,,,,,,,,15.3,,,,,,,,,
01-Feb-2017,02:00,01-Feb-2017,02:15,Delhi,Delhi,"DTU, Delhi - CPCB",0.27,191.0,,,,88.5,8.6,,,,,272.0,35.5,38.8,48.9,,,,,,,,,,,,,,,14.9,,,,,,,,,
01-Feb-2017,02:15,01-Feb-2017,02:30,Delhi,Delhi,"DTU, Delhi - CPCB",0.22,293.0,,,,88.5,7.5,,,,,272.0,47.0,41.2,59.6,,,,,,,,,,,,,,,15.3,,,,,,,,,
