﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Mar-2017,00:00,01-Mar-2017,00:15,Bihar,Gaya,"Collectorate, Gaya - BSPCB",0.29,270.27,,,16.66,49.95,7.28,746.09,,,,114.0,1.32,6.78,8.1,0.71,,3.41,,0.17,0.57,,0.31,,,-0.01,,,1.21,,,0.0,,,,,,,
01-Mar-2017,00:15,01-Mar-2017,00:30,Bihar,Gaya,"Collectorate, Gaya - BSPCB",0.3,251.0,,,16.51,50.26,7.29,746.11,,,,114.0,3.13,6.01,9.13,0.75,,3.93,,0.17,0.55,,0.28,,,-0.01,,,2.02,,,0.0,,,,,,,
01-Mar-2017,00:30,01-Mar-2017,00:45,Bihar,Gaya,"Collectorate, Gaya - BSPCB",0.3,188.31,,,16.77,49.22,7.23,746.06,,,,114.0,2.05,7.99,10.04,0.75,,4.14,,0.16,0.53,,0.27,,,-0.01,,,2.91,,,0.0,,,,,,,
01-Mar-2017,00:45,01-Mar-2017,01:00,Bihar,Gaya,"Collectorate, Gaya - BSPCB",0.29,179.76,,,16.87,48.86,7.21,746.05,,,,114.0,1.7,7.88,9.57,0.76,,3.77,,0.18,0.52,,0.26,,,-0.01,,,3.32,,,0.0,,,,,,,
01-Mar-2017,01:00,01-Mar-2017,01:15,Bihar,Gaya,"Collectorate, Gaya - BSPCB",0.29,170.3,,,16.78,49.17,7.21,746.05,,,,1213.0,3.42,7.76,11.18,0.73,,3.53,,0.13,0.51,,0.25,,,-0.01,,,3.57,,,0.0,,,,,,,
01-Mar-2017,01:15,01-Mar-2017,01:30,Bihar,Gaya,"Collectorate, Gaya - BSPCB",0.56,167.93,,,16.69,47.83,7.22,746.05,,,,119.0,2.7,7.49,10.19,0.7,,3.42,,0.17,0.49,,0.24,,,-0.01,,,3.29,,,0.0,,,,,,,
01-Mar-2017,01:30,01-Mar-2017,01:45,Bihar,Gaya,"Collectorate, Gaya - BSPCB",0.97,195.01,,,17.4,44.37,7.19,746.05,,,,119.0,3.05,6.44,9.49,0.68,,3.37,,0.25,0.3,,0.19,,,-0.01,,,3.65,,,0.0,,,,,,,
01-Mar-2017,01:45,01-Mar-2017,02:00,Bihar,Gaya,"Collectorate, Gaya - BSPCB",0.35,202.18,,,17.49,44.09,7.24,746.06,,,,119.0,3.09,5.98,9.07,0.61,,2.6,,0.21,0.22,,0.16,,,-0.01,,,3.94,,,0.0,,,,,,,
01-Mar-2017,02:00,01-Mar-2017,02:15,Bihar,Gaya,"Collectorate, Gaya - BSPCB",0.37,169.11,,,16.88,46.52,7.2,746.04,,,,110.0,1.45,7.48,8.92,0.55,,2.68,,0.15,0.21,,0.15,,,-0.01,,,3.58,,,0.0,,,,,,,
01-Mar-2017,02:15,01-Mar-2017,02:30,Bihar,Gaya,"Collectorate, Gaya - BSPCB",0.29,83.13,,,16.3,47.81,7.23,746.04,,,,110.0,2.21,7.47,9.68,0.51,,2.88,,0.27,0.22,,0.16,,,-0.01,,,1.2,,,0.0,,,,,,,
